model,year,init_month,forecasted_month,rain,tmean,lat,lon
PNU,1997,11,11,0.0013726040124893187,12.713555908203148,-35.0,-67.5
PNU,1997,11,11,0.004022004604339599,15.715631103515648,-35.0,-65.0
PNU,1997,11,11,0.003155773162841797,17.736322021484398,-35.0,-62.5
PNU,1997,11,11,0.002792301893234253,18.030572509765648,-35.0,-60.0
PNU,1997,11,11,0.003434206247329712,18.151055908203148,-35.0,-57.5
PNU,1997,11,11,0.0034342057704925535,18.147943115234398,-35.0,-55.0
PNU,1997,11,11,0.0008297448754310607,13.837762451171898,-32.5,-67.5
PNU,1997,11,11,0.0045902619361877445,16.859613037109398,-32.5,-65.0
PNU,1997,11,11,0.003442042350769043,18.380487060546898,-32.5,-62.5
PNU,1997,11,11,0.002584345817565918,18.929925537109398,-32.5,-60.0
PNU,1997,11,11,0.0031665589809417726,18.870996093750023,-32.5,-57.5
PNU,1997,11,11,0.0031665608882904053,18.870599365234398,-32.5,-55.0
PNU,1997,11,11,0.0004395185112953186,13.828393554687523,-30.0,-67.5
PNU,1997,11,11,0.005966613292694092,17.380548095703148,-30.0,-65.0
PNU,1997,11,11,0.004416957378387452,19.535485839843773,-30.0,-62.5
PNU,1997,11,11,0.0028132028579711914,19.452050781250023,-30.0,-60.0
PNU,1997,11,11,0.0034435651302337647,19.377923583984398,-30.0,-57.5
PNU,1997,11,11,0.00344356632232666,19.377618408203148,-30.0,-55.0
PNU,1998,11,11,0.0018014528751373292,11.093682861328148,-45.0,-67.5
PNU,1998,11,11,0.001240573763847351,10.714471435546898,-45.0,-65.0
PNU,1998,11,11,0.0010701135396957398,10.732598876953148,-45.0,-62.5
PNU,1998,11,11,0.0011051632165908815,9.642816162109398,-45.0,-60.0
PNU,1998,11,11,0.0012584439516067506,8.418511962890648,-45.0,-57.5
PNU,1998,11,11,0.0012584701776504517,8.391168212890648,-45.0,-55.0
PNU,1998,11,11,0.0014034570455551147,12.338525390625023,-42.5,-67.5
PNU,1998,11,11,0.001320119023323059,14.859521484375023,-42.5,-65.0
PNU,1998,11,11,0.0008997724652290344,12.643823242187523,-42.5,-62.5
PNU,1998,11,11,0.0008790691494941712,11.580072021484398,-42.5,-60.0
PNU,1998,11,11,0.00104003643989563,10.425714111328148,-42.5,-57.5
PNU,1998,11,11,0.0010400515794754027,10.407281494140648,-42.5,-55.0
PNU,1998,11,11,0.0010447670221328735,13.576745605468773,-40.0,-67.5
PNU,1998,11,11,0.0014315356016159058,16.617730712890648,-40.0,-65.0
PNU,1998,11,11,0.0009269798398017883,14.796228027343773,-40.0,-62.5
PNU,1998,11,11,0.0009086905121803284,13.787927246093773,-40.0,-60.0
PNU,1998,11,11,0.0010407109260559082,12.870385742187523,-40.0,-57.5
PNU,1998,11,11,0.001040717601776123,12.862329101562523,-40.0,-55.0
