year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeansquared_entre rios nogoya_9,tmeanrain_santa fe san justo_11,tmeansquared_buenos aires coronel suarez_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,tmeanrain_entre rios nogoya_10,tmeansquared_santa fe san justo_9,rainsquared_santa fe san justo_11,tmeanrain_buenos aires coronel suarez_9
1998,BOM,11,2304.962651203633,-0.0069315508171687,-0.1869524525995096,0.5534529416135349,0.8432875443423629,-0.8717563774000348,0.38336338645901863,-0.5361534570880869,-1.2355271055703665,0.9941392463390284,1.125011981652657,-2.6025283497878897
1999,BOM,9,2505.6008274599226,0.0603710133986302,0.9731953033949554,-0.11826522051442143,0.487655648938769,-0.5371007506328989,0.5860781773431305,0.1879981829271434,1.0651123000103355,-0.2581744003429975,-0.5196788874725579,0.6607438388593935
1999,BOM,10,2505.6008274599226,0.0603710133986302,2.023950406099089,0.1780846308766986,0.46021334867094443,0.3562370271309697,1.0296028867230547,0.9231740065533972,2.1633469184695717,-0.2093389706155023,-0.5554371402175308,0.5317531079354265
1999,BOM,11,2505.6008274599226,0.0603710133986302,0.598296233990747,0.1780846308766986,0.02647309096182749,-0.6204154622050388,0.806404998094412,0.9231740065533972,0.198084842739793,-0.2093389706155023,-0.33471036931053477,0.5317531079354265
2000,BOM,9,2551.682570811968,0.0453192686395238,-1.6099416993800097,1.7761489506956774,0.3201559508019916,-0.5438957662342799,0.4984491123435663,-0.12508601542511766,0.33553589703642295,1.229091297116247,-0.477598955899254,1.1660679316985496
2000,BOM,10,2551.682570811968,0.0453192686395238,-1.0938991234595554,-0.564329636383043,1.0393122570465505,-0.16254006643645597,1.1211481474789953,-0.5292592793592488,0.30080418408773274,-0.4206876269736901,-0.12809167033385563,-1.2463461165030476
2000,BOM,11,2551.682570811968,0.0453192686395238,-0.0698690826065604,-0.564329636383043,0.9204263783320772,-0.25684534055962865,1.3635437148081668,-0.5292592793592488,-0.275610995791777,-0.4206876269736901,-0.6607294502738437,-1.2463461165030476
2001,BOM,9,2275.107945586972,-0.0832118001855024,-0.4045272549662872,-0.7424309503299554,0.7804290954883611,0.3339789309820168,1.676110411449862,-0.37249975186071277,0.1560210576025638,-0.7936153133328504,0.38236984500555465,0.7469236584354476
2001,BOM,10,2275.107945586972,-0.0832118001855024,0.07432557696862865,-0.7499595940262096,0.5718388774467635,-0.5123152109177272,0.5158517064623617,0.0888929796124224,0.5253816392378317,-0.2996891214936992,1.2614917047075904,-1.2433379812878398
2001,BOM,11,2275.107945586972,-0.0832118001855024,-0.4466574438188995,-0.7499595940262096,0.1386697803929994,-0.87578399542119,0.4077080530148126,0.0888929796124224,-1.4585168448706654,-0.2996891214936992,-0.3865477850858443,-1.2433379812878398
2002,BOM,9,2098.312168451822,-0.1599897413045245,0.2276196758012892,-0.309355057616423,0.43323769664886463,-0.4332713188367759,0.36170054197914175,-0.43281344016486906,0.07888232247280492,-0.2742001812961444,-0.6200716138147496,0.0782519797011936
2002,BOM,10,2098.312168451822,-0.1599897413045245,-0.03240805838630871,-0.7738639808919583,-0.7033562899905103,0.30023864649824655,-0.12608181949630906,-0.6408790443192578,-0.2179708099143956,-0.766260306273474,-0.43933977908260224,0.5232752646835752
2002,BOM,11,2098.312168451822,-0.1599897413045245,0.8836079055713022,-0.7738639808919583,0.09968553300724171,-0.20222839228224793,0.1795423945513614,-0.6408790443192578,0.0341341132156535,-0.766260306273474,-0.8219101181992599,0.5232752646835752
2003,BOM,9,2687.6983520115846,0.0867211661741361,-0.06997622102588177,-0.7825714752468242,0.3679066027020583,-0.5451689715927335,0.36755116318865777,-0.3218223654803004,0.3194748580071282,-0.7654013033187127,-0.6708321224064752,-0.5363654198023668
2003,BOM,10,2687.6983520115846,0.0867211661741361,0.7664677489172219,-0.7922193933579774,0.051707623755280846,-0.3872047783692109,0.2598393987278746,0.0571284311943044,-0.38296894031163603,-0.7233374356232056,-0.6250368684184721,-0.1911015914509483
2003,BOM,11,2687.6983520115846,0.0867211661741361,-0.3097749453826457,-0.7922193933579774,0.09781289864410234,0.24801731818901657,1.5466098062624847,0.0571284311943044,-0.8736113732170927,-0.7233374356232056,-0.582544780859933,-0.1911015914509483
2004,BOM,9,2768.3673897008125,0.0933536252225563,5.555382859277429,-0.7435074602762083,-0.04354852253858689,-0.5254463154774935,0.4172387126132488,-0.6578816868969583,0.45764914344958363,-0.6248986049739068,-0.7095266789651227,0.1800742404989871
2004,BOM,10,2768.3673897008125,0.0933536252225563,3.6913499456814813,0.7810777378999585,1.1171171156581856,-0.39125864321411746,-0.08542020494338366,-0.2857390823426177,2.30716125271889,2.181376135600421,3.2545014022528953,0.3102260833714876
2004,BOM,11,2768.3673897008125,0.0933536252225563,0.0498754890435851,0.7810777378999585,3.0854291816404005,-0.8693767741933397,0.2719732469451235,-0.2857390823426177,0.0033429847789471,2.181376135600421,0.1016205639073286,0.3102260833714876
2005,BOM,9,2652.504506303661,0.0295492665437282,-0.3884565636930175,-0.7234560664387434,0.05069851146489067,-0.5469928333053073,0.40163124166544234,-0.5209027450960729,0.03644824701706554,-0.7848781128308506,-0.6177086734186399,0.16454594754549798
2005,BOM,10,2652.504506303661,0.0295492665437282,-0.563847044345516,0.8741490731243805,-0.4037888039048599,-0.1727365815675255,-0.15396521682427974,-0.5823330100573393,0.28288306105822764,4.798368136558508,-0.707478807111465,0.4255546475041008
2005,BOM,11,2652.504506303661,0.0295492665437282,1.047362348962648,0.8741490731243805,0.32014391081615073,-0.8221123664756953,0.006383351261406607,-0.5823330100573393,1.3059281344049587,4.798368136558508,-0.6298959193059234,0.4255546475041008
2006,BOM,9,2802.152801978974,0.0575983895925021,-0.2784087105429527,-0.20817885279163315,0.16411068197825188,-0.1697807688088086,0.07857753555656342,-0.432989951334937,-0.10719926036987107,1.0371369136200985,-0.7679725909881139,0.20299843202764223
2006,BOM,10,2802.152801978974,0.0575983895925021,-0.6302186106414566,-0.6981341434461742,-0.049561004794484796,-0.5128691423511311,0.368880250845372,-0.2816089155925115,-0.39043129448514996,-0.7018640924845241,-0.7571834647660896,-0.2288072677467741
2006,BOM,11,2802.152801978974,0.0575983895925021,0.8367470255690502,-0.6981341434461742,0.3171269493690012,-0.8832650585972353,0.12264771751551383,-0.2816089155925115,-1.5328875949848717,-0.7018640924845241,2.9577092003411525,-0.2288072677467741
2007,BOM,9,2964.9821230781013,0.0901024788182954,-0.34032953330806803,0.34522881528729094,0.2539722704745026,-0.05581974597445713,-0.19555092177691227,-0.15994071856241823,-0.4018644586576964,-0.3128498510523173,0.012542099686192801,0.5152847174476316
2007,BOM,10,2964.9821230781013,0.0901024788182954,-1.1686352929234798,3.6396241778291487,-0.06039614480024113,-0.5100939465046094,0.4326209506104696,0.7358328556136267,-0.7703771119961204,0.2306372253333012,-0.386470846636512,3.681450724291503
2007,BOM,11,2964.9821230781013,0.0901024788182954,-0.054436105237017,3.6396241778291487,0.03827794851087429,-0.8934493860693976,0.338925109206013,0.7358328556136267,1.2662159977245344,0.2306372253333012,-0.7821695643478868,3.681450724291503
