year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,rainsquared_santa fe san justo_11,rainsquared_santa fe las colonias_11,tmeanrain_santa fe san justo_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,tmeanrain_entre rios nogoya_10,tmeansquared_buenos aires coronel suarez_11
1993,BOM,9,2037.439151033997,-0.0461708621216909,-0.5205481147439553,0.0459251689712216,0.0516092138446251,-1.042311482665477,-2.8348407951549595,-1.3371376266750703,2.13895544769846,0.033808048792121966,0.2863233665927133
1993,BOM,10,2037.439151033997,-0.0461708621216909,-2.84516746888442,0.0459251689712216,0.0516092138446251,-1.042311482665477,-2.8348407951549595,-1.3371376266750703,-0.5040017024172249,-0.8345273364606391,0.2863233665927133
1993,BOM,11,2037.439151033997,-0.0461708621216909,-2.84516746888442,0.0459251689712216,0.0516092138446251,-1.042311482665477,0.02198482135684569,-1.3371376266750703,-0.5040017024172249,-0.8345273364606391,-1.7860101768600476
1994,BOM,9,2185.741997507356,0.018137739947107,-0.21460491182323616,-0.6723565520347724,-0.4888639216704344,0.3551989279484473,-0.9458700836192482,-1.0337286722117094,1.0488131490112094,2.3049332522661765,-0.0928454484311239
1994,BOM,10,2185.741997507356,0.018137739947107,-1.192060104718745,-0.6723565520347724,-0.4888639216704344,0.3551989279484473,-0.9458700836192482,-1.0337286722117094,-0.5151841819496545,-0.7365476252513777,-0.0928454484311239
1994,BOM,11,2185.741997507356,0.018137739947107,-1.192060104718745,-0.6723565520347724,-0.4888639216704344,0.3551989279484473,0.09161475733861985,-1.0337286722117094,-0.5151841819496545,-0.7365476252513777,-1.4594427944078079
1995,BOM,9,1946.759707253285,-0.1022646938567331,-1.2802371503493033,-0.8062542014293715,-0.826272823777949,-0.0198498228072103,0.6263546561325857,0.4066374925215741,-0.7464599876848885,-1.205387439064914,-0.4976641237580463
1995,BOM,10,1946.759707253285,-0.1022646938567331,0.2046023600664648,-0.8062542014293715,-0.826272823777949,-0.0198498228072103,0.6263546561325857,0.4066374925215741,-0.2192486650489319,0.3924973395335989,-0.4976641237580463
1995,BOM,11,1946.759707253285,-0.1022646938567331,0.2046023600664648,-0.8062542014293715,-0.826272823777949,-0.0198498228072103,-0.042613816378192296,0.4066374925215741,-0.2192486650489319,0.3924973395335989,0.4940973945116901
1996,BOM,9,2260.47032027338,0.0409677436828619,0.6026390344131216,-0.6776120869010134,-0.770822343631088,0.3151376764979559,0.095711093300012,0.4365347658313229,-0.5585201819520008,0.5816478851091289,-0.4167712122692081
1996,BOM,10,2260.47032027338,0.0409677436828619,0.0020812526940399,-0.6776120869010134,-0.770822343631088,0.3151376764979559,0.095711093300012,0.4365347658313229,-0.2548149533584984,-0.2573578939499356,-0.4167712122692081
1996,BOM,11,2260.47032027338,0.0409677436828619,0.0020812526940399,-0.6776120869010134,-0.770822343631088,0.3151376764979559,-0.9233418451436503,0.4365347658313229,-0.2548149533584984,-0.2573578939499356,1.290693291226579
1997,BOM,9,2623.2529203255017,0.1759128118634677,-0.5292818829549488,-0.8257502669790966,-0.7473243220395994,0.1457132378604389,-0.9825639014493552,0.9792430434630672,3.732309289709598,-0.17475981666597237,0.0650182640349803
1997,BOM,10,2623.2529203255017,0.1759128118634677,0.0658235565137465,-0.8257502669790966,-0.7473243220395994,0.1457132378604389,-0.9825639014493552,0.9792430434630672,-0.4409148741206526,-0.1872729257082528,0.0650182640349803
1997,BOM,11,2623.2529203255017,0.1759128118634677,0.0658235565137465,-0.8257502669790966,-0.7473243220395994,0.1457132378604389,1.1043310181637276,0.9792430434630672,-0.4409148741206526,-0.1872729257082528,-1.6511395033334213
1998,BOM,9,2304.962651203633,-0.0069315508171687,-1.156014490516076,-0.7058308218968627,-0.8081083336459347,0.1948258212627556,0.2428926759862315,0.0521203007381482,-0.6815294664844387,-1.0235672730469507,-0.5469327354233317
1998,BOM,10,2304.962651203633,-0.0069315508171687,-0.1869524525995096,-0.7058308218968627,-0.8081083336459347,0.1948258212627556,0.2428926759862315,0.0521203007381482,-0.5361534570880869,-1.2355271055703665,-0.5469327354233317
1998,BOM,11,2304.962651203633,-0.0069315508171687,-0.1869524525995096,-0.7058308218968627,-0.8081083336459347,0.1948258212627556,-0.13360354587524964,0.0521203007381482,-0.5361534570880869,-1.2355271055703665,0.13983126622822933
1999,BOM,9,2505.6008274599226,0.0603710133986302,-0.8658870045754248,0.948131377859732,0.6602739057480023,-0.2100931871248975,0.6192911732671305,0.0098620388221384,-0.8540055126206949,-1.1825180113698177,-0.5330269053589572
1999,BOM,10,2505.6008274599226,0.0603710133986302,0.598296233990747,0.948131377859732,0.6602739057480023,-0.2100931871248975,0.6192911732671305,0.0098620388221384,0.9231740065533972,0.198084842739793,-0.5330269053589572
1999,BOM,11,2505.6008274599226,0.0603710133986302,0.598296233990747,0.948131377859732,0.6602739057480023,-0.2100931871248975,-0.39725522664536955,0.0098620388221384,0.9231740065533972,0.198084842739793,-0.5982256159315423
2000,BOM,9,2551.682570811968,0.0453192686395238,1.3393059762572959,-0.8431155632784674,-0.7947767746859753,0.0541988756273266,0.4223052652474325,0.5855720085617787,-0.7695885184499207,-0.545884794209525,0.3169865399288442
2000,BOM,10,2551.682570811968,0.0453192686395238,-0.0698690826065604,-0.8431155632784674,-0.7947767746859753,0.0541988756273266,0.4223052652474325,0.5855720085617787,-0.5292592793592488,-0.275610995791777,0.3169865399288442
