year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_buenos aires coronel suarez_9,tmeansquared_buenos aires coronel suarez_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9
1993,ECMWF,9,2037.439151033997,-0.0461708621216909,-0.1140514634613105,0.04467115444828651,-0.12289242025853045,-0.3890081656885075
1993,ECMWF,10,2037.439151033997,-0.0461708621216909,0.5078820007956356,-0.26080721383532945,0.3336251496433512,-0.5040017024172249
1993,ECMWF,11,2037.439151033997,-0.0461708621216909,0.5078820007956356,-0.4211102601673433,0.08164890580510953,-0.5040017024172249
1994,ECMWF,9,2185.741997507356,0.018137739947107,0.017370160350384356,-0.28966186436681773,0.11403191759033787,0.9430109698563776
1994,ECMWF,10,2185.741997507356,0.018137739947107,-0.0318913201485533,-0.22056810773344804,-0.0026088830486927506,-0.5151841819496545
1994,ECMWF,11,2185.741997507356,0.018137739947107,-0.0318913201485533,0.49297947199513376,-0.25356815659719545,-0.5151841819496545
1995,ECMWF,9,1946.759707253285,-0.1022646938567331,-0.22272425888393588,-0.04582523138303912,-0.25155578540076984,-0.2993217052851215
1995,ECMWF,10,1946.759707253285,-0.1022646938567331,-1.34663793103679,-0.45241380019943284,0.18689207689700274,-0.2192486650489319
1995,ECMWF,11,1946.759707253285,-0.1022646938567331,-1.34663793103679,0.622142362438749,0.3307566192301873,-0.2192486650489319
1996,ECMWF,9,2260.47032027338,0.0409677436828619,0.09853778949122297,-0.21868423032829706,0.20155088205460564,-0.48818507907090997
1996,ECMWF,10,2260.47032027338,0.0409677436828619,0.4924623043142366,-0.24605569045040387,-0.14531613299701773,-0.2548149533584984
1996,ECMWF,11,2260.47032027338,0.0409677436828619,0.4924623043142366,0.17159546813246696,-0.3158016125622246,-0.2548149533584984
1997,ECMWF,9,2623.2529203255017,0.1759128118634677,-0.43240649035086764,1.0678086238192832,-1.1594669447458823,-0.6311467400177141
1997,ECMWF,10,2623.2529203255017,0.1759128118634677,0.7601389857480411,1.2673337401456815,-0.876950729990457,-0.4409148741206526
1997,ECMWF,11,2623.2529203255017,0.1759128118634677,0.7601389857480411,-0.1959483797767668,-0.07109736629263057,-0.4409148741206526
1998,ECMWF,9,2304.962651203633,-0.0069315508171687,-0.2114326142381321,-0.0454226662925465,-0.03816664339813414,-0.06522803437648968
1998,ECMWF,10,2304.962651203633,-0.0069315508171687,-2.6025283497878897,-0.15010063183310937,-0.06690368027961906,-0.5361534570880869
1998,ECMWF,11,2304.962651203633,-0.0069315508171687,-2.6025283497878897,-0.30091313953778764,0.11602664365583149,-0.5361534570880869
