year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,rainsquared_santa fe san justo_11,rainsquared_santa fe las colonias_11,tmeanrain_santa fe san justo_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,tmeanrain_entre rios nogoya_10,tmeansquared_buenos aires coronel suarez_11
1993,BOM,9,2037.439151033997,-0.0461708621216909,0.041786909306777406,-0.48853116855446427,-0.43235652040940836,0.5215835883755595,-0.10573886982476115,0.14448511044467213,2.126256019876585,-0.5341395698355789,0.02941833313379357
1993,BOM,10,2037.439151033997,-0.0461708621216909,-1.2227252325324014,-0.5687575943876272,-0.6400535099347381,-0.49878643157068114,0.36352715228118837,0.30582130026583804,-0.5040017024172249,-0.7820747744085097,-0.4636874333388657
1993,BOM,11,2037.439151033997,-0.0461708621216909,-2.84516746888442,-0.11295777765659251,-0.20207040108849766,-1.4662388025402677,-0.22696887277544123,-0.45070797497573084,-0.5040017024172249,-0.8345273364606391,1.3741169613062634
1994,BOM,9,2185.741997507356,0.018137739947107,-0.44525884235468943,0.3163470051787259,0.5359075844775533,-2.3010421572277986,0.002904895688976859,0.13081103932962762,0.8085003668064853,-3.006964366080248,0.019767714164243996
1994,BOM,10,2185.741997507356,0.018137739947107,0.3105773905704677,0.15455153372931096,0.6391853325749528,-0.3139955192096795,-0.09204648511733261,-0.27433363748905676,-0.5151841819496545,-0.565983320928471,-0.3782473906446489
1994,BOM,11,2185.741997507356,0.018137739947107,-1.192060104718745,-0.40132785659758086,-0.5671397851691087,0.02877915424838169,-0.25596277992335364,-0.49313446242822234,-0.5151841819496545,-0.7365476252513777,1.2094074628774145
1995,BOM,9,1946.759707253285,-0.1022646938567331,-0.44111185157735144,-0.5234676897596662,-0.6032950075356738,-0.03299859281457741,0.3552899283542539,0.41812140167089556,-0.14811848053708293,0.5034479645742967,-0.4198173887267075
1995,BOM,10,1946.759707253285,-0.1022646938567331,-0.2750507244112674,-0.5854117823225766,-0.6634092438461019,-0.10470847806304814,-0.1291710063362387,-0.05017058000377156,-0.2192486650489319,-0.37795731328731974,-0.4543593670910087
1995,BOM,11,1946.759707253285,-0.1022646938567331,0.2046023600664648,-0.5387055895762886,-0.5991749183393137,-0.12977341159780276,0.5033435002480544,0.5935705804605452,-0.2192486650489319,0.3924973395335989,-0.7177249222892713
1996,BOM,9,2260.47032027338,0.0409677436828619,1.4011446927380364,-0.49734173677716326,-0.38366734284158716,-0.6608959900428231,-0.295828739098113,-0.20114808831836356,-0.8021962826639146,0.6033039455659661,0.3405014335997822
1996,BOM,10,2260.47032027338,0.0409677436828619,-0.46508767303779885,-0.5543082068526527,-0.36511284936532107,-0.2003273472577234,-0.059451959547620864,-0.2576246491133663,-0.2548149533584984,-0.6818392426946412,-0.30825745458079
1996,BOM,11,2260.47032027338,0.0409677436828619,0.0020812526940399,-0.5245550407772186,-0.6305025032049415,-0.3759117892756271,-1.280644725641096,-0.6005780758197247,-0.2548149533584984,-0.2573578939499356,0.44270363472419705
1997,BOM,9,2623.2529203255017,0.1759128118634677,0.07721737302862176,0.5204124707192618,0.6134177952043363,-4.662696625595281,-4.018107731479029,-1.4295466406552473,2.9132292471534633,-0.511153704312326,0.3980993089645831
1997,BOM,10,2623.2529203255017,0.1759128118634677,-0.939704672826534,0.14199419015907333,0.07820347748273075,-1.1490513319917812,-3.300872717318859,-1.7307682986001351,-0.4409148741206526,-1.3109853278346644,0.43882333887360314
1997,BOM,11,2623.2529203255017,0.1759128118634677,0.0658235565137465,0.04988207718122621,-0.010532108279311322,-1.1381671227681394,-1.1592940128985574,-1.5857779635101281,-0.4409148741206526,-0.1872729257082528,0.5510724928378248
1998,BOM,9,2304.962651203633,-0.0069315508171687,1.206468500800859,5.9853939232897675,5.2759727778676355,-1.1920411595006286,-0.7280475250372195,-0.9142012703711926,-0.37446488547338347,0.25596616776401426,-0.13266626750962116
1998,BOM,10,2304.962651203633,-0.0069315508171687,0.5959335417545095,4.902295286901741,4.590283636851059,2.1748745478869744,0.43295894413402813,0.3456684117549284,-0.5361534570880869,0.7323775119268673,-0.4856524137661873
1998,BOM,11,2304.962651203633,-0.0069315508171687,-0.1869524525995096,3.492138075931665,3.2159112163772443,1.4691680970337886,0.48999400489526185,0.41736817025108586,-0.5361534570880869,-1.2355271055703665,-0.8552785753310916
1999,BOM,9,2505.6008274599226,0.0603710133986302,1.7697602460074022,-0.47733100504356074,-0.37869769182222773,0.2736847213612856,0.6405218756255963,0.5900445835337252,1.923007533121379,1.3516344387493688,-0.40901516487118517
1999,BOM,10,2505.6008274599226,0.0603710133986302,2.486134914347024,-0.5580370178272197,-0.4571243003264011,0.11623002395840847,0.40385983729201513,1.009176508435519,0.9231740065533972,2.5587014832006267,0.46614493102860455
1999,BOM,11,2505.6008274599226,0.0603710133986302,0.598296233990747,-0.4185022848882219,-0.24212142056003483,-0.06705052536716646,0.47539712669002654,0.9175348130660945,0.9231740065533972,0.198084842739793,-0.5014486136456355
2000,BOM,9,2551.682570811968,0.0453192686395238,-1.570560606945493,-0.48466764354102326,-0.3022904066807754,0.14099442155745603,0.5623370799053664,0.4837434957759743,0.02999588068135572,0.21348486791237267,-0.41334693617802387
2000,BOM,10,2551.682570811968,0.0453192686395238,-1.0484019828163866,-0.252333635394557,0.05032088764944823,0.8330848692323037,1.038845059660881,1.0971718270172062,-0.5292592793592488,0.4669361755278259,-0.20997449909870375
