year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeanrain_santa fe san justo_11,rainsquared_buenos aires lujan_9,rainsquared_buenos aires villarino_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeansquared_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,rainsquared_santa fe la capital_11,rainsquared_buenos aires saavedra_10,rainsquared_santa fe san justo_11
1993,BOM,9,2037.439151033997,-0.0461708621216909,0.14007346105356416,0.8193650566659918,1.7105478889500672,-0.44108953017004604,0.08551076464446898,0.6725690537504802,0.11797746187762718,1.3665915198421088,-0.7221333645726427,-0.6920714283656529,-0.579663147671963
1993,BOM,10,2037.439151033997,-0.0461708621216909,-0.7696340147902526,0.08987350383522483,-0.7731876040218693,-0.6784622283499472,0.42460221519730834,-0.5396983497789276,0.4184358337073323,-0.6725288681470262,-0.7866379570225156,-0.6113260867358618,-0.7511792552694492
1993,BOM,11,2037.439151033997,-0.0461708621216909,-2.503667083883825,-1.3101772531968536,-0.7731876040218693,-0.16649643956875793,0.03596338617667556,1.4076344111942216,-0.028128359604386737,-0.6725288681470262,1.569072299102812,-0.6701199943753856,-0.20769321521722744
1994,BOM,9,2185.741997507356,0.018137739947107,-0.2969614469636673,-2.4842592029412742,0.29549768530223847,-0.7048925201351369,0.10261889038075353,0.5325676568253151,0.14263177165909613,0.14185599247222108,4.626634116325008,-0.13209665616521166,4.043736377611414
1994,BOM,10,2185.741997507356,0.018137739947107,0.36984766852794326,-0.4939613169591634,0.169900268808493,-0.675986332680432,-0.4561225836173251,-0.5464454845369797,-0.5696569468964892,-0.6495979428989257,4.555189781117357,-0.4490553452388286,1.0272837569941966
1994,BOM,11,2185.741997507356,0.018137739947107,-1.3092868652250147,0.14592407639860946,0.169900268808493,-0.6394432505637908,0.10725070208692444,0.5042930121613065,0.0136303138284218,-0.6495979428989257,-0.7330197813074804,-0.704860240165329,-0.6576583993223636
1995,BOM,9,1946.759707253285,-0.1022646938567331,-0.3567513666896055,-0.08142508488399143,-0.8924563354437631,-0.5384018574755294,0.4131405091331456,-0.6966522300893828,0.431604643734538,-0.18180799637274841,0.12836159830996083,0.8028437459527825,-0.6537207925422738
1995,BOM,10,1946.759707253285,-0.1022646938567331,-0.8381923237184797,-0.14649228540941,1.427194291674912,0.5718628023579351,-0.010861022451341054,-0.6004044866518776,-0.14266863337323699,-0.2845898585412758,-0.4780049123378024,1.3189879512791267,-0.6800150844538781
1995,BOM,11,1946.759707253285,-0.1022646938567331,0.0769519882599108,-0.15922925778648303,1.427194291674912,-0.7014617289546453,0.4470985821796494,-0.7047743591459229,0.45235361290621257,-0.2845898585412758,0.3857007526571447,-0.5060021656095016,-0.636334219667593
1996,BOM,9,2260.47032027338,0.0409677436828619,0.3957640399603789,-1.0356575538876447,0.4571781055443651,0.780926127335919,-0.5627402516479599,1.238373382907761,-0.41929772874937643,-0.5782919583948571,-0.14483539742932117,-0.2155427734752081,-0.33839406149989504
1996,BOM,10,2260.47032027338,0.0409677436828619,-0.5998927203466649,-0.646246925251708,-0.7332391782504911,1.3205895810484352,-0.018512890232986412,-0.5043403408294218,-0.3331567014936013,-0.3277967543467479,0.4286099977909229,0.3121809211135227,-0.27140893640503233
1996,BOM,11,2260.47032027338,0.0409677436828619,0.0675973539638276,-0.7074613581088849,-0.7332391782504911,-0.6981130613842609,-0.9554553838677217,1.7260542236167145,-0.8111992916036107,-0.3277967543467479,-0.6762250898904818,-0.7055020341261675,-0.596364264240489
1997,BOM,9,2623.2529203255017,0.1759128118634677,0.17768589394573445,-4.99359205851809,-0.30478102001708696,7.847569133414788,-5.960903702348792,1.4429931854610363,-3.7025168615714352,6.903706685398672,0.8184378161262676,4.563816679145464,3.1185337758878875
1997,BOM,10,2623.2529203255017,0.1759128118634677,-0.5162001024690218,-1.1492015408806375,0.7682853320775033,7.417845608831682,-5.350127223882843,1.0916662640219394,-3.342960725689545,-0.556534215836245,-0.5571365437332535,4.573745836278095,0.42778547777170783
1997,BOM,11,2623.2529203255017,0.1759128118634677,0.1760252216141756,-1.3529251291299853,0.7682853320775033,7.458447757303468,-1.6942548946637521,1.1054201413154197,-2.229645235990753,-0.556534215836245,4.898971351921433,-0.5167545820324722,0.5266102606500745
1998,BOM,9,2304.962651203633,-0.0069315508171687,0.4764447021908396,-0.7312253345963016,0.7370088337853602,-0.6630453740489831,-0.8187300362635676,0.21678550176698982,-0.8797712780987291,-0.34563837067040704,0.7092619591726417,-0.17018356757437988,0.7981089715537818
1998,BOM,10,2304.962651203633,-0.0069315508171687,1.3841864596956193,0.7844104371907201,-0.0675895337967047,-0.6645298434488213,0.476884931678491,-0.6662987385747475,0.47502778364278436,-0.7086106139972915,0.7030317208899646,-0.5863683612634042,0.60175311549205
1998,BOM,11,2304.962651203633,-0.0069315508171687,-0.1538637322305168,0.5293390116511406,-0.0675895337967047,-0.6894470015577392,0.46992782809205436,-0.8391236152986782,0.3860618680437965,-0.7086106139972915,-0.12092705133908967,0.6524206891993927,0.70254516344577
1999,BOM,9,2505.6008274599226,0.0603710133986302,1.0733717083869971,0.6929241374012514,1.5525700933785203,0.8007144153385336,0.7095411307498026,-0.5914457268104641,0.6644944039753197,1.2026415987197696,-0.012816245441304686,1.3298695815114647,-0.33811578128456343
1999,BOM,10,2505.6008274599226,0.0603710133986302,1.6571769901575892,0.6261986020188657,-1.2474901191470529,-0.6620165915656714,0.7800311901167686,0.6845280703821605,1.1237086192177115,0.912484529718981,-0.4623102155167068,-0.3486481840260364,-0.3701508008088895
1999,BOM,11,2505.6008274599226,0.0603710133986302,0.5978444718673416,-0.05731877864532101,-1.2474901191470529,-0.6957457535866945,0.7053332722723937,-0.6620088899504556,0.7545736008121119,0.912484529718981,-0.7675728275424142,-0.3289631090610524,-0.18279302055776706
2000,BOM,9,2551.682570811968,0.0453192686395238,-1.4447217455190078,0.37563095120721174,1.0753287635386313,-0.06511426470455992,0.6340462908072876,-0.6115271668865899,0.5295125090561602,0.28030217189506,-0.7969962650958481,-0.5780422434747924,-0.4655980701920632
2000,BOM,10,2551.682570811968,0.0453192686395238,-1.1128397283591998,1.0374021735477654,1.9519150085394,-0.33413880080738334,0.836789394470202,-0.43298204655444195,1.166083729152312,-0.7008937949926126,0.19197302629057214,-0.39886262399260647,-0.10964416896164848
2000,BOM,11,2551.682570811968,0.0453192686395238,-0.014332180214023,0.8036548994763489,1.9519150085394,-0.32998734677981234,0.9981467381116736,-0.5499720822319917,1.231993281861641,-0.7008937949926126,-0.06105081066379524,-0.1189204791007931,-0.6190850038413314
2001,BOM,9,2275.107945586972,-0.0832118001855024,-0.3231375266903592,0.9503582268813391,-0.45531001310733865,-0.3715593305033549,1.145678205473366,0.03393734030810055,1.9148626017337227,-0.40896835142255905,-0.3232972169932204,-0.558243227319432,0.2744261088767132
2001,BOM,10,2275.107945586972,-0.0832118001855024,-0.12993974751521184,0.6155424116029417,-0.3957263954378085,0.05361041360235024,0.6728412579465709,-0.5752253622366386,0.6261101256269587,-0.0025587711996982,-0.03191368850347768,-0.61214737126566,0.7674803547183324
2001,BOM,11,2275.107945586972,-0.0832118001855024,-0.4687768435560671,0.24775250573477203,-0.3957263954378085,-0.40702222260140536,0.5104332601429451,-0.6829191144945811,0.39435244553759097,-0.0025587711996982,-0.5954913341747929,3.907970226268537,-0.2879923412171136
2002,BOM,9,2098.312168451822,-0.1599897413045245,0.07288701006075136,0.3919487702326018,-0.5638349463647103,-0.7023304914092486,0.42323516369047104,-0.52388302613362,0.3494760392010303,-0.5179746438651184,-0.04954478859442484,-0.39375100689027764,-0.6108593255054239
2002,BOM,10,2098.312168451822,-0.1599897413045245,-0.5984573056324367,-0.6727943057614336,-1.2505109165928665,-0.07790667971899289,0.08784379178045484,0.26243193338712983,-0.013516352166840835,-0.8163222185276803,-0.7512687421014607,2.9321191189653515,-0.5111877625284762
2002,BOM,11,2098.312168451822,-0.1599897413045245,1.310720431262485,0.18939807251642704,-1.2505109165928665,-0.5696446438016101,0.3871723068169593,-0.6117667468606115,0.24700612354101523,-0.8163222185276803,-0.7634319033294596,-0.0379820327137532,-0.6904043012517975
2003,BOM,9,2687.6983520115846,0.0867211661741361,0.0957995155094522,0.37281777284671475,-0.26857506742652587,0.4495299965599595,0.3007586136441472,-0.6323778076124202,0.30653158273606573,-0.3269252966782043,-0.7798945119094423,-0.6764901581827866,-0.6309842332557279
2003,BOM,10,2687.6983520115846,0.0867211661741361,0.9228159451258138,0.0547113527044984,0.57729727002892,-0.31653858980927324,0.31195266484440204,-0.5311512484955513,0.23923791329581914,0.0471202182868296,-0.7807683446325764,-0.686082252569448,-0.6390311069825054
2003,BOM,11,2687.6983520115846,0.0867211661741361,-0.1326144125636059,0.11789033976126863,0.57729727002892,-0.6864313432976216,0.9755304942057582,0.484667829338083,1.54370139266026,0.0471202182868296,-0.7559650070070786,-0.5257717479998226,-0.5239918903982919
2004,BOM,9,2768.3673897008125,0.0933536252225563,6.001826665270284,0.04019342192310743,-0.912133174090978,-0.5763233926321268,0.4292517933117427,-0.5843920058261853,0.40740043329403547,-0.7042886532484776,-0.6157845946789073,0.15339645569740074,-0.6672187463165208
2004,BOM,10,2768.3673897008125,0.0933536252225563,3.5508457015622694,2.204639763389424,-1.2151825168252797,0.353866529780725,0.1495649407553433,-0.5609119204991494,-0.12087560048356384,-0.3654795613255509,1.4889769626960458,0.16130082666424553,3.9854972960364594
2004,BOM,11,2768.3673897008125,0.0933536252225563,0.101442153405147,1.6790850911413082,-1.2151825168252797,-0.4645877729937717,0.4128493777509316,-0.836279151433564,0.3574308517651078,-0.3654795613255509,-0.713784653717005,-0.5242933707090076,-0.314674949873154
2005,BOM,9,2652.504506303661,0.0295492665437282,-0.38559251185545323,0.14468759413156074,-1.170181988086375,-0.12535910153816662,0.31781433105202844,-0.6505510526458165,0.3610756338563525,-0.750807816780162,-0.8049558684814335,-0.5902932838131343,-0.6067182370944171
2005,BOM,10,2652.504506303661,0.0295492665437282,-0.44148366052101623,-0.38390289941923067,-0.293321401965137,-0.5138325667854594,-0.40605681425138257,0.20840820492185627,-0.45498154381311495,-0.7354873633311795,-0.7858481701306195,-0.6130353296144907,-0.6746293651052547
2005,BOM,11,2652.504506303661,0.0295492665437282,0.8116691142537633,0.26914588026378866,-0.293321401965137,0.6600507835306493,0.12876941839776423,-0.7635154599119405,0.1584605995975006,-0.7354873633311795,-0.4363652039449927,1.4739092700198793,-0.6004278469400116
2006,BOM,9,2802.152801978974,0.0575983895925021,-0.24822732158371769,0.23434109938416095,-0.4580134353534105,-0.6905590354128445,0.28232514134853476,-0.5120986185552516,0.2808534334755458,-0.49888147363560387,-0.46718253266529874,-0.5045981780394956,-0.6406010268607601
2006,BOM,10,2802.152801978974,0.0575983895925021,-0.6677093973112899,-0.05033162217601388,0.458183380338665,-0.5101918715154256,0.4104567950507401,-0.6093671325634784,0.39184114405161524,-0.3604402373570725,-0.7960001550879341,0.6693406482215988,-0.7309386914206562
2006,BOM,11,2802.152801978974,0.0575983895925021,1.3587110864711665,0.598677829580158,0.458183380338665,-0.29401416957480725,-0.7101131627271802,-0.708563414454211,-0.06197578789026666,-0.3604402373570725,0.19128290915681073,0.2322538116397234,3.1290981716161075
2007,BOM,9,2964.9821230781013,0.0901024788182954,-0.35726046116041277,0.3702280818971203,-0.006424103903910962,-0.32019392432006194,-0.5734692157417995,1.0191828657267035,-0.49662766995121105,0.03506129401312709,-0.7544501372007806,0.33115279527938857,-0.3380328196188087
2007,BOM,10,2964.9821230781013,0.0901024788182954,-1.074258004830723,-0.06839803001791368,-0.596446980364085,0.12304556277261335,0.46188909210294665,-0.6264215970871815,0.47073915157739554,0.7105837240429327,-0.7775377261392322,-0.5536786738710294,-0.5185452370969673
2007,BOM,11,2964.9821230781013,0.0901024788182954,0.126191709340691,0.07223699225884188,-0.596446980364085,-0.07743565249684893,0.6688693825283715,-0.8227800987235517,0.4976856788554315,0.7105837240429327,-0.7432264592904997,-0.6285708035211512,-0.661859240472966
2008,BOM,9,2024.453890851962,-0.2906591931618024,-0.7449467671662846,0.2634019492122014,-1.1450968560388843,-0.6928207640287789,0.3886276607744033,-0.6042993521156029,0.39884735363166723,-0.6626581941259417,-0.6544791751301847,-0.6626035068163391,-0.6799466649441032
2008,BOM,10,2024.453890851962,-0.2906591931618024,1.6194081016127484,-0.789711113049782,1.9936202209041065,0.11671782362738242,-0.018995085175559173,-0.4328332193381689,-0.020109091435991547,-0.8178796132359357,-0.8014028781787792,-0.5639114268170583,-0.6339068419917478
2008,BOM,11,2024.453890851962,-0.2906591931618024,0.020621513184706,-0.46979716646736847,1.9936202209041065,0.04365947048970272,-1.3394038142516602,2.1386114213544674,-1.5073101903384551,-0.8178796132359357,0.2995063443433163,-0.6293504410844769,-0.5838425882418998
2009,BOM,9,2970.2970292832338,0.0808897038617558,1.230039046582052,0.8538191190175118,-1.0297865000394395,-0.2870131533821511,0.2179081865118257,-0.2134027751923233,0.05401017611456324,-0.6564371679016259,1.8760967698415916,-0.6084484056425369,-0.22450400557695016
2009,BOM,10,2970.2970292832338,0.0808897038617558,-0.7891987353341657,-0.8427851486168376,-0.7467021782116707,-0.2713093688937696,1.0442759001029904,1.2042239222957967,1.5130052815213841,1.7056802288492474,-0.7682344729151468,-0.6169910608385829,-0.7185531901823364
2009,BOM,11,2970.2970292832338,0.0808897038617558,-0.8197007464550157,0.5181418549122745,-0.7467021782116707,-0.6541695470599493,-0.08960938600854983,2.0931841818503165,-0.3490438057373235,1.7056802288492474,0.2601826635448634,1.0973493994060812,-0.6912215207248822
2010,BOM,9,3933.646838880765,0.395993458774148,-0.5735106900188094,-0.09819884283926116,3.771790718252036,0.2660699736066111,-1.968078298615059,5.8130679231551206,-2.839067631439677,-0.05974630835359744,0.2979333555861027,-0.42346270358894234,-0.11065667597237046
