year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,rainsquared_santa fe san justo_11,rainsquared_santa fe las colonias_11,tmeanrain_santa fe san justo_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,tmeansquared_buenos aires coronel suarez_11
1993,BOM,9,2037.439151033997,-0.0461708621216909,0.4157958135242194,-0.5622387634064979,-0.34143940180481036,1.002426676979611,0.08710898540081757,0.19174528339531585,1.7677745606664597,0.2956895891097161
1993,BOM,10,2037.439151033997,-0.0461708621216909,-0.5995751741522138,-0.8342830545411263,-0.8285061976299972,0.018770547225257013,0.4217110613069621,0.4024867405773949,-0.5040017024172249,-0.4887728461408006
1993,BOM,11,2037.439151033997,-0.0461708621216909,-2.84516746888442,0.1585234535061706,-0.16057645892618835,-1.6885389019322008,0.061974437718792234,-0.05350556943030648,-0.5040017024172249,1.9710539036855637
1994,BOM,9,2185.741997507356,0.018137739947107,-0.27588505101966826,3.0890802938812993,2.5540550028562863,-2.5644050496967505,0.0990390922237672,0.20190116964251867,0.2162410642023612,0.22067531025872184
1994,BOM,10,2185.741997507356,0.018137739947107,0.5771853520856298,1.2673622113905891,2.209768127613317,-0.2806619621196081,-0.4356305188135075,-0.48127066488294473,-0.5151841819496545,-0.37437175175588533
1994,BOM,11,2185.741997507356,0.018137739947107,-1.192060104718745,-0.656067559696249,-0.7734003076426297,0.13354619740756682,0.09956408389958932,-0.010577897111073478,-0.5151841819496545,0.8877527237999343
1995,BOM,9,1946.759707253285,-0.1022646938567331,-0.35918049515604933,-0.8009341775467783,-0.8719832049716731,-0.07712902881499882,0.3374616396272319,0.44414053182430696,-0.1871228584662065,-0.5478944232570828
1995,BOM,10,1946.759707253285,-0.1022646938567331,-0.8508668048811162,-0.784259089490828,-0.8330054969726365,-0.09076972942701186,-0.047429293630703806,-0.053957865150561425,-0.2192486650489319,-0.46906735191672483
1995,BOM,11,1946.759707253285,-0.1022646938567331,0.2046023600664648,-0.7014327340107113,-0.8320299621834408,-0.0996287631792821,0.4048859417669113,0.46217820048329455,-0.2192486650489319,-0.6772720677820102
1996,BOM,9,2260.47032027338,0.0409677436828619,0.5342407103068179,-0.5135498012477693,-0.2788950490520084,-1.2417995102242332,-0.31427381963873624,-0.4809027791258561,-0.5020240191417099,0.5236277148670149
1996,BOM,10,2260.47032027338,0.0409677436828619,-0.5848815832666673,-0.46008494465009714,-0.16119326093000863,-0.2845585949438539,-0.01117245942711112,-0.2519485524961186,-0.2548149533584984,-0.29858397084130306
