year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeanrain_santa fe san justo_11,tmeanrain_santa fe san jeronimo_10,tmeanrain_buenos aires hipolito yrigoyen_11,tmeansquared_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,rainsquared_santa fe la capital_11,rainsquared_buenos aires saavedra_10,rainsquared_santa fe san justo_11,rainsquared_buenos aires coronel suarez_11
1993,BOM,9,2037.439151033997,-0.0461708621216909,0.14007346105356416,0.8193650566659918,0.15815913097571585,0.08551076464446898,0.6725690537504802,0.11797746187762718,1.3665915198421088,-0.7221333645726427,-0.6920714283656529,-0.579663147671963,-0.7607873929777361
1993,BOM,10,2037.439151033997,-0.0461708621216909,-0.7696340147902526,0.08987350383522483,-0.031153006014177417,0.42460221519730834,-0.5396983497789276,0.4184358337073323,-0.6725288681470262,-0.7866379570225156,-0.6113260867358618,-0.7511792552694492,-0.7782179337745051
1993,BOM,11,2037.439151033997,-0.0461708621216909,-2.503667083883825,-1.3101772531968536,-4.714221564567215,0.03596338617667556,1.4076344111942216,-0.028128359604386737,-0.6725288681470262,1.569072299102812,-0.6701199943753856,-0.20769321521722744,-0.7523234786534175
1994,BOM,9,2185.741997507356,0.018137739947107,-0.2969614469636673,-2.4842592029412742,-8.53603052302286,0.10261889038075353,0.5325676568253151,0.14263177165909613,0.14185599247222108,4.626634116325008,-0.13209665616521166,4.043736377611414,-0.7611808421458104
1994,BOM,10,2185.741997507356,0.018137739947107,0.36984766852794326,-0.4939613169591634,-0.5826149999388492,-0.4561225836173251,-0.5464454845369797,-0.5696569468964892,-0.6495979428989257,4.555189781117357,-0.4490553452388286,1.0272837569941966,3.016513265973054
1994,BOM,11,2185.741997507356,0.018137739947107,-1.3092868652250147,0.14592407639860946,-0.5269110788438828,0.10725070208692444,0.5042930121613065,0.0136303138284218,-0.6495979428989257,-0.7330197813074804,-0.704860240165329,-0.6576583993223636,-0.741323706059282
1995,BOM,9,1946.759707253285,-0.1022646938567331,-0.3567513666896055,-0.08142508488399143,0.2766599709450326,0.4131405091331456,-0.6966522300893828,0.431604643734538,-0.18180799637274841,0.12836159830996083,0.8028437459527825,-0.6537207925422738,-0.8074255510567435
1995,BOM,10,1946.759707253285,-0.1022646938567331,-0.8381923237184797,-0.14649228540941,-0.9123564331040593,-0.010861022451341054,-0.6004044866518776,-0.14266863337323699,-0.2845898585412758,-0.4780049123378024,1.3189879512791267,-0.6800150844538781,0.818174011871093
1995,BOM,11,1946.759707253285,-0.1022646938567331,0.0769519882599108,-0.15922925778648303,0.4567123083227926,0.4470985821796494,-0.7047743591459229,0.45235361290621257,-0.2845898585412758,0.3857007526571447,-0.5060021656095016,-0.636334219667593,-0.7928435470916355
1996,BOM,9,2260.47032027338,0.0409677436828619,0.3957640399603789,-1.0356575538876447,0.29239501513420474,-0.5627402516479599,1.238373382907761,-0.41929772874937643,-0.5782919583948571,-0.14483539742932117,-0.2155427734752081,-0.33839406149989504,-0.37813154043656644
1996,BOM,10,2260.47032027338,0.0409677436828619,-0.5998927203466649,-0.646246925251708,-0.9792119484542231,-0.018512890232986412,-0.5043403408294218,-0.3331567014936013,-0.3277967543467479,0.4286099977909229,0.3121809211135227,-0.27140893640503233,0.36257081150357
1996,BOM,11,2260.47032027338,0.0409677436828619,0.0675973539638276,-0.7074613581088849,0.3345262927690274,-0.9554553838677217,1.7260542236167145,-0.8111992916036107,-0.3277967543467479,-0.6762250898904818,-0.7055020341261675,-0.596364264240489,-0.12955710882377097
1997,BOM,9,2623.2529203255017,0.1759128118634677,0.17768589394573445,-4.99359205851809,0.2640428299783214,-5.960903702348792,1.4429931854610363,-3.7025168615714352,6.903706685398672,0.8184378161262676,4.563816679145464,3.1185337758878875,3.9111357566351272
1997,BOM,10,2623.2529203255017,0.1759128118634677,-0.5162001024690218,-1.1492015408806375,-0.555265580186184,-5.350127223882843,1.0916662640219394,-3.342960725689545,-0.556534215836245,-0.5571365437332535,4.573745836278095,0.42778547777170783,3.8931167423352266
