model,year,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_11,rainsquared_santa fe san justo_11,rainsquared_buenos aires hipolito yrigoyen_9,tmeanrain_buenos aires coronel suarez_11,rainsquared_la pampa maraco_11,rainsquared_cordoba marcos juarez_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeansquared_buenos aires hipolito yrigoyen_11,tmeanrain_santa fe san justo_10
ERA,1993,12,2037.439151033997,-0.0461708621216909,-1.037810291824974,0.1684422056253056,-0.2979027801864719,-1.3474570280552456,-0.0610281725691198,-0.0164474829274344,-3.0792201827127554,0.4380832200969499,-3.0727584117681856
ERA,1994,12,2185.741997507356,0.018137739947107,0.3227010583475324,-0.5921544387441104,-0.3702851534944597,-1.115638290513716,-0.0383821182664321,0.1997992468503613,-1.0492555374836987,-0.2067331636630557,-1.3863667892981206
ERA,1995,12,1946.759707253285,-0.1022646938567331,-0.0184642527505788,-0.715592997899698,-0.1112551582222962,0.4232846358206973,-0.764126882943646,0.2359697341588991,0.7346428260479226,-0.2203934293446016,0.0050567907161073
ERA,1996,12,2260.47032027338,0.0409677436828619,0.3300519068983751,-0.5653940313341808,-0.1430275308114895,0.4400581026295309,-0.1528274051939985,-0.2270645234330115,0.1525294257771226,-0.1004977887892622,-0.0169960174092792
ERA,1997,12,2623.2529203255017,0.1759128118634677,0.1333680475866726,-0.7326258902933571,-0.3068873411737919,0.9027108805506738,-0.7000532708407124,0.3622367251602313,-1.177878553535435,0.4044197876607903,0.0502718175112692
ERA,1998,12,2304.962651203633,-0.0069315508171687,0.1714252707805069,-0.623478568139468,-0.3326394510147112,0.0257795581936124,0.123102859653611,-0.1691997643964736,0.1985105922758984,-0.3787715074947396,-0.1873622356164681
ERA,1999,12,2505.6008274599226,0.0603710133986302,-0.2603757935794532,0.9675262359834766,1.1640557942695746,-0.0154605345625574,1.0340289296384957,0.0244470280279085,0.5108651224851951,-0.3798779603649327,0.5182288781252765
ERA,2000,12,2551.682570811968,0.0453192686395238,0.0225561289647379,-0.7408846150012386,-0.3251470060515237,0.524361067658584,-0.6906431501242164,0.2397184287199611,0.2091145804026238,0.9224318391388124,-0.0790496907511274
ERA,2001,12,2275.107945586972,-0.0832118001855024,-0.7215289998546145,0.3492650504059462,0.3147552510678442,-0.2747296053562777,-0.7014268692095382,-0.3198812841266466,-0.6873875830809196,0.4260337890649377,-0.5714057968009747
ERA,2002,12,2098.312168451822,-0.1599897413045245,0.1264129250088983,1.202771259438843,-0.4632741000652765,-0.9176875902270236,-0.6473521310540928,0.3045241722064947,-1.1298420978699073,-0.3674632127409765,1.0142002640152286
ERA,2003,12,2687.6983520115846,0.0867211661741361,0.0742259333909737,-0.6557855086726614,0.1382299953314432,0.0033328151129008,-0.718792317462209,-0.2048715135841884,-1.1805318855769031,-0.3746245105716647,-0.2231743206599486
ERA,2004,12,2768.3673897008125,0.0933536252225563,0.2717015670406861,-0.5582888477464983,-0.1705615780268401,-0.0039164561469371,0.6259893245597462,-0.3362078166799536,0.4714358709651328,-0.0297248864330419,0.0184024099314112
ERA,2005,12,2652.504506303661,0.0295492665437282,-0.0298346250024975,-0.5128656967827521,-0.4251556331186552,0.3359013947762412,0.4028574669767135,-0.2937437616747407,0.1646895176166976,0.2408726446483111,0.7149559854206298
ERA,2006,12,2802.152801978974,0.0575983895925021,0.1349451932781225,-0.5633498940687901,-0.1668895365585044,-0.3999344279503576,1.960194578500071,-0.1184351296564376,0.7060624080597961,-0.3778706568321558,1.0608371343471343
ERA,2007,12,2964.9821230781013,0.0901024788182954,0.7736543346316017,0.7580728786802798,0.9731730385614876,1.0735275432242584,1.478305665244706,1.0020234977711722,2.4197983138726897,0.3378080803326587,0.0049154429441853
ERA,2008,12,2024.453890851962,-0.2906591931618024,-4.325184042683801,1.0405786471697205,-0.4628038377526623,-4.256402519136922,0.1295751648386484,0.0857778017144254,-1.2876301112790889,9.621279031206049,-0.0541395418909359
ERA,2009,12,2970.2970292832338,0.0808897038617558,4.052720002562694,3.4192685220321306,1.9390439464409064,-0.0484868711793602,-0.7558820201134925,-0.331257573627656,0.1940733758790929,-0.3544830880669601,-0.7982607498664052
ERA,2010,12,3933.646838880765,0.395993458774148,0.5153369296813437,-0.2261299315984209,7.311170143886938,0.2106929754205761,4.726315945695917,0.3032961260494587,0.3362865147836805,-0.3928579491638173,1.8410083014036176
ERA,2011,12,3647.926665981048,0.1954531458213887,-0.2559580018032423,-0.550257647439082,0.2638293697618227,2.856905972115404,-0.6332459897745423,-0.2470440767512026,1.608388052273014,1.4113527950334923,0.3316889796642667
ERA,2012,12,2958.105831211545,-0.0776281120723763,-0.6214267242072713,0.019225106323222,-0.2647845011660614,0.7434103577203924,-0.081076573073261,0.083809655484884,0.7610448063820621,-0.113750724302735,0.5772930546175817
ERA,2013,12,2707.197486937163,-0.1611192435848817,0.3286455505165013,3.180816500316745,-0.385686726453903,-0.4639470562631618,-0.7572941255562132,14.748064411502044,0.6616852002818306,-0.2223187665445332,-2.7238044911428445
ERA,2014,12,2892.8454356606403,-0.0935090762133243,-0.218229050984714,0.3629669654935408,-0.3577670148206931,0.019967373017759,-0.7066195494003878,-0.3290143630119886,-0.3804118252658403,-0.3216505787794522,1.739326987094044
ERA,2015,12,3101.367971827829,-0.0324093531892292,0.009269384536412,-0.7314776074787397,-0.2335697457165561,-0.0640352274408962,0.644015953620816,-0.2800271528687302,0.4282784195503008,-0.3442721413600873,-0.153706680758009
