year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeanrain_santa fe san justo_11,rainsquared_buenos aires villarino_11,tmeansquared_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,rainsquared_santa fe san justo_11
1993,BOM,9,2037.439151033997,-0.0461708621216909,0.4157958135242194,1.002426676979611,-0.6222334727669775,0.43776364153677355,0.08710898540081757,0.19174528339531585,1.7677745606664597,-0.5622387634064979
1993,BOM,10,2037.439151033997,-0.0461708621216909,-0.5995751741522138,0.018770547225257013,-0.8831577667526151,-0.48866234350687204,0.4217110613069621,0.4024867405773949,-0.6725288681470262,-0.8342830545411263
1993,BOM,11,2037.439151033997,-0.0461708621216909,-2.503667083883825,-1.6885389019322008,-0.050121550992425226,1.8202689015824733,0.061974437718792234,-0.05350556943030648,-0.6725288681470262,0.1585234535061706
1994,BOM,9,2185.741997507356,0.018137739947107,-0.27588505101966826,-2.5644050496967505,-0.9219405897288118,0.3408488564564801,0.0990390922237672,0.20190116964251867,0.2162410642023612,3.0890802938812993
1994,BOM,10,2185.741997507356,0.018137739947107,0.5771853520856298,-0.2806619621196081,-0.8593436799463635,-0.4745304557203186,-0.4356305188135075,-0.48127066488294473,-0.6495979428989257,1.2673622113905891
1994,BOM,11,2185.741997507356,0.018137739947107,-1.3092868652250147,0.13354619740756682,-0.7701959283344096,0.912899862190267,0.09956408389958932,-0.010577897111073478,-0.6495979428989257,-0.656067559696249
1995,BOM,9,1946.759707253285,-0.1022646938567331,-0.35918049515604933,-0.07712902881499882,-0.6809477628480792,-0.5722024037153941,0.3374616396272319,0.44414053182430696,-0.1871228584662065,-0.8009341775467783
1995,BOM,10,1946.759707253285,-0.1022646938567331,-0.8508668048811162,-0.09076972942701186,0.8683485373370426,-0.46835061332794553,-0.047429293630703806,-0.053957865150561425,-0.2845898585412758,-0.784259089490828
1995,BOM,11,1946.759707253285,-0.1022646938567331,0.0769519882599108,-0.0996287631792821,-0.9363940421604,-0.5919940857306111,0.4048859417669113,0.46217820048329455,-0.2845898585412758,-0.7014327340107113
1996,BOM,9,2260.47032027338,0.0409677436828619,0.5342407103068179,-1.2417995102242332,1.1976710960623795,1.2639248988142366,-0.31427381963873624,-0.4809027791258561,-0.5020240191417099,-0.5135498012477693
1996,BOM,10,2260.47032027338,0.0409677436828619,-0.5848815832666673,-0.2845585949438539,2.070420479340727,-0.4323973805807818,-0.01117245942711112,-0.2519485524961186,-0.3277967543467479,-0.46008494465009714
1996,BOM,11,2260.47032027338,0.0409677436828619,0.0675973539638276,-0.7215893153952933,-0.9134193616373273,0.457941928761989,-0.6442652728894878,-0.6100867138635965,-0.3277967543467479,-0.6197919352600018
1997,BOM,9,2623.2529203255017,0.1759128118634677,0.4466270476839795,-4.554162279755606,4.305078285292321,1.059489707980761,-6.478417003693362,-3.6848773926773104,7.227594213224612,2.8509770436296007
1997,BOM,10,2623.2529203255017,0.1759128118634677,-0.3951937874544086,-1.0368241294430143,4.0070081506587805,0.7943474032419006,-5.74441137946383,-3.397156415648337,-0.556534215836245,0.3446681278154574
1997,BOM,11,2623.2529203255017,0.1759128118634677,0.1760252216141756,-1.1041439155945432,4.065800896968364,0.9501689073498663,-1.3112024190696654,-1.9324381877215524,-0.556534215836245,0.3948133735253852
1998,BOM,9,2304.962651203633,-0.0069315508171687,0.4305660326898591,-0.5068367751767412,-0.7400376015489867,-0.2597729585613527,-0.3801453774066681,-0.7316634242968159,-0.32757420125854436,1.5138755562262585
