year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_11,rainsquared_santa fe san justo_11,rainsquared_buenos aires hipolito yrigoyen_9,tmeanrain_buenos aires coronel suarez_11,rainsquared_la pampa maraco_11,rainsquared_cordoba marcos juarez_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeansquared_buenos aires hipolito yrigoyen_11,tmeanrain_santa fe san justo_10
1993,BOM,9,2037.439151033997,-0.0461708621216909,0.8867834173519559,-0.4908039928386139,2.0222915432224524,0.10944581188678308,0.07061742084714742,-0.30247015408065664,-0.09258287905024648,0.5488483613087374,0.2942601031107519
1993,BOM,10,2037.439151033997,-0.0461708621216909,0.0005662466537045028,-0.7368735031393244,-0.2979027801864719,0.3450468949293058,-0.462542541144514,-0.2938939784658052,0.2833661039140239,-0.33539311096040064,-0.8486404451036311
1993,BOM,11,2037.439151033997,-0.0461708621216909,-1.6439911033091408,0.2754391144797052,-0.2979027801864719,-0.19695842866525773,-0.013199683375010922,0.21565123374376077,-0.1843650522379021,1.8708795790136783,-3.0727584117681856
1994,BOM,9,2185.741997507356,0.018137739947107,-2.59574144961796,3.2270336531475388,0.44187751680554826,0.12117474381215416,1.031398036762071,17.38724427738199,-0.0770763874858252,0.4548079491786713,-0.269500171969649
1994,BOM,10,2185.741997507356,0.018137739947107,-0.16702389658319122,1.3971114485275207,-0.3702851534944597,-0.4899499608200009,0.8034609396061465,0.530930596420484,-0.49504383773555416,-0.3230207618574545,0.7546671225938891
1994,BOM,11,2185.741997507356,0.018137739947107,0.1862587077736805,-0.5484615748229492,-0.3702851534944597,-0.14310226540107945,0.79038161173141,0.24026991000907844,-0.12776390881395264,0.9757434705147011,-1.3863667892981206
1995,BOM,9,1946.759707253285,-0.1022646938567331,-0.16367694393900506,-0.7200548037093939,-0.0862300544328404,0.39338080500928635,-0.02048943344262197,-0.08566659832277539,0.2249788449816289,-0.3984886015180495,-0.28950918626637356
1995,BOM,10,1946.759707253285,-0.1022646938567331,-0.08945303168395619,-0.6955514892206387,-0.1112551582222962,-0.16334559916773075,1.149186730831695,0.22945864175341188,-0.19888120132122566,-0.28016267735925005,-0.5405868742448334
1995,BOM,11,1946.759707253285,-0.1022646938567331,-0.1023699241283403,-0.6186900836379724,-0.1112551582222962,0.38960982200053085,3.501455849057626,0.1877980138794747,0.2933749009350586,-0.5079063903892179,0.0050567907161073
1996,BOM,9,2260.47032027338,0.0409677436828619,-1.349807578755625,-0.44352913664937477,-0.363393378274996,-0.5583568610530446,-0.6194322687030844,-0.22613526151724245,-0.3702453797948658,1.5401037384350373,0.8580558910824017
1996,BOM,10,2260.47032027338,0.0409677436828619,-0.30968396620045063,-0.38804013466102527,-0.1430275308114895,-0.34796317820008316,4.5120477308543805,0.32137069528907497,-0.1516097889839759,-0.24062734055486476,-0.4130411602199227
1996,BOM,11,2260.47032027338,0.0409677436828619,-0.7182214212569132,-0.5415128636579786,-0.1430275308114895,-0.6511652167927696,-0.3195321283364489,0.21910975159576476,-0.7024573438268622,0.5584119028885206,-0.0169960174092792
1997,BOM,9,2623.2529203255017,0.1759128118634677,-4.553158541029043,3.000298808151944,7.024290242521155,-3.7329465607678487,0.6544893575260957,0.2266377781217025,-6.698549021227735,1.124874839462107,0.3206285860834442
1997,BOM,10,2623.2529203255017,0.1759128118634677,-0.9631799432441851,0.4643067428297335,-0.3068873411737919,-3.44632963937327,0.044159468717980134,0.05778585664515661,-5.936056783666676,0.8848937552826,-0.49798180908830936
1997,BOM,11,2623.2529203255017,0.1759128118634677,-1.0374460865860378,0.5136284414843798,-0.3068873411737919,-2.0859299066503105,1.2341117844063831,-0.14653495561995725,-1.5372483175401574,1.0129520940163985,0.0502718175112692
1998,BOM,9,2304.962651203633,-0.0069315508171687,-0.6629386715522843,1.5290210084976126,-0.21143642333577126,-0.8472008929952523,4.257527340268369,0.5073711397314682,-0.506506358890803,-0.056949647723570404,0.4352858137628892
1998,BOM,10,2304.962651203633,-0.0069315508171687,0.9416176193806247,1.0123526021796947,-0.3326394510147112,0.33097229140120354,-0.7150989793879946,0.14494189704092564,0.3021015180762586,-0.37507067527161225,0.7424775839619319
1998,BOM,11,2304.962651203633,-0.0069315508171687,0.7628565446888361,1.1475722524877034,-0.3326394510147112,0.30079165112891226,0.538697064799078,-0.16182888429537115,0.3003143721914885,-0.6662746698009621,-0.1873622356164681
1999,BOM,9,2505.6008274599226,0.0603710133986302,0.3783987590608679,-0.44948509129662406,0.23951623339545255,0.49040034427340673,2.817313720364252,0.42995927418500157,0.4046079095449969,-0.3772413861666768,0.8786462890067527
1999,BOM,10,2505.6008274599226,0.0603710133986302,0.42470188687554883,-0.47953126671738394,1.1640557942695746,0.9410073809723163,0.6090212478212823,-0.15303261673570098,0.4688805443985299,0.5750635732023547,1.7331253826222304
1999,BOM,11,2505.6008274599226,0.0603710133986302,-0.003428702688711849,-0.2683214341132295,1.1640557942695746,0.6979716105926383,-0.7331420937210561,0.06359124774653692,0.4084125114358207,-0.5847737317906777,0.5182288781252765
2000,BOM,9,2551.682570811968,0.0453192686395238,0.2110784210037059,-0.40856870597940226,-0.03047324215144028,0.4170320489786912,-0.7093811890122619,-0.22792307418297553,0.3276058675685276,-0.3873514749415216,-1.6047773021200027
2000,BOM,10,2551.682570811968,0.0453192686395238,0.9759899592505048,-0.06727099441627793,-0.3251470060515237,1.0266212632542862,-0.8260407822808324,-0.038661582644995106,0.7324870191997195,-0.18739798156867363,-1.0975378713950754
