year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeanrain_santa fe san justo_11,rainsquared_buenos aires lujan_9,rainsquared_buenos aires villarino_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeansquared_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,rainsquared_santa fe san justo_11,tmeanrain_buenos aires coronel suarez_9
2003,CWB,9,2687.6983520115846,0.0867211661741361,0.45514035386944945,0.21498519139461233,0.21312778351103773,1.8577483150604426,-0.010372286730380842,-0.4692550091401151,0.11137809954359404,-0.27597681112815575,-0.6130804710854884,-0.2011261883751009
2003,CWB,10,2687.6983520115846,0.0867211661741361,0.614939134356731,0.11423403929356514,0.57729727002892,-0.13901783450691663,0.37201425933314586,-0.7305516316128651,0.3267658498407333,0.0471202182868296,-0.7476282915365094,-0.1481307508234486
2003,CWB,11,2687.6983520115846,0.0867211661741361,-0.1326144125636059,0.22147067500111867,0.57729727002892,-0.874569550158691,0.1292379151053661,-0.36701646981193,0.042790525104419275,0.0471202182868296,-0.5848191873874123,-0.1481307508234486
2004,CWB,9,2768.3673897008125,0.0933536252225563,0.28786000690760677,0.1546302917987853,-0.5978154507119952,-0.6619588110180412,0.38139182389827053,-0.4903996843830528,0.4450912378179596,-0.5592177127969871,0.3289659587323655,0.0034430134691172485
2004,CWB,10,2768.3673897008125,0.0933536252225563,0.5005939825012331,0.032872076064529875,-1.2151825168252797,-0.5207289690568943,0.6278275520314467,1.0319064541910479,0.9974344109123087,-0.3654795613255509,-0.8094476505749338,0.2805954036605669
2004,CWB,11,2768.3673897008125,0.0933536252225563,0.101442153405147,0.36014997481001376,-1.2151825168252797,-0.7578691411610827,-0.03865633406816903,0.4268332601178754,-0.07285493404142253,-0.3654795613255509,-0.38202719946378927,0.2805954036605669
2005,CWB,9,2652.504506303661,0.0295492665437282,0.9935591591723654,0.6300418908512517,-1.1598118622175266,0.5356483192197045,-0.05606361643595172,-0.4260302031565559,0.0077592388624785485,-0.6609749068819012,1.172187746997893,-0.21637904135619437
2005,CWB,10,2652.504506303661,0.0295492665437282,1.3210219093573567,-0.013159419266193325,-0.293321401965137,-0.775511290162024,0.6613715719672811,-0.06580702742045959,1.05628174999791,-0.7354873633311795,-0.8063691541995922,0.3663181534539945
2005,CWB,11,2652.504506303661,0.0295492665437282,0.8116691142537633,0.8025201698695381,-0.293321401965137,-0.9322260158947326,0.24664683169365756,-0.47720679576196495,0.27357955345917273,-0.7354873633311795,0.29593463162525,0.3663181534539945
2006,CWB,9,2802.152801978974,0.0575983895925021,-0.3752364076266338,-0.4470270187468805,0.45057405034404957,-0.9177960662568619,0.2958222375212364,-0.5314441716438254,0.3602763839663442,-0.3213333528876097,-0.554053737741468,-1.1294091132556905
2006,CWB,10,2802.152801978974,0.0575983895925021,-0.332631398275753,3.014902523955548,0.458183380338665,-0.7293312302840961,0.03908363860489461,-0.5787802431406965,0.12366451759290209,-0.3604402373570725,0.08462013878522667,-0.1706204123474922
