year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_buenos aires coronel suarez_9,tmeansquared_buenos aires coronel suarez_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9
1993,BOM,9,2037.439151033997,-0.0461708621216909,-1.9260367214432796,0.7202679385741383,-0.8936836599500004,0.5282259556837863
1993,BOM,10,2037.439151033997,-0.0461708621216909,0.5078820007956356,-0.33568971992930696,0.13344872539840277,-0.5040017024172249
1993,BOM,11,2037.439151033997,-0.0461708621216909,0.5078820007956356,0.5733516680969353,-0.7266762458553327,-0.5040017024172249
1994,BOM,9,2185.741997507356,0.018137739947107,-1.265145920680844,0.5359082420209637,-1.0119944029100258,-0.4258214161405904
1994,BOM,10,2185.741997507356,0.018137739947107,-0.0318913201485533,-0.18543298301520156,-0.5685327588497702,-0.5151841819496545
1994,BOM,11,2185.741997507356,0.018137739947107,-0.0318913201485533,-0.11867777725266299,-0.5349395385126131,-0.5151841819496545
1995,BOM,9,1946.759707253285,-0.1022646938567331,-0.056389146423200726,-0.18833611722737356,0.034805704795313266,-0.18032697037185177
1995,BOM,10,1946.759707253285,-0.1022646938567331,-1.34663793103679,-0.30676174578258997,-0.5620949747721107,-0.2192486650489319
1995,BOM,11,1946.759707253285,-0.1022646938567331,-1.34663793103679,-0.5194632937403856,0.3954536298580937,-0.2192486650489319
1996,BOM,9,2260.47032027338,0.0409677436828619,-0.013783375640685519,0.20477149229736014,-0.3309403085793897,0.19151006961426634
1996,BOM,10,2260.47032027338,0.0409677436828619,0.4924623043142366,-0.18603967313533243,-0.5801751089302751,-0.2548149533584984
1996,BOM,11,2260.47032027338,0.0409677436828619,0.4924623043142366,0.17155172537815705,-0.5811386472849704,-0.2548149533584984
1997,BOM,9,2623.2529203255017,0.1759128118634677,-2.5049582527054044,2.0838371636955806,-2.4556241009176634,2.807740635396687
1997,BOM,10,2623.2529203255017,0.1759128118634677,0.7601389857480411,1.773117066709597,-1.8499579755451387,-0.4409148741206526
1997,BOM,11,2623.2529203255017,0.1759128118634677,0.7601389857480411,1.0778340955514518,-1.8561338810247099,-0.4409148741206526
1998,BOM,9,2304.962651203633,-0.0069315508171687,-0.47080707783107917,0.1347398977728788,-1.28271890489268,-0.4066134449226261
1998,BOM,10,2304.962651203633,-0.0069315508171687,-2.6025283497878897,-0.4314097822017228,0.4338804142733122,-0.5361534570880869
1998,BOM,11,2304.962651203633,-0.0069315508171687,-2.6025283497878897,-0.1410593613916698,0.34151058220171365,-0.5361534570880869
1999,BOM,9,2505.6008274599226,0.0603710133986302,0.6315440026966762,-0.3884224428786114,0.4995729465509559,0.8334541381653737
1999,BOM,10,2505.6008274599226,0.0603710133986302,0.5317531079354265,-0.05541111032940638,0.6626560381495,0.9231740065533972
1999,BOM,11,2505.6008274599226,0.0603710133986302,0.5317531079354265,-0.27914576773652583,0.45186544214595836,0.9231740065533972
2000,BOM,9,2551.682570811968,0.0453192686395238,0.9379923303970796,-0.23357594506787677,-0.36401648271637205,0.18561545737748453
2000,BOM,10,2551.682570811968,0.0453192686395238,-1.2463461165030476,-0.11131555452493752,0.2698624293373802,-0.5292592793592488
2000,BOM,11,2551.682570811968,0.0453192686395238,-1.2463461165030476,-0.14172054913640925,1.2149424710618804,-0.5292592793592488
2001,BOM,9,2275.107945586972,-0.0832118001855024,0.5282136767264106,0.01735092856528475,1.8786181005233709,-0.3463940832925698
2001,BOM,10,2275.107945586972,-0.0832118001855024,-1.2433379812878398,-0.24074512034208131,0.3216999526852088,0.0888929796124224
2001,BOM,11,2275.107945586972,-0.0832118001855024,-1.2433379812878398,0.06355507934790411,0.3240370570824412,0.0888929796124224
2002,BOM,9,2098.312168451822,-0.1599897413045245,-0.2760052100860673,-0.046963529374847934,0.41210679725928767,-0.3723737666496774
2002,BOM,10,2098.312168451822,-0.1599897413045245,0.5232752646835752,0.10828057210867792,-0.5246837997236762,-0.6408790443192578
2002,BOM,11,2098.312168451822,-0.1599897413045245,0.5232752646835752,-0.052582487171746684,-0.1995465556640508,-0.6408790443192578
2003,BOM,9,2687.6983520115846,0.0867211661741361,-0.44209326969720436,-0.26136323497798586,0.5797644134482658,-0.2997785196606807
2003,BOM,10,2687.6983520115846,0.0867211661741361,-0.1911015914509483,-0.2048359694262707,0.11944123577866042,0.0571284311943044
2003,BOM,11,2687.6983520115846,0.0867211661741361,-0.1911015914509483,0.06353260880081069,1.2083510457515163,0.0571284311943044
2004,BOM,9,2768.3673897008125,0.0933536252225563,0.3594497946366443,-0.4277227690855064,0.42437558433665373,-0.5496588047399611
2004,BOM,10,2768.3673897008125,0.0933536252225563,0.3102260833714876,-0.34722983168042065,0.6066701168435846,-0.2857390823426177
2004,BOM,11,2768.3673897008125,0.0933536252225563,0.3102260833714876,-0.7821423819942437,0.10493104722748547,-0.2857390823426177
2005,BOM,9,2652.504506303661,0.0295492665437282,0.4237911971573755,-0.25266856665237725,0.1487750032826155,-0.517386043417605
2005,BOM,10,2652.504506303661,0.0295492665437282,0.4255546475041008,0.1579913868649459,-0.464406685401199,-0.5823330100573393
2005,BOM,11,2652.504506303661,0.0295492665437282,0.4255546475041008,-0.2785472369726115,-0.027152838305519955,-0.5823330100573393
2006,BOM,9,2802.152801978974,0.0575983895925021,-0.2547855602784881,-0.25229821806991815,0.8372119692807821,-0.4594213243313908
2006,BOM,10,2802.152801978974,0.0575983895925021,-0.2288072677467741,-0.46227008139105596,0.4807865303462428,-0.2816089155925115
2006,BOM,11,2802.152801978974,0.0575983895925021,-0.2288072677467741,-0.993955830542076,0.7047717360398338,-0.2816089155925115
2007,BOM,9,2964.9821230781013,0.0901024788182954,0.5848780225926671,0.33407533104786385,-0.4742603416130128,0.007097431813961302
2007,BOM,10,2964.9821230781013,0.0901024788182954,3.681450724291503,-0.5770743686408719,0.4180306850095493,0.7358328556136267
2007,BOM,11,2964.9821230781013,0.0901024788182954,3.681450724291503,-0.2447716170867736,-0.7309536604790808,0.7358328556136267
2008,BOM,9,2024.453890851962,-0.2906591931618024,-0.192828091286452,-0.3065535709476245,0.24653639533033664,-0.5460851005305593
