model,year,init_month,rain_coronel dorrego_10,rain_coronel dorrego_11,rain_coronel dorrego_8,rain_coronel dorrego_9,rain_hipolito yrigoyen_10,rain_hipolito yrigoyen_11,rain_hipolito yrigoyen_8,rain_hipolito yrigoyen_9,tmean_coronel dorrego_10,tmean_coronel dorrego_11,tmean_coronel dorrego_8,tmean_coronel dorrego_9,tmean_hipolito yrigoyen_10,tmean_hipolito yrigoyen_11,tmean_hipolito yrigoyen_8,tmean_hipolito yrigoyen_9
BOM,1993,4,0.001886364015,0.0029613656483333,0.00173,0.00226,0.0021569193923076,0.005082487076923,0.00134,0.00212,14.787833333333332,16.4695,8.909222222222223,10.353958333333331,16.042307692307695,17.662307692307692,9.39772435897436,11.163878205128206
BOM,1993,5,0.0026,0.0029613656483333,0.00146,0.00209,0.00287,0.005082487076923,0.00111,0.00182,13.047250000000002,16.4695,8.074805555555553,10.217638888888889,14.695576923076922,17.662307692307692,8.694807692307691,11.192628205128205
BOM,1993,6,0.00322,0.00325,0.00139,0.00226,0.00296,0.00332,0.00111,0.00209,12.614555555555555,16.627138888888886,8.498333333333333,10.160138888888888,14.558685897435899,17.68740384615385,9.097307692307693,11.068044871794871
BOM,1993,7,0.00246,0.0034,0.0019399999999999999,0.0025099999999999996,0.0023799999999999997,0.00347,0.00159,0.0024300000000000003,12.758305555555554,16.59963888888889,8.342500000000001,10.073888888888888,14.530576923076922,17.389903846153846,8.632051282051284,10.847628205128204
BOM,1993,8,0.00327,0.00326,0.00136,0.00228,0.00323,0.0030299999999999997,0.00088,0.00214,12.480388888888887,16.376875,7.365638888888888,9.93972222222222,14.2136858974359,17.585384615384616,7.947307692307691,10.82846153846154
BOM,1993,9,0.0027,0.00318,0.0002037468094666,0.00237,0.00268,0.0030099999999999997,0.0006215181346153,0.00229,13.416,16.452972222222222,10.112333333333334,10.016388888888889,14.736570512820514,17.577564102564104,10.272307692307692,10.92429487179487
BOM,1993,10,0.00266,0.0029300000000000003,0.0002037468094666,0.0006287615638333,0.0024700000000000004,0.00279,0.0006215181346153,0.0026867292076923,13.1535,17.33775,10.112333333333334,11.635666666666667,14.688653846153846,18.752820512820517,10.272307692307692,11.61076923076923
BOM,1993,11,0.001886364015,0.00316,0.0002037468094666,0.0006287615638333,0.0021569193923076,0.0028799999999999997,0.0006215181346153,0.0026867292076923,14.787833333333332,16.581305555555556,10.112333333333334,11.635666666666667,16.042307692307695,17.311153846153847,10.272307692307692,11.61076923076923
BOM,1994,4,0.0018797678766666,0.0017442522216666,0.00139,0.00214,0.0025635926307692,0.0018445626076923,0.0011,0.00195,13.506666666666666,19.33833333333333,8.754,11.03511111111111,14.715384615384616,19.764615384615382,9.61474358974359,11.911794871794873
BOM,1994,5,0.00325,0.0017442522216666,0.00151,0.00239,0.00317,0.0018445626076923,0.0012900000000000001,0.0018700000000000001,13.960083333333333,19.33833333333333,8.641499999999999,10.388958333333331,15.32076923076923,19.764615384615382,9.476346153846155,12.105128205128205
BOM,1994,6,0.00364,0.00297,0.00215,0.0029100000000000003,0.0035299999999999997,0.0030600000000000002,0.00158,0.0024500000000000004,14.280499999999998,16.616625,8.680791666666664,10.958611111111113,15.487884615384619,17.94028846153846,9.498846153846156,11.750961538461539
BOM,1994,7,0.0029100000000000003,0.00285,0.00159,0.00264,0.00281,0.00299,0.00139,0.00212,13.497374999999998,16.64,8.093972222222222,10.350861111111112,14.695096153846155,17.64333333333333,8.632051282051284,11.50121794871795
BOM,1994,8,0.00296,0.00352,0.00156,0.00262,0.00285,0.00333,0.0011799999999999998,0.00232,13.383624999999999,16.480333333333334,10.402249999999999,10.477513888888888,14.677596153846155,17.458461538461535,11.438653846153844,11.90471153846154
BOM,1994,9,0.00328,0.0032400000000000003,0.0012941801501666,0.00257,0.0030099999999999997,0.003,0.0023313458076923,0.0021000000000000003,13.065583333333334,16.590374999999998,9.102,10.462000000000002,14.801602564102565,17.650961538461537,9.853076923076925,11.743461538461538
BOM,1994,10,0.00292,0.00344,0.0012941801501666,0.0008188242105,0.0028399999999999996,0.00328,0.0023313458076923,0.0015862611846153,14.077430555555557,17.292402777777777,9.102,11.9975,15.325865384615383,18.713685897435898,9.853076923076925,12.882307692307691
BOM,1994,11,0.0018797678766666,0.00328,0.0012941801501666,0.0008188242105,0.0025635926307692,0.0028599999999999997,0.0023313458076923,0.0015862611846153,13.506666666666666,16.465,9.102,11.9975,14.715384615384616,17.601666666666667,9.853076923076925,12.882307692307691
BOM,1995,4,0.00200906262,0.003304331575,0.00156,0.00233,0.0023878548230769,0.0040762257615384,0.00126,0.00234,14.151666666666667,18.0225,8.161055555555553,10.217638888888887,15.503846153846156,19.73923076923077,9.167307692307691,11.464551282051282
BOM,1995,5,0.00307,0.003304331575,0.0014399999999999999,0.0024300000000000003,0.00307,0.0040762257615384,0.0012,0.0020099999999999996,14.280499999999998,18.0225,8.643333333333333,10.462000000000002,15.558301282051284,19.73923076923077,8.962051282051286,11.559903846153846
BOM,1995,6,0.0024500000000000004,0.00268,0.00176,0.0022,0.00272,0.0025800000000000003,0.00123,0.00198,13.944666666666667,17.82563888888889,8.017305555555556,10.412,15.547948717948719,18.964358974358973,8.88871794871795,11.705641025641025
BOM,1995,7,0.00273,0.0030600000000000002,0.00199,0.00219,0.00263,0.00294,0.0016200000000000001,0.00184,14.313833333333333,16.84325,8.590833333333332,11.674000000000001,15.875,18.8025641025641,9.193557692307692,12.92
BOM,1995,8,0.0027,0.0033,0.0011200000000000001,0.00185,0.00257,0.00309,0.00099,0.0015400000000000001,14.280499999999998,18.085402777777777,8.720166666666668,10.360027777777777,16.145865384615387,19.610576923076923,10.075448717948719,11.71397435897436
BOM,1995,9,0.00231,0.0030299999999999997,0.0010596451895,0.0020099999999999996,0.00221,0.00296,0.000590114456923,0.00163,14.056,18.057902777777777,8.553833333333333,11.575638888888887,15.577115384615386,19.24820512820513,9.41846153846154,12.729134615384616
BOM,1995,10,0.00235,0.0020499999999999997,0.0010596451895,0.0005364235754999,0.00213,0.00202,0.000590114456923,0.001148120646923,15.535333333333332,18.486277777777776,8.553833333333333,11.863666666666663,16.915576923076923,19.622243589743594,9.41846153846154,13.288461538461538
BOM,1995,11,0.00200906262,0.00237,0.0010596451895,0.0005364235754999,0.0023878548230769,0.0027,0.000590114456923,0.001148120646923,14.151666666666667,18.53697222222222,8.553833333333333,11.863666666666663,15.503846153846156,19.63391025641026,9.41846153846154,13.288461538461538
BOM,1996,4,0.0036751788866666,0.0030385003916666,0.00196,0.00218,0.0031352251384615,0.0033304717615384,0.0016899999999999999,0.0020800000000000003,15.138333333333332,18.581,8.720374999999999,11.630666666666666,16.642307692307693,19.933846153846154,9.61474358974359,12.757820512820514
BOM,1996,5,0.00304,0.0030385003916666,0.0017900000000000001,0.0022,0.00298,0.0033304717615384,0.0014399999999999999,0.00184,16.652166666666666,18.581,11.090847222222225,11.537416666666669,17.50923076923077,19.933846153846154,13.72153846153846,12.637852564102564
BOM,1996,6,0.00319,0.00325,0.0016200000000000001,0.0028799999999999997,0.00297,0.0029500000000000004,0.0011799999999999998,0.00234,15.929555555555556,18.398055555555555,10.01661111111111,11.982708333333335,17.148910256410254,19.731923076923078,10.755320512820512,12.971666666666668
BOM,1996,7,0.00296,0.0033900000000000002,0.00183,0.00209,0.003,0.00347,0.00132,0.0020800000000000003,15.809305555555556,18.57533333333333,10.388458333333334,12.942,17.153910256410256,19.628076923076925,11.838461538461539,13.84769230769231
BOM,1996,8,0.00246,0.0030800000000000003,0.00157,0.00222,0.0023599999999999997,0.0030499999999999998,0.00098,0.00189,15.655916666666666,18.57033333333333,8.500583333333333,12.200000000000001,17.134743589743586,19.74772435897436,9.381891025641028,13.447307692307692
BOM,1996,9,0.0024700000000000004,0.00277,0.0034063291616666,0.00212,0.00239,0.00269,0.0018074541076923,0.00186,15.663416666666667,19.84356944444445,11.398833333333332,12.73190277777778,16.91432692307692,21.140576923076928,12.302307692307693,13.768173076923077
BOM,1996,10,0.00217,0.00229,0.0034063291616666,0.0006316987865,0.00217,0.00234,0.0018074541076923,0.0011892481615384,15.629666666666667,18.643624999999997,11.398833333333332,11.581,16.657051282051285,19.71230769230769,12.302307692307693,12.624615384615383
BOM,1996,11,0.0036751788866666,0.0024500000000000004,0.0034063291616666,0.0006316987865,0.0031352251384615,0.0024500000000000004,0.0018074541076923,0.0011892481615384,15.138333333333332,19.841902777777783,11.398833333333332,11.581,16.642307692307693,20.438782051282057,12.302307692307693,12.624615384615383
BOM,1997,4,0.0032858562583333,0.002112853195,0.0014,0.0028799999999999997,0.0063817600461538,0.0042256757461538,0.00116,0.00263,13.8135,16.640666666666664,8.658833333333334,11.047055555555556,14.85,17.69076923076923,9.311025641025644,11.754198717948718
BOM,1997,5,0.0034100000000000003,0.002112853195,0.00182,0.00271,0.00326,0.0042256757461538,0.00139,0.0023,12.777472222222222,16.640666666666664,9.379722222222222,11.018722222222221,14.223269230769233,17.69076923076923,10.20076923076923,11.528717948717949
BOM,1997,6,0.00309,0.00318,0.00138,0.0023599999999999997,0.00331,0.00349,0.00109,0.00222,12.763083333333334,16.10979166666667,10.161555555555555,10.749583333333334,14.273910256410256,17.078589743589745,10.527596153846153,11.777948717948718
BOM,1997,7,0.0026,0.00287,0.00172,0.00269,0.0029100000000000003,0.00331,0.0015300000000000001,0.00232,13.175583333333336,16.320625,9.246083333333335,11.068305555555556,14.549102564102565,17.24150641025641,9.750000000000002,11.730641025641027
BOM,1997,8,0.00296,0.00319,0.00166,0.00218,0.0030099999999999997,0.00331,0.00156,0.00218,13.203083333333334,16.275875,10.229986111111112,11.310500000000001,14.585576923076923,17.459166666666665,10.761826923076924,12.389807692307691
BOM,1997,9,0.0033399999999999997,0.00322,0.0012508766971666,0.00268,0.00365,0.0033599999999999997,0.0016890791230769,0.00257,12.298305555555554,16.378125,9.4455,10.400541666666669,13.734519230769232,17.222339743589746,10.813076923076922,11.482884615384616
BOM,1997,10,0.0029,0.0030299999999999997,0.0012508766971666,0.0013247018583333,0.00326,0.00337,0.0016890791230769,0.00144765,12.86372222222222,16.349375,9.4455,10.045666666666667,14.424519230769231,17.404423076923077,10.813076923076922,11.807692307692308
