model,year,init_month,rain_coronel dorrego_10,rain_coronel dorrego_11,rain_coronel dorrego_8,rain_coronel dorrego_9,rain_hipolito yrigoyen_10,rain_hipolito yrigoyen_11,rain_hipolito yrigoyen_8,rain_hipolito yrigoyen_9,tmean_coronel dorrego_10,tmean_coronel dorrego_11,tmean_coronel dorrego_8,tmean_coronel dorrego_9,tmean_hipolito yrigoyen_10,tmean_hipolito yrigoyen_11,tmean_hipolito yrigoyen_8,tmean_hipolito yrigoyen_9
CCSM4,1993,6,0.004602102134906442,0.0017860445142113604,0.00024957808033099,0.0024673750922061108,0.0018338744684408825,0.0018073568161052263,0.0010703627552684717,0.000615592134767726,15.543317545572915,21.07583333333333,8.16653345743815,10.69502773030599,17.50923076923077,21.131163191184022,9.017148314255934,12.61916036752554
CCSM4,1993,7,0.0031769447723115833,0.002176733833621321,0.0004309363908710623,0.0016349936221272507,0.003125678529808187,0.0017184306229409041,0.00010363004049574072,0.0022484092789581767,14.989670732286237,18.017167053222657,8.473035481770834,11.046957221137152,14.860572971441808,18.835326872605545,9.336307549109828,11.92154302743765
CCSM4,1993,8,0.0027879409780977426,0.0017423519142293373,0.0012322686107767529,0.0009647814358116945,0.002366419143801223,0.002049050972457808,4.230645355543484e-05,0.001352460862400948,14.771244620429146,16.51491044447157,9.324715932210285,12.351943740844726,15.605386094313403,17.427942633995645,11.1360473045936,13.76903207045335
CCSM4,1993,9,0.0014531374989942402,0.0019222061049109119,0.0002037468094666,0.0006681097808338586,0.0018340870111535712,0.002357552115582063,0.0006215181346153,0.0005937861589499061,15.168600016276041,18.81190054660373,10.112333333333334,12.49486309475369,16.782511612329724,20.028909900371847,10.272307692307692,13.126647350604717
CCSM4,1993,10,0.0019356097691405904,0.0017331076876843244,0.0002037468094666,0.0006287615638333,0.005182539974796688,0.002320870066148673,0.0006215181346153,0.0026867292076923,14.053039577907986,18.819186618381075,10.112333333333334,11.635666666666667,14.80035161727514,19.721344463641827,10.272307692307692,11.61076923076923
CCSM4,1993,11,0.001886364015,0.0038702712107003753,0.0002037468094666,0.0006287615638333,0.0021569193923076,0.0038849935051973733,0.0006215181346153,0.0026867292076923,14.787833333333332,17.503647505018446,10.112333333333334,11.635666666666667,16.042307692307695,18.5484863672501,10.272307692307692,11.61076923076923
CCSM4,1994,6,0.001702274639838381,0.0011624589222995014,7.933788526349642e-05,0.0009590714933814365,0.0009230597203826432,0.0017364983681242843,0.00017124892094413187,0.0013005681570262568,14.163828718397353,17.623903754340276,10.17361732313368,12.043270599365234,16.009752095540367,19.68674836378831,10.550112762451173,13.456617232102614
CCSM4,1994,7,0.0026529500626454846,0.0018836226350694744,0.00021950618048414982,0.0012475240988361817,0.005857035921752164,0.004439444575075752,-0.00022138033272859915,0.0010951132253217448,14.038720265706381,17.703949028862848,10.150083184136285,11.81978180948893,15.196032345111552,18.7602740635016,10.709923471304087,12.996845703125
CCSM4,1994,8,0.0015445002063111156,0.0018819734788566678,0.001628439646558335,0.0014684446373745507,0.0092191375,0.0076186139076923,0.0009564886025398673,0.0014029200348090291,12.47301655409071,16.176134490966795,8.735933898925781,10.573045155843099,14.86580179654635,17.52008579156338,9.228915510911207,12.207115560678336
CCSM4,1994,9,0.0017533729319887342,0.001859737228515729,0.0012941801501666,0.001816926468314608,0.0025954927764627687,0.003987954632308938,0.0023313458076923,0.004258690078600149,15.237301320393879,18.47638447909885,9.102,10.298333562215166,16.480779109857018,17.510577016977162,9.853076923076925,11.738746142265123
CCSM4,1994,10,0.003919957022896246,0.003005105688012798,0.0012941801501666,0.0008188242105,0.003865172445521773,0.0019655441134278093,0.0023313458076923,0.0015862611846153,13.201074208577475,17.59822829861111,9.102,11.9975,15.294017979548528,19.326394978058644,9.853076923076925,12.882307692307691
CCSM4,1994,11,0.0018797678766666,0.0016237159739859249,0.0012941801501666,0.0008188242105,0.0025635926307692,0.0030495073211012315,0.0023313458076923,0.0015862611846153,13.506666666666666,19.187362752278645,9.102,11.9975,14.715384615384616,20.02708838242751,9.853076923076925,12.882307692307691
CCSM4,1995,6,0.001871818210458903,0.0021060285096937944,0.00043366863016574517,0.001155442158074143,0.0016049024650760494,0.003044280527006992,0.0002274642641332232,0.0014897207681887517,12.729416344536673,16.24009729003906,9.14744182671441,10.209731146918402,15.177322505070615,17.59733467688927,10.089953010754709,11.759704724825346
CCSM4,1995,7,0.0029858944158669457,0.0020972899571631877,0.0012632957417400114,0.0014209034900497925,0.003021230499224028,0.0032430457493361426,0.0011747728595361087,0.001216175983024391,12.835491631401908,16.789769978841147,8.043497114393446,10.359122670491534,15.386644447522285,18.935380524855393,9.261987028855543,11.510950258695162
CCSM4,1995,8,0.002512951939852399,0.0018283852691081755,0.0002895869586336218,0.0008787969809577584,0.0018097729205440209,0.0028936998169548605,0.0009084531775932883,0.0019747928039820597,14.040728724161783,18.598361796061198,8.521330006917317,10.226795230441622,14.518229303604517,19.348044057992787,8.892610872708836,11.038249034392528
CCSM4,1995,9,0.0058194701233333,0.0062674557583333,0.0010596451895,0.001299425912669848,0.0092191375,0.0076186139076923,0.000590114456923,0.0014660717521006613,12.770258400811088,16.5767405090332,8.553833333333333,11.565343453301322,15.199649928166318,18.70760072365785,9.41846153846154,12.933301951090495
CCSM4,1995,10,0.002026884829775641,0.003934685667187079,0.0010596451895,0.0005364235754999,0.0012473364176162087,0.0033224761351256823,0.000590114456923,0.001148120646923,15.905937416924369,18.59447843424479,8.553833333333333,11.863666666666663,17.50923076923077,19.808305748181464,9.41846153846154,13.288461538461538
