model,year,init_month,rain_coronel dorrego_10,rain_coronel dorrego_11,rain_coronel dorrego_8,rain_coronel dorrego_9,rain_hipolito yrigoyen_10,rain_hipolito yrigoyen_11,rain_hipolito yrigoyen_8,rain_hipolito yrigoyen_9,tmean_coronel dorrego_10,tmean_coronel dorrego_11,tmean_coronel dorrego_8,tmean_coronel dorrego_9,tmean_hipolito yrigoyen_10,tmean_hipolito yrigoyen_11,tmean_hipolito yrigoyen_8,tmean_hipolito yrigoyen_9
CMCC,1993,9,0.002802802643899105,0.0019723762947495694,0.0002037468094666,0.0008349586285393666,0.002380164951200777,0.002029049965906724,0.0006215181346153,0.0013124897902398011,13.847132737901475,17.627770124647352,10.112333333333334,11.112456247965493,14.806580176720253,18.9854780461238,10.272307692307692,11.96009526179387
CMCC,1993,10,0.0006810029632372508,0.002714115848054415,0.0002037468094666,0.0006287615638333,0.0013956540719870724,0.0033268460357146006,0.0006215181346153,0.0026867292076923,14.940504638671875,17.59147582329644,10.112333333333334,11.635666666666667,15.325188864683494,18.455668870974808,10.272307692307692,11.61076923076923
CMCC,1993,11,0.001886364015,0.0034267478866555645,0.0002037468094666,0.0006287615638333,0.0021569193923076,0.003915286363857268,0.0006215181346153,0.0026867292076923,14.787833333333332,18.827736626519098,10.112333333333334,11.635666666666667,16.042307692307695,19.746284954364484,10.272307692307692,11.61076923076923
CMCC,1994,9,0.002526309971281257,0.0024396371172791635,0.0012941801501666,0.0011659223384156104,0.0031303538637582093,0.003191858738728727,0.0023313458076923,0.0012713628646919173,14.316247884114583,18.399913872612846,9.102,10.467001831054688,15.573431099133616,19.73169694166917,9.853076923076925,11.784327016977164
CMCC,1994,10,0.002647384666698575,0.0019558947062992375,0.0012941801501666,0.0008188242105,0.0038424809661887493,0.0029180464281820164,0.0023313458076923,0.0015862611846153,13.822842888726127,18.598945895724825,9.102,11.9975,15.187177796975162,19.799979862310945,9.853076923076925,12.882307692307691
CMCC,1994,11,0.0018797678766666,0.0027365837956643563,0.0012941801501666,0.0008188242105,0.0025635926307692,0.0030564191914179543,0.0023313458076923,0.0015862611846153,13.506666666666666,18.068226589626732,9.102,11.9975,14.715384615384616,20.000833728496847,9.853076923076925,12.882307692307691
CMCC,1995,9,0.0007696080815796616,0.001844953308854827,0.0010596451895,0.0005869467192817987,0.0013149005737324794,0.002062041213496962,0.000590114456923,0.0013858915344789097,15.095268239339191,16.588623291015622,8.553833333333333,11.852989451090497,16.81921917255108,18.831979620517828,9.41846153846154,12.920440063476562
CMCC,1995,10,0.0017174000775552517,0.0020322313623678157,0.0010596451895,0.0005364235754999,0.005821898616224978,0.002074939468191595,0.000590114456923,0.001148120646923,14.96848008897569,16.563421915690103,8.553833333333333,11.863666666666663,16.90105711716872,19.398512502817006,9.41846153846154,13.288461538461538
CMCC,1995,11,0.00200906262,0.002979353437497752,0.0010596451895,0.0005364235754999,0.0023878548230769,0.003377812304026775,0.000590114456923,0.001148120646923,14.151666666666667,18.395188557942706,8.553833333333333,11.863666666666663,15.503846153846156,22.074615384615388,9.41846153846154,13.288461538461538
CMCC,1996,9,0.003153029008591903,0.0016659283798997073,0.0034063291616666,0.0011114593858099387,0.00440691405600875,0.001652039230883895,0.0018074541076923,0.001460622434075007,15.231735677083332,18.839038302951387,11.398833333333332,11.89080685763889,17.151600279196714,22.074615384615388,12.302307692307693,12.784828009972205
CMCC,1996,10,0.001824955169859149,0.0020556233541145015,0.0034063291616666,0.0006316987865,0.002205300148239414,0.0033223032976272913,0.0018074541076923,0.0011892481615384,16.652166666666666,21.07583333333333,11.398833333333332,11.581,17.50923076923077,22.074615384615388,12.302307692307693,12.624615384615383
CMCC,1996,11,0.0036751788866666,0.0018041063529571494,0.0034063291616666,0.0006316987865,0.0031352251384615,0.0034161489255876646,0.0018074541076923,0.0011892481615384,15.138333333333332,18.34592827690972,11.398833333333332,11.581,16.642307692307693,19.632240080222108,12.302307692307693,12.624615384615383
CMCC,1997,9,0.004603513781087939,0.0033178514648336058,0.0012508766971666,0.0041884895633333,0.0050909114467531155,0.0033735712180898375,0.0016890791230769,0.0049651711999999,12.590731753879123,16.290018463134764,9.4455,10.312901536729598,14.149203119522486,17.668097737630205,10.813076923076922,11.56035352266752
CMCC,1997,10,0.0036007687922953485,0.003936913666624768,0.0012508766971666,0.0013247018583333,0.0025641338676109043,0.0054177056711894765,0.0016890791230769,0.00144765,14.036030904134115,16.22643763224284,9.4455,10.045666666666667,14.735851287841797,17.497464000995343,10.813076923076922,11.807692307692308
CMCC,1997,11,0.0032858562583333,0.002261231494056429,0.0012508766971666,0.0013247018583333,0.0063817600461538,0.0020595979990661924,0.0016890791230769,0.00144765,13.8135,17.77138686794705,9.4455,10.045666666666667,14.85,18.426628852257362,10.813076923076922,11.807692307692308
CMCC,1998,9,0.003343300696723982,0.0017989834158690157,0.0007986744046666,0.0005831792461129834,0.004239136498195706,0.0024714301566013354,0.0010528142384615,0.0010742193099469827,15.792901068793402,19.403654527452257,10.257,12.737557430691192,16.524450096717246,19.696932936448317,10.077692307692306,13.440835829514723
CMCC,1998,10,0.003144394110084687,0.0029830029678400627,0.0007986744046666,0.004086210905,0.002543990842629275,0.0076186139076923,0.0010528142384615,0.0026172478923076,15.790588090684677,18.49395304361979,10.257,10.506166666666669,17.11079249064127,18.308542574368992,10.077692307692306,11.228461538461538
CMCC,1998,11,0.0006552159478333,0.0024843490033786293,0.0007986744046666,0.004086210905,0.0010809825923076,0.003964985370167056,0.0010528142384615,0.0026172478923076,16.652166666666666,17.990517296685113,10.257,10.506166666666669,17.405384615384612,18.750603661170373,10.077692307692306,11.228461538461538
CMCC,1999,9,0.002659732853131939,0.0018775395755425595,0.0016386332933333,0.0013196390852525338,0.0015540034796932766,0.0033271171060270223,0.0017541111846153,0.001184543989513344,13.707229505750869,17.721644337972005,10.206166666666666,12.031042785644532,15.258221799410308,19.652227877103368,10.68846153846154,12.6240576954377
