model,year,init_month,tmean_bahia blanca_8,tmean_bahia blanca_9,tmean_bahia blanca_10,tmean_bahia blanca_11,tmean_coronel dorrego_8,tmean_coronel dorrego_9,tmean_coronel dorrego_10,tmean_coronel dorrego_11,tmean_coronel pringles_8,tmean_coronel pringles_9,tmean_coronel pringles_10,tmean_coronel pringles_11,tmean_coronel suarez_8,tmean_coronel suarez_9,tmean_coronel suarez_10,tmean_coronel suarez_11,tmean_hipolito yrigoyen_8,tmean_hipolito yrigoyen_9,tmean_hipolito yrigoyen_10,tmean_hipolito yrigoyen_11,tmean_saavedra_8,tmean_saavedra_9,tmean_saavedra_10,tmean_saavedra_11,tmean_santa fe san justo_8,tmean_santa fe san justo_9,tmean_santa fe san justo_10,tmean_santa fe san justo_11,rain_bahia blanca_8,rain_bahia blanca_9,rain_bahia blanca_10,rain_bahia blanca_11,rain_coronel dorrego_8,rain_coronel dorrego_9,rain_coronel dorrego_10,rain_coronel dorrego_11,rain_coronel pringles_8,rain_coronel pringles_9,rain_coronel pringles_10,rain_coronel pringles_11,rain_coronel suarez_8,rain_coronel suarez_9,rain_coronel suarez_10,rain_coronel suarez_11,rain_hipolito yrigoyen_8,rain_hipolito yrigoyen_9,rain_hipolito yrigoyen_10,rain_hipolito yrigoyen_11,rain_saavedra_8,rain_saavedra_9,rain_saavedra_10,rain_saavedra_11,rain_santa fe san justo_8,rain_santa fe san justo_9,rain_santa fe san justo_10,rain_santa fe san justo_11
CMCC,1993,9,10.427311197916689,11.411008029513912,14.358846706814258,18.35316747029625,10.111881510416689,10.83710801866322,13.40298004150393,18.014943440755236,9.127493990384638,10.54036777202902,13.318347598344873,16.950548866467617,8.651509533898327,10.653646022990621,13.153560504805593,17.348677851790114,10.2726262019231,12.151512106871015,14.87007743639826,18.874050590319534,8.826087415540563,10.0729876131625,13.32985901703708,18.12859837300071,13.97433733258931,16.25214901878722,18.75768868582591,22.3930363246373,0.00012236579,0.0008472651789868627,0.0026349398220113407,0.0017708976075604373,0.00020374681,0.0011457923158808344,0.0018782511204315773,0.001700709360137549,7.374357e-05,0.000798852731178275,0.003044040436399138,0.002100890441971836,0.00014503852,0.0009890728531150165,0.0033960555956890656,0.0022874997133633594,0.0006215181,0.0012068092891184485,0.003906123991521665,0.002988937031328938,8.8462875e-05,0.0007169309937775962,0.0017412350655688932,0.002268066158728788,0.0004867151,0.0013030120724517819,0.004284691008188331,0.003218797681328938
CMCC,1993,10,10.427311197916689,12.046370442708357,15.714651997884136,18.164524756537563,10.111881510416689,11.635530598958356,14.117538791232661,17.109423065185567,9.127493990384638,10.782110126201946,14.138374680739206,16.914254565116707,8.651509533898327,10.429900192002142,14.385069654216897,16.881052152989298,10.2726262019231,11.611023888221176,16.100103583702698,18.750737469012943,8.826087415540563,10.539789643158809,13.140062156883467,16.122116377547,13.97433733258931,15.59787248883931,20.194231196812243,21.841103036063082,0.00012236579,0.0007194847,0.0007181890271215967,0.001798279350527993,0.00020374681,0.0006287616,0.0009805525989101723,0.002221680244047942,7.374357e-05,0.0010248402,0.0008054903855428673,0.002998388733054482,0.00014503852,0.0015684036,0.0007542468944138712,0.0038592704145380694,0.0006215181,0.0026867292,0.0013019614702027048,0.0034151224749196314,8.8462875e-05,0.0012629796,0.0007521781336346418,0.003286816862424034,0.0004867151,0.0009912757,0.0018012509368693715,0.0045341743999196315
CMCC,1993,11,10.427311197916689,12.046370442708357,15.487858072916689,19.720249430338566,10.111881510416689,11.635530598958356,14.788216145833356,18.6000422159831,9.127493990384638,10.782110126201946,14.327877103365408,18.270786539713566,8.651509533898327,10.429900192002142,14.454045286016973,18.336369547870902,10.2726262019231,11.611023888221176,16.041256009615406,19.705208763709457,8.826087415540563,10.539789643158809,14.45346283783786,17.381776222022825,13.97433733258931,15.59787248883931,19.56554129464288,22.85673021589009,0.00012236579,0.0007194847,0.002106047,0.004071305969797888,0.00020374681,0.0006287616,0.0018863641,0.0029112032478316842,7.374357e-05,0.0010248402,0.0019765166,0.004033303708738941,0.00014503852,0.0015684036,0.0022021686,0.0038415547213256638,0.0006215181,0.0026867292,0.0021569193,0.003963207385854607,8.8462875e-05,0.0012629796,0.0021778636,0.0034086613949887747,0.0004867151,0.0009912757,0.013321288,0.006380988135854609
CMCC,1994,9,9.458317057291689,10.956290181477888,15.56439107259117,19.738392130533878,9.101888020833355,10.70315551757815,14.748219468858531,18.564565531412786,8.269959435096176,9.800707460061119,13.805364520733196,17.70056324494193,8.14158666578392,10.084437069650447,13.88073042530127,17.610992621297914,9.854018930288484,11.852444927509039,15.486893052321237,19.632998109475185,8.094496938344617,9.536144579638254,13.334682169046513,17.099328063415,13.62901785714288,16.025966535295787,19.63533390590125,22.81817743210568,0.0013358745,0.0009701061187551516,0.0021160165407796577,0.0017245066275807526,0.0012941802,0.0009968459685381172,0.0026587390041428677,0.0020669747291134273,0.001827323,0.0010305380659156355,0.002885886479475765,0.0026666779721403384,0.0021399958,0.0010198395177583163,0.003640069682266031,0.0035783748776141207,0.0023313458,0.0013249161488034782,0.004247598786831709,0.003307794675048776,0.0017332205,0.0013876642283267408,0.005354469134567233,0.003754647635284808,0.0021821116,0.0014402421488034784,0.004439345086831708,0.003465743141715443
CMCC,1994,10,9.458317057291689,12.393457031250025,14.593214925130232,20.078272755940777,9.101888020833355,11.997054036458357,13.907287597656277,18.5891912672255,8.269959435096176,11.23733849158656,13.318000949957453,17.856510807917694,8.14158666578392,11.253465141684345,13.320503122793102,18.12528491262665,9.854018930288484,12.882019981971176,15.186368071727287,19.807156450320534,8.094496938344617,11.147356682854753,13.071404101397562,16.112800886824346,13.62901785714288,17.975139508928596,18.900799778529596,23.160480026971747,0.0013358745,0.00079551415,0.0025784396602621562,0.00171466128631939,0.0012941802,0.0008188242,0.0027310274508041644,0.001995506592284616,0.001827323,0.00064327096,0.0029687699341986082,0.002085672934910396,0.0021399958,0.0007497144,0.0038129693243544836,0.0022803702565660482,0.0023313458,0.0015862611,0.003134604420521726,0.0030593566619309676,0.0017332205,0.00063158764,0.0031404778174203957,0.004620454850163258,0.0021821116,0.0030664555,0.004227130437188392,0.0032442396619309674
CMCC,1994,11,9.458317057291689,12.393457031250025,14.252343750000025,19.222473822699676,9.101888020833355,11.997054036458357,13.50704752604169,18.779021453857446,8.269959435096176,11.23733849158656,12.872517277644253,17.48724380884417,8.14158666578392,11.253465141684345,13.054651913400448,17.590482265666406,9.854018930288484,12.882019981971176,14.715966796875025,19.635436972593673,8.094496938344617,11.147356682854753,13.03960488809124,18.327502221459767,13.62901785714288,17.975139508928596,19.196191406250023,22.82061629522417,0.0013358745,0.00079551415,0.0015010814,0.002382873602712159,0.0012941802,0.0008188242,0.0018797679,0.0020315233606487543,0.001827323,0.00064327096,0.0021837878,0.0030287932114977565,0.0021399958,0.0007497144,0.0025101595,0.0028561417697640454,0.0023313458,0.0015862611,0.0025635925,0.003411525532888248,0.0017332205,0.00063158764,0.0022756762,0.001393363345421592,0.0021821116,0.0030664555,0.007835235,0.004576696916221582
CMCC,1995,9,8.799869791666689,12.434916856553842,16.054068077935135,18.170753309461826,8.55362955729169,11.962204657660614,15.540267266167557,17.74278394911027,7.787593900240408,11.159368720421446,14.391258298433765,16.002148907001224,7.697701767743667,11.252275128553167,14.61340463067181,16.131827851203898,9.41800255408656,13.029904644305912,16.814445456480392,18.814602739383034,7.737913059543942,11.59492968310109,15.096962951110312,16.52151126346075,14.515178571428594,17.851110985165576,21.113138543991838,21.895567103794665,0.0007251934,0.00075316068688728,0.0004172268001790833,0.001496358610012735,0.0010596452,0.0011100071165302014,0.0007872627382197294,0.0017628039186252285,0.0008411796,0.0006895404840317988,0.0008940955038852781,0.002014808945521527,0.00047750297,0.0006792521311248464,0.0008442984796825179,0.0017670184646082845,0.00059011445,0.001202679727810359,0.0011877190733401754,0.0019771987330655725,0.000461496,0.0012581117671652377,0.0031584388882110576,0.002466695601000774,0.00025626572,0.0011259332944770256,0.001687008540006842,0.0017494821830655726
CMCC,1995,10,8.799869791666689,12.646630859375025,16.067419518364822,18.805698649088566,8.55362955729169,11.863720703125022,15.645075734456404,18.40337778727216,7.787593900240408,11.512053034855793,14.270231745793291,15.968327214167688,7.697701767743667,11.954206667108071,14.393763521700953,16.173026581672648,9.41800255408656,13.288870943509638,16.894610243577247,18.863450035682114,7.737913059543942,11.834381598395291,14.63444609770906,17.130158171782647,14.515178571428594,17.465513392857165,21.384745352608842,22.38977966308596,0.0007251934,0.00029203633,0.002554459265237996,0.0017113927339012735,0.0010596452,0.0005364235,0.003415364459814794,0.0017767324348583369,0.0008411796,0.00037610094,0.001881779729221985,0.0021957563227845405,0.00047750297,0.00034345922,0.0028738107477161825,0.0031417687717783943,0.00059011445,0.0011481206,0.00424958157476555,0.002468876708199455,0.000461496,0.00030357225,0.004275807947782198,0.0027564782443502316,0.00025626572,0.002162561,0.0045100859997655495,0.003225156458199455
CMCC,1995,11,8.799869791666689,12.646630859375025,14.855208333333357,20.595418972439262,8.55362955729169,11.863720703125022,14.151692708333355,21.075390625000026,7.787593900240408,11.512053034855793,13.714483173076946,17.703611872746414,7.697701767743667,11.954206667108071,13.9405141022246,17.674673927436466,9.41800255408656,13.288870943509638,15.503958834134638,21.121854498447536,7.737913059543942,11.834381598395291,13.959150654560831,20.904740287162184,14.515178571428594,17.465513392857165,18.616601562500023,24.284100923084104,0.0007251934,0.00029203633,0.0020335994,0.0027931486099315693,0.0010596452,0.0005364235,0.0020090626,0.002455657579026825,0.0008411796,0.00037610094,0.0019766472,0.003230966699164452,0.00047750297,0.00034345922,0.0021443097,0.0035493275672822087,0.00059011445,0.0011481206,0.002387855,0.003932936086822031,0.000461496,0.00030357225,0.0018729483,0.0018923699825073334,0.00025626572,0.002162561,0.0043044277,0.005690877020155365
CMCC,1996,9,11.683007812500025,12.233920457628063,16.347378879123283,20.418802727593338,11.399055989583356,11.825466156005882,15.810108100043426,21.075390625000026,10.707121394230793,11.257483223157074,14.6525090144231,18.282088216145855,10.536490333686464,11.243347206762305,14.866518867622009,18.629382824224294,12.301397235576946,12.83536564753608,16.91946681096006,22.074008413461563,10.460245988175698,11.157259533856388,15.126841550259998,17.565422140585433,17.61925223214288,17.3982613699777,21.409601919991655,25.088316127232165,0.0028211244,0.0009761356395453947,0.003177598126158585,0.0012100016172804705,0.0034063293,0.001229054564844257,0.0029612512944703503,0.0013786260872941617,0.0027999734,0.0010366584692682718,0.0030871793562308445,0.0016425403423997406,0.0022725852,0.0009615301811812928,0.003809740653423873,0.0015201358252680936,0.0018074542,0.0011856897310432875,0.004386974521357705,0.0019191333067555306,0.0027002078,0.0011892996185785443,0.004056247889957626,0.0020154856006076335,0.0016428679,0.0010194303810432874,0.00464083158802437,0.001067425365088864
CMCC,1996,10,11.683007812500025,11.994042968750025,17.47443033854169,22.315332031250023,11.399055989583356,11.58082682291669,16.65226236979169,21.075390625000026,10.707121394230793,10.844666466346176,15.906546724759638,20.39890324519233,10.536490333686464,10.752194782839004,15.849507580773327,20.502774099576296,12.301397235576946,12.625015024038484,17.509949669471176,22.074008413461563,10.460245988175698,10.670338893581103,15.019321833430132,18.07090083629164,17.61925223214288,16.21007254464288,22.004854910714307,25.088316127232165,0.0028211244,0.00066154404,0.0013481152935749163,0.0017710588189047112,0.0034063293,0.00063169876,0.0018533689123420476,0.002081066322627383,0.0027999734,0.0005703488,0.0021309463470814156,0.0022970654560589845,0.0022725852,0.00063548546,0.002171275826174679,0.003511169954253145,0.0018074542,0.0011892482,0.0017361166936628457,0.0033142325002569646,0.0027002078,0.00059262983,0.0032424362611677806,0.0027699648399597417,0.0016428679,0.003228161,0.0027189257353295126,0.003444974541923632
CMCC,1996,11,11.683007812500025,11.994042968750025,16.01520182291669,19.013980272081188,11.399055989583356,11.58082682291669,15.139143880208357,18.493444569905627,10.707121394230793,10.844666466346176,14.767536808894253,17.646577649238804,10.536490333686464,10.752194782839004,15.034673761917396,17.721512375308997,12.301397235576946,12.625015024038484,16.64287484975964,19.3551589378944,10.460245988175698,10.670338893581103,15.087086940456103,18.054540871285127,17.61925223214288,16.21007254464288,20.117578125000023,22.478378186907108,0.0028211244,0.00066154404,0.0026899988,0.001779025494913085,0.0034063293,0.00063169876,0.0036751789,0.002435665329433865,0.0027999734,0.0005703488,0.00411255,0.0019739619896238492,0.0022725852,0.00063548546,0.0033630661,0.0019718521846851106,0.0018074542,0.0011892482,0.0031352253,0.0028315487859814524,0.0027002078,0.00059262983,0.0029650175,0.004477930615783828,0.0016428679,0.003228161,0.0036245831,0.0031716575526481187
CMCC,1997,9,9.792301432291689,10.657408650716167,12.99022148980037,17.054016791449673,9.445686848958356,10.366639455159529,12.483209821912999,16.589097086588566,8.812646484375023,9.5990177643605,12.15533159696141,15.674468270326294,8.863568425582649,9.453497047208822,12.33195044738427,15.784485936568977,10.8129094050481,11.422242149939926,14.050273367074844,17.55717542599411,8.774204233530428,10.546148571667395,12.844126603410073,17.324753096297005,16.035128348214307,14.974247233072939,17.87715955461777,20.89459453764418,0.000657743,0.004381816,0.0034936565555988225,0.002384718139555424,0.0012508767,0.0041884896,0.003480208155727548,0.0024897561475770874,0.001149758,0.004883137,0.0054202906587268295,0.0038317894937225055,0.00091777317,0.0045606974,0.00503659599164733,0.005511947893939672,0.0016890791,0.004965171,0.007324264094912342,0.003930418608236436,0.0006470703,0.002466481101125009,0.0019727691552224574,0.0041747746618128155,0.0015698231,0.0046294057,0.008286467761579017,0.0056883595415697695
CMCC,1997,10,9.792301432291689,10.751041666666689,14.0709167480469,16.700666469997852,9.445686848958356,10.045312500000025,13.303404998779321,16.289265696207703,8.812646484375023,9.6442082331731,13.519624328613304,15.610887439434368,8.863568425582649,9.919815942796632,13.624313457941629,15.628487706588508,10.8129094050481,11.807031250000025,14.712334911639896,17.245997854379528,8.774204233530428,9.895977618243268,13.638917747703783,16.12613418166704,16.035128348214307,18.5535086495536,18.49442934308735,20.5834169660296,0.000657743,0.0015218281,0.003295605024418637,0.0047155395,0.0012508767,0.0013247018,0.0020475989464570888,0.003935457672471592,0.001149758,0.0011633674,0.0039467810400732155,0.004824546964958165,0.00091777317,0.0014238368,0.0039018058289349115,0.004855898705350114,0.0016890791,0.0014476499,0.004568286503017558,0.00715023575957679,0.0006470703,0.0017725135,0.003139288789482198,0.004410806888169725,0.0015698231,0.0005514523,0.005717085603017558,0.00919812933457679
CMCC,1997,11,9.792301432291689,10.751041666666689,14.429264322916689,18.016712443033878,9.445686848958356,10.045312500000025,13.814274088541689,17.08038304646812,8.812646484375023,9.6442082331731,13.27444786658656,17.262720117813526,8.863568425582649,9.919815942796632,13.28934139962926,17.342082498841393,10.8129094050481,11.807031250000025,14.85110802283656,18.718167583759037,8.774204233530428,9.895977618243268,13.221113545185831,17.590709665659336,16.035128348214307,18.5535086495536,20.192110770089307,21.777806309291318,0.000657743,0.0015218281,0.0027985927,0.0018196484485383832,0.0012508767,0.0013247018,0.0032858562,0.001760360704194459,0.001149758,0.0011633674,0.0037901478,0.0024739613657231286,0.00091777317,0.0014238368,0.0040330123,0.003541171941153863,0.0016890791,0.0014476499,0.00638176,0.00334687423053354,0.0006470703,0.0017725135,0.0033537855,0.0028800489352015894,0.0015698231,0.0005514523,0.0047597555,0.00360160753053354
CMCC,1998,9,10.551578776041689,13.077949354383703,16.305247667100716,20.07924974229603,10.257145182291689,12.337527974446639,15.175584411621116,18.531237114800373,9.347952974759638,11.986046091715517,15.14493204752606,18.65088258400944,8.917163499735192,12.202551476430108,15.25227553804044,18.5569783614854,10.077783203125025,13.761031674116108,16.597543726211963,19.743645653357895,8.99031487542232,11.073868567664366,14.279187259158595,17.345793660481792,13.900781250000025,18.582782636370005,20.91366402762279,22.895167105538526,0.0009559545,0.0007725272953144229,0.0029346411177205334,0.0015947100769938103,0.0007986744,0.0006021898749470492,0.0029822540674265055,0.001927287436088585,0.00063266855,0.0006766708517379834,0.0036289073908906825,0.001957338081563499,0.00074142864,0.0008726905504028667,0.003983942135682501,0.0019301147329944838,0.0010528143,0.0013185654736873331,0.005880935130446891,0.002056474167085464,0.00074144866,0.000874277615570794,0.0033134395274742713,0.00274654748846183,0.00048736678,0.0013097111403539998,0.006042311088780224,0.0022976147004187967
CMCC,1998,10,10.551578776041689,10.719547526041689,16.290709855821415,18.182634819878494,10.257145182291689,10.50680338541669,15.780273013644766,17.000050862630232,9.347952974759638,9.731573016826946,15.142619069417336,17.7826602251102,8.917163499735192,9.629619637182229,15.258187047236405,18.14720720194157,10.077783203125025,11.228943810096176,17.109588486109043,18.812070758526165,8.99031487542232,9.434208720439212,14.464615225577163,16.901352079924184,13.900781250000025,15.117229352678594,21.885767873128273,21.97021418980192,0.0009559545,0.0030149275,0.0026534199492420796,0.002960968669283726,0.0007986744,0.004086211,0.002065451031090842,0.006267456,0.00063266855,0.004883137,0.00306372462786252,0.0032360296478400963,0.00074142864,0.0039147045,0.003371571879455708,0.003531483527266119,0.0010528143,0.0026172479,0.003914602138506124,0.003970593495100775,0.00074144866,0.0032991641,0.001711369572329462,0.003373132075662175,0.00048736678,0.0020467057,0.004459408788506123,0.006397628695100775
CMCC,1998,11,10.551578776041689,10.719547526041689,17.47443033854169,18.698597208658878,10.257145182291689,10.50680338541669,16.65226236979169,17.724848598904103,9.347952974759638,9.731573016826946,15.906546724759638,17.36884724543647,8.917163499735192,9.629619637182229,15.849507580773327,17.594774101817702,10.077783203125025,11.228943810096176,17.407222806490406,18.936487990159282,8.99031487542232,9.434208720439212,15.963116290118268,17.521966827667534,13.900781250000025,15.117229352678594,20.23975306919645,22.37469090053016,0.0009559545,0.0030149275,0.0008842768,0.001760512076532079,0.0007986744,0.004086211,0.000655216,0.0030168180740132557,0.00063266855,0.004883137,0.00046539668,0.002706389844212029,0.00074142864,0.0039147045,0.0007504028,0.0038818043117802977,0.0010528143,0.0026172479,0.0010809826,0.0033414052078225174,0.00074144866,0.0032991641,0.0008906526,0.0020610110934459916,0.00048736678,0.0020467057,0.0023126362,0.004063365957822518
CMCC,1999,9,10.419091796875025,12.544632636176239,14.114549255371118,19.07601064046226,10.206591796875022,11.666107516818599,13.941848331027586,18.50604248046878,9.380254657451946,11.408282118577247,13.136478287134437,17.118033247727638,9.13071620100638,11.229481601176312,13.319528693937336,17.362714924785404,10.688059645432714,12.610726341834457,15.185283719576347,19.384035707131435,8.972947899070968,11.4006286621094,14.037829610463756,17.930889727618265,14.941413225446452,17.172119213285924,18.96009216308596,22.465833100818475,0.00083935977,0.0009948835865856106,0.0024396161077538587,0.0015951321040671787,0.0016386333,0.0007381208795134105,0.0014185244316163765,0.0020571328880783723,0.0014088104,0.0012635018269192338,0.0029811181206319723,0.0020316612929036845,0.0011546662,0.0016847537802848881,0.0033354954677427768,0.0024704543470299135,0.0017541113,0.0015533413112202132,0.0024433460042341537,0.0025204093031036346,0.0008616736,0.0004779529563494519,0.0019837701241117675,0.001428664455716456,0.0016411562,0.002051399219553547,0.0036621772292341533,0.0032245788031036345
CMCC,1999,10,10.419091796875025,12.515852864583357,13.184326850043428,17.705211893717472,10.206591796875022,11.968359375000023,12.505645921495248,17.335744391547333,9.380254657451946,11.334562800480793,12.357980933556213,16.151921746669693,9.13071620100638,11.266561837923753,12.476449886688426,16.136338008729776,10.688059645432714,12.786222956730793,14.280060949081054,17.9157285054525,8.972947899070968,11.24492715371624,12.505315742836363,17.370578813982462,14.941413225446452,17.90294363839288,18.055467224121116,21.73683446248375,0.00083935977,0.0015888346,0.0020873632818141524,0.0014420066350919717,0.0016386333,0.0012590372,0.001864203263552717,0.001504034311939069,0.0014088104,0.0014884204,0.002869000063130535,0.0018448148500763023,0.0011546662,0.0020538534,0.0038179353466230633,0.001931377716712093,0.0017541113,0.003927086,0.0031057852288537647,0.0020979502489006413,0.0008616736,0.0019998536,0.002945816335004104,0.0018050573207061596,0.0016411562,0.002482266,0.004239476228853765,0.002881327748900641
CMCC,1999,11,10.419091796875025,12.515852864583357,15.745182291666689,18.457247246636307,10.206591796875022,11.968359375000023,14.94288736979169,17.617427317301456,9.380254657451946,11.334562800480793,14.097051532451946,17.111986952561622,9.13071620100638,11.266561837923753,14.005335507150448,17.31861803733699,10.688059645432714,12.786222956730793,15.103248948317331,18.75867869059247,8.972947899070968,11.24492715371624,14.088261454814212,17.529564604888115,14.941413225446452,17.90294363839288,19.454561941964307,21.984456452869257,0.00083935977,0.0015888346,0.0014128931,0.001739337318378384,0.0016386333,0.0012590372,0.00131522,0.001958676769220646,0.0014088104,0.0014884204,0.0015281425,0.0020742645541025548,0.0011546662,0.0020538534,0.001639663,0.00313860256384256,0.0017541113,0.003927086,0.001722637,0.003347531934167248,0.0008616736,0.0019998536,0.0016471717,0.0032825605768600366,0.0016411562,0.002482266,0.0023107305,0.003629631292500582
