year,province,municipality,name,production [t],harvested area [ha],yield [kg/ha]
1969,buenos aires,25 de mayo,buenos aires 25 de mayo,71400,42000,1700
1970,buenos aires,25 de mayo,buenos aires 25 de mayo,54000,36000,1500
1971,buenos aires,25 de mayo,buenos aires 25 de mayo,39000,30000,1300
1972,buenos aires,25 de mayo,buenos aires 25 de mayo,73600,41000,1795
1973,buenos aires,25 de mayo,buenos aires 25 de mayo,9000,6000,1500
1974,buenos aires,25 de mayo,buenos aires 25 de mayo,39000,26000,1500
1975,buenos aires,25 de mayo,buenos aires 25 de mayo,14000,10000,1400
1976,buenos aires,25 de mayo,buenos aires 25 de mayo,27000,18000,1500
1977,buenos aires,25 de mayo,buenos aires 25 de mayo,16000,13300,1203
1978,buenos aires,25 de mayo,buenos aires 25 de mayo,14560,11200,1300
1979,buenos aires,25 de mayo,buenos aires 25 de mayo,22000,20000,1100
1980,buenos aires,25 de mayo,buenos aires 25 de mayo,22452,12470,1800
1981,buenos aires,25 de mayo,buenos aires 25 de mayo,40000,24300,1646
1982,buenos aires,25 de mayo,buenos aires 25 de mayo,41600,26000,1600
1983,buenos aires,25 de mayo,buenos aires 25 de mayo,60000,30000,2000
1984,buenos aires,25 de mayo,buenos aires 25 de mayo,56000,28000,2000
1985,buenos aires,25 de mayo,buenos aires 25 de mayo,30000,25000,1200
1986,buenos aires,25 de mayo,buenos aires 25 de mayo,40000,22400,1786
1987,buenos aires,25 de mayo,buenos aires 25 de mayo,18550,10800,1718
1988,buenos aires,25 de mayo,buenos aires 25 de mayo,55000,28000,1964
1989,buenos aires,25 de mayo,buenos aires 25 de mayo,60100,32000,1878
1990,buenos aires,25 de mayo,buenos aires 25 de mayo,84500,38400,2201
1991,buenos aires,25 de mayo,buenos aires 25 de mayo,48300,21000,2300
1992,buenos aires,25 de mayo,buenos aires 25 de mayo,43700,16800,2601
1993,buenos aires,25 de mayo,buenos aires 25 de mayo,28000,14000,2000
1994,buenos aires,25 de mayo,buenos aires 25 de mayo,124000,40000,3100
1995,buenos aires,25 de mayo,buenos aires 25 de mayo,108800,37500,2901
1996,buenos aires,25 de mayo,buenos aires 25 de mayo,226400,56600,4000
1997,buenos aires,25 de mayo,buenos aires 25 de mayo,115800,35100,3299
1998,buenos aires,25 de mayo,buenos aires 25 de mayo,121000,32600,3712
1999,buenos aires,25 de mayo,buenos aires 25 de mayo,124000,37500,3307
2000,buenos aires,25 de mayo,buenos aires 25 de mayo,89000,30800,2890
2001,buenos aires,25 de mayo,buenos aires 25 de mayo,23200,13600,1706
2002,buenos aires,25 de mayo,buenos aires 25 de mayo,23660,11830,2000
2003,buenos aires,25 de mayo,buenos aires 25 de mayo,48670,12480,3900
2004,buenos aires,25 de mayo,buenos aires 25 de mayo,67040,16350,4100
2005,buenos aires,25 de mayo,buenos aires 25 de mayo,80100,17800,4500
2006,buenos aires,25 de mayo,buenos aires 25 de mayo,103500,23000,4500
2007,buenos aires,25 de mayo,buenos aires 25 de mayo,90540,25150,3600
2008,buenos aires,25 de mayo,buenos aires 25 de mayo,79200,22000,3600
2009,buenos aires,25 de mayo,buenos aires 25 de mayo,11280,15320,736
2010,buenos aires,25 de mayo,buenos aires 25 de mayo,86330,19000,4544
2011,buenos aires,25 de mayo,buenos aires 25 de mayo,98700,21000,4700
2012,buenos aires,25 de mayo,buenos aires 25 de mayo,33600,12000,2800
2013,buenos aires,25 de mayo,buenos aires 25 de mayo,42900,11000,3900
2014,buenos aires,25 de mayo,buenos aires 25 de mayo,95870,25910,3700
2015,buenos aires,25 de mayo,buenos aires 25 de mayo,18600,6200,3000
2016,buenos aires,25 de mayo,buenos aires 25 de mayo,159322,43060,3700
2017,buenos aires,25 de mayo,buenos aires 25 de mayo,147493,37340,3950
2018,buenos aires,25 de mayo,buenos aires 25 de mayo,151648,40986,3700
2019,buenos aires,25 de mayo,buenos aires 25 de mayo,152962,41238,3709
2020,buenos aires,25 de mayo,buenos aires 25 de mayo,191542,49119,3900
2021,buenos aires,25 de mayo,buenos aires 25 de mayo,220074,55030,3999
1969,buenos aires,9 de julio,buenos aires 9 de julio,59400,33000,1800
1970,buenos aires,9 de julio,buenos aires 9 de julio,50000,31400,1592
1971,buenos aires,9 de julio,buenos aires 9 de julio,42000,28000,1500
1972,buenos aires,9 de julio,buenos aires 9 de julio,46200,28000,1650
1973,buenos aires,9 de julio,buenos aires 9 de julio,12800,7500,1707
1974,buenos aires,9 de julio,buenos aires 9 de julio,30600,17000,1800
1975,buenos aires,9 de julio,buenos aires 9 de julio,16800,12000,1400
1976,buenos aires,9 de julio,buenos aires 9 de julio,76500,38250,2000
1977,buenos aires,9 de julio,buenos aires 9 de julio,30000,22000,1364
1978,buenos aires,9 de julio,buenos aires 9 de julio,33000,18500,1784
1979,buenos aires,9 de julio,buenos aires 9 de julio,42100,21050,2000
1980,buenos aires,9 de julio,buenos aires 9 de julio,82000,32000,2563
1981,buenos aires,9 de julio,buenos aires 9 de julio,110000,50000,2200
1982,buenos aires,9 de julio,buenos aires 9 de julio,155000,62000,2500
1983,buenos aires,9 de julio,buenos aires 9 de julio,120000,50000,2400
1984,buenos aires,9 de julio,buenos aires 9 de julio,122200,47000,2600
1985,buenos aires,9 de julio,buenos aires 9 de julio,52500,40400,1300
1986,buenos aires,9 de julio,buenos aires 9 de julio,70800,37000,1914
1987,buenos aires,9 de julio,buenos aires 9 de julio,19900,10000,1990
1988,buenos aires,9 de julio,buenos aires 9 de julio,55000,22000,2500
1989,buenos aires,9 de julio,buenos aires 9 de julio,63000,30000,2100
1990,buenos aires,9 de julio,buenos aires 9 de julio,121800,42000,2900
1991,buenos aires,9 de julio,buenos aires 9 de julio,86800,31000,2800
1992,buenos aires,9 de julio,buenos aires 9 de julio,150800,52000,2900
1993,buenos aires,9 de julio,buenos aires 9 de julio,101200,44000,2300
1994,buenos aires,9 de julio,buenos aires 9 de julio,170600,51700,3300
1995,buenos aires,9 de julio,buenos aires 9 de julio,182700,58000,3150
1996,buenos aires,9 de julio,buenos aires 9 de julio,294900,79700,3700
1997,buenos aires,9 de julio,buenos aires 9 de julio,151900,49000,3100
1998,buenos aires,9 de julio,buenos aires 9 de julio,105000,29000,3621
1999,buenos aires,9 de julio,buenos aires 9 de julio,164500,46000,3576
2000,buenos aires,9 de julio,buenos aires 9 de julio,62500,25000,2500
2001,buenos aires,9 de julio,buenos aires 9 de julio,21000,9500,2211
2002,buenos aires,9 de julio,buenos aires 9 de julio,30000,15000,2000
2003,buenos aires,9 de julio,buenos aires 9 de julio,35400,11800,3000
2004,buenos aires,9 de julio,buenos aires 9 de julio,100800,24000,4200
2005,buenos aires,9 de julio,buenos aires 9 de julio,92000,23000,4000
2006,buenos aires,9 de julio,buenos aires 9 de julio,108000,27000,4000
2007,buenos aires,9 de julio,buenos aires 9 de julio,84800,26500,3200
2008,buenos aires,9 de julio,buenos aires 9 de julio,50000,20000,2500
2009,buenos aires,9 de julio,buenos aires 9 de julio,44170,13460,3282
2010,buenos aires,9 de julio,buenos aires 9 de julio,113600,20000,5680
2011,buenos aires,9 de julio,buenos aires 9 de julio,65000,13000,5000
2012,buenos aires,9 de julio,buenos aires 9 de julio,17010,5670,3000
2013,buenos aires,9 de julio,buenos aires 9 de julio,38400,8000,4800
2014,buenos aires,9 de julio,buenos aires 9 de julio,50640,12350,4100
2015,buenos aires,9 de julio,buenos aires 9 de julio,28800,7200,4000
2016,buenos aires,9 de julio,buenos aires 9 de julio,217098,51690,4200
2017,buenos aires,9 de julio,buenos aires 9 de julio,244100,48820,5000
2018,buenos aires,9 de julio,buenos aires 9 de julio,258404,64601,4000
2019,buenos aires,9 de julio,buenos aires 9 de julio,204750,45500,4500
2020,buenos aires,9 de julio,buenos aires 9 de julio,252040,60010,4200
2021,buenos aires,9 de julio,buenos aires 9 de julio,329250,67211,4899
1969,buenos aires,adolfo alsina,buenos aires adolfo alsina,143000,110000,1300
1970,buenos aires,adolfo alsina,buenos aires adolfo alsina,72000,99000,727
1971,buenos aires,adolfo alsina,buenos aires adolfo alsina,127200,106000,1200
1972,buenos aires,adolfo alsina,buenos aires adolfo alsina,187000,110000,1700
1973,buenos aires,adolfo alsina,buenos aires adolfo alsina,153150,85000,1802
1974,buenos aires,adolfo alsina,buenos aires adolfo alsina,102000,85000,1200
1975,buenos aires,adolfo alsina,buenos aires adolfo alsina,134400,96000,1400
1976,buenos aires,adolfo alsina,buenos aires adolfo alsina,188200,119000,1582
1977,buenos aires,adolfo alsina,buenos aires adolfo alsina,77200,70200,1100
1978,buenos aires,adolfo alsina,buenos aires adolfo alsina,132800,83000,1600
1979,buenos aires,adolfo alsina,buenos aires adolfo alsina,148000,87480,1692
1980,buenos aires,adolfo alsina,buenos aires adolfo alsina,85000,70000,1214
1981,buenos aires,adolfo alsina,buenos aires adolfo alsina,140000,100000,1400
1982,buenos aires,adolfo alsina,buenos aires adolfo alsina,229170,118000,1942
1983,buenos aires,adolfo alsina,buenos aires adolfo alsina,214200,119000,1800
1984,buenos aires,adolfo alsina,buenos aires adolfo alsina,276000,120000,2300
1985,buenos aires,adolfo alsina,buenos aires adolfo alsina,147000,90000,1633
1986,buenos aires,adolfo alsina,buenos aires adolfo alsina,173100,96600,1792
1987,buenos aires,adolfo alsina,buenos aires adolfo alsina,162900,90000,1810
1988,buenos aires,adolfo alsina,buenos aires adolfo alsina,100000,72000,1389
1989,buenos aires,adolfo alsina,buenos aires adolfo alsina,190000,105000,1810
1990,buenos aires,adolfo alsina,buenos aires adolfo alsina,165000,110000,1500
1991,buenos aires,adolfo alsina,buenos aires adolfo alsina,140000,80000,1750
1992,buenos aires,adolfo alsina,buenos aires adolfo alsina,51200,36600,1399
1993,buenos aires,adolfo alsina,buenos aires adolfo alsina,146200,68000,2150
1994,buenos aires,adolfo alsina,buenos aires adolfo alsina,166500,90000,1850
1995,buenos aires,adolfo alsina,buenos aires adolfo alsina,138600,84000,1650
1996,buenos aires,adolfo alsina,buenos aires adolfo alsina,180897,103300,1751
1997,buenos aires,adolfo alsina,buenos aires adolfo alsina,195500,85000,2300
1998,buenos aires,adolfo alsina,buenos aires adolfo alsina,150000,80000,1875
1999,buenos aires,adolfo alsina,buenos aires adolfo alsina,125700,88500,1420
2000,buenos aires,adolfo alsina,buenos aires adolfo alsina,265000,94000,2819
2001,buenos aires,adolfo alsina,buenos aires adolfo alsina,221000,100500,2199
2002,buenos aires,adolfo alsina,buenos aires adolfo alsina,231000,105000,2200
2003,buenos aires,adolfo alsina,buenos aires adolfo alsina,133500,89000,1500
2004,buenos aires,adolfo alsina,buenos aires adolfo alsina,235200,98000,2400
2005,buenos aires,adolfo alsina,buenos aires adolfo alsina,104000,69400,1499
2006,buenos aires,adolfo alsina,buenos aires adolfo alsina,107280,59600,1800
2007,buenos aires,adolfo alsina,buenos aires adolfo alsina,228000,81500,2798
2008,buenos aires,adolfo alsina,buenos aires adolfo alsina,122350,94000,1302
2009,buenos aires,adolfo alsina,buenos aires adolfo alsina,84823,73300,1157
2010,buenos aires,adolfo alsina,buenos aires adolfo alsina,268520,94600,2838
2011,buenos aires,adolfo alsina,buenos aires adolfo alsina,289900,103600,2798
2012,buenos aires,adolfo alsina,buenos aires adolfo alsina,244815,79050,3097
2013,buenos aires,adolfo alsina,buenos aires adolfo alsina,193260,96600,2001
2014,buenos aires,adolfo alsina,buenos aires adolfo alsina,284940,105600,2698
2015,buenos aires,adolfo alsina,buenos aires adolfo alsina,229400,85000,2699
2016,buenos aires,adolfo alsina,buenos aires adolfo alsina,237939,82110,2898
2017,buenos aires,adolfo alsina,buenos aires adolfo alsina,188940,75600,2499
2018,buenos aires,adolfo alsina,buenos aires adolfo alsina,244680,81600,2999
2019,buenos aires,adolfo alsina,buenos aires adolfo alsina,199830,95100,2101
2020,buenos aires,adolfo alsina,buenos aires adolfo alsina,231220,82600,2799
2021,buenos aires,adolfo alsina,buenos aires adolfo alsina,409860,120600,3399
1969,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,75250,43000,1750
1970,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,70400,50700,1389
1971,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,65800,47000,1400
1972,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,95000,51000,1863
1973,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,68900,38300,1799
1974,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,76300,47700,1600
1975,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,93000,60000,1550
1976,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,116160,66000,1760
1977,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,70000,47000,1489
1978,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,127000,63500,2000
1979,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,128000,64000,2000
1980,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,151000,85800,1760
1981,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,89000,81300,1095
1982,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,192000,80000,2400
1983,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,152600,77000,1982
1984,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,171600,73000,2351
1985,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,93500,55000,1700
1986,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,133900,63200,2119
1987,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,123500,65000,1900
1988,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,94000,63000,1492
1989,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,170000,75000,2267
1990,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,56000,53000,1057
1991,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,153800,63500,2422
1992,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,171300,60500,2831
1993,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,159000,59000,2695
1994,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,195800,66600,2940
1995,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,179000,73700,2429
1996,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,241200,103000,2342
1997,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,395500,112000,3531
1998,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,280000,124700,2245
1999,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,366700,141000,2601
2000,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,462000,154350,2993
2001,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,355000,116300,3052
2002,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,281740,112900,2495
2003,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,429450,122800,3497
2004,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,368520,124500,2960
2005,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,325100,111871,2906
2006,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,350025,113970,3071
2007,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,184680,102922,1794
2008,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,166116,91900,1808
2009,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,220117,95480,2305
2010,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,339886,82200,4135
2011,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,299560,70000,4279
2012,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,75439,27870,2707
2013,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,196080,52200,3756
2014,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,162150,62440,2597
2015,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,120276,33410,3600
2016,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,131787,48810,2700
2017,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,176788,44197,4000
2018,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,197891,47110,4201
2019,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,162400,50500,3216
2020,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,255600,56000,4564
2021,buenos aires,adolfo gonzales chaves,buenos aires adolfo gonzales chaves,151686,40317,3762
1969,buenos aires,alberti,buenos aires alberti,34000,20000,1700
1970,buenos aires,alberti,buenos aires alberti,28000,15700,1783
1971,buenos aires,alberti,buenos aires alberti,21000,14000,1500
1972,buenos aires,alberti,buenos aires alberti,28900,17000,1700
1973,buenos aires,alberti,buenos aires alberti,9600,6000,1600
1974,buenos aires,alberti,buenos aires alberti,12000,6000,2000
1975,buenos aires,alberti,buenos aires alberti,14000,7000,2000
1976,buenos aires,alberti,buenos aires alberti,19550,8500,2300
1977,buenos aires,alberti,buenos aires alberti,11350,8500,1335
1978,buenos aires,alberti,buenos aires alberti,10080,4800,2100
1979,buenos aires,alberti,buenos aires alberti,12400,5400,2296
1980,buenos aires,alberti,buenos aires alberti,45000,19700,2284
1981,buenos aires,alberti,buenos aires alberti,65000,30000,2167
1982,buenos aires,alberti,buenos aires alberti,87500,35000,2500
1983,buenos aires,alberti,buenos aires alberti,69000,30000,2300
1984,buenos aires,alberti,buenos aires alberti,42000,20000,2100
1985,buenos aires,alberti,buenos aires alberti,23800,17000,1400
1986,buenos aires,alberti,buenos aires alberti,37300,18000,2072
1987,buenos aires,alberti,buenos aires alberti,35900,18000,1994
1988,buenos aires,alberti,buenos aires alberti,39600,18000,2200
1989,buenos aires,alberti,buenos aires alberti,50000,20000,2500
1990,buenos aires,alberti,buenos aires alberti,43500,15000,2900
1991,buenos aires,alberti,buenos aires alberti,30800,11000,2800
1992,buenos aires,alberti,buenos aires alberti,37700,13000,2900
1993,buenos aires,alberti,buenos aires alberti,33000,15000,2200
1994,buenos aires,alberti,buenos aires alberti,55800,16900,3302
1995,buenos aires,alberti,buenos aires alberti,59500,17000,3500
1996,buenos aires,alberti,buenos aires alberti,87000,22900,3799
1997,buenos aires,alberti,buenos aires alberti,71600,21700,3300
1998,buenos aires,alberti,buenos aires alberti,71000,19000,3737
1999,buenos aires,alberti,buenos aires alberti,84200,23000,3661
2000,buenos aires,alberti,buenos aires alberti,48000,16000,3000
2001,buenos aires,alberti,buenos aires alberti,13000,7200,1806
2002,buenos aires,alberti,buenos aires alberti,22000,10000,2200
2003,buenos aires,alberti,buenos aires alberti,38940,11800,3300
2004,buenos aires,alberti,buenos aires alberti,48000,12000,4000
2005,buenos aires,alberti,buenos aires alberti,54000,12000,4500
2006,buenos aires,alberti,buenos aires alberti,47150,11500,4100
2007,buenos aires,alberti,buenos aires alberti,36800,11500,3200
2008,buenos aires,alberti,buenos aires alberti,31470,10850,2900
2009,buenos aires,alberti,buenos aires alberti,68980,18510,3727
2010,buenos aires,alberti,buenos aires alberti,29740,7200,4131
2011,buenos aires,alberti,buenos aires alberti,57000,11400,5000
2012,buenos aires,alberti,buenos aires alberti,39060,13020,3000
2013,buenos aires,alberti,buenos aires alberti,50400,12000,4200
2014,buenos aires,alberti,buenos aires alberti,19480,4750,4101
2015,buenos aires,alberti,buenos aires alberti,42560,10640,4000
2016,buenos aires,alberti,buenos aires alberti,104160,24800,4200
2017,buenos aires,alberti,buenos aires alberti,126405,25281,5000
2018,buenos aires,alberti,buenos aires alberti,94040,23510,4000
2019,buenos aires,alberti,buenos aires alberti,75150,16700,4500
2020,buenos aires,alberti,buenos aires alberti,92400,22000,4200
2021,buenos aires,alberti,buenos aires alberti,117600,24000,4900
1969,buenos aires,arrecifes,buenos aires arrecifes,14160,8850,1600
1970,buenos aires,arrecifes,buenos aires arrecifes,13000,5900,2203
1971,buenos aires,arrecifes,buenos aires arrecifes,9100,6150,1480
1972,buenos aires,arrecifes,buenos aires arrecifes,21400,9900,2162
1973,buenos aires,arrecifes,buenos aires arrecifes,5850,4500,1300
1974,buenos aires,arrecifes,buenos aires arrecifes,8200,4000,2050
1975,buenos aires,arrecifes,buenos aires arrecifes,14700,7000,2100
1976,buenos aires,arrecifes,buenos aires arrecifes,13600,8000,1700
1977,buenos aires,arrecifes,buenos aires arrecifes,9600,5650,1699
1978,buenos aires,arrecifes,buenos aires arrecifes,14740,6700,2200
1979,buenos aires,arrecifes,buenos aires arrecifes,20600,8400,2452
1980,buenos aires,arrecifes,buenos aires arrecifes,64000,26000,2462
1981,buenos aires,arrecifes,buenos aires arrecifes,70000,32000,2188
1982,buenos aires,arrecifes,buenos aires arrecifes,92400,33000,2800
1983,buenos aires,arrecifes,buenos aires arrecifes,62000,31000,2000
1984,buenos aires,arrecifes,buenos aires arrecifes,77500,31000,2500
1985,buenos aires,arrecifes,buenos aires arrecifes,49000,30700,1596
1986,buenos aires,arrecifes,buenos aires arrecifes,53100,26400,2011
1987,buenos aires,arrecifes,buenos aires arrecifes,47500,25000,1900
1988,buenos aires,arrecifes,buenos aires arrecifes,36000,20000,1800
1989,buenos aires,arrecifes,buenos aires arrecifes,26800,10500,2552
1990,buenos aires,arrecifes,buenos aires arrecifes,29500,13400,2201
1991,buenos aires,arrecifes,buenos aires arrecifes,9700,5100,1902
1992,buenos aires,arrecifes,buenos aires arrecifes,15300,6000,2550
1993,buenos aires,arrecifes,buenos aires arrecifes,22000,12200,1803
1994,buenos aires,arrecifes,buenos aires arrecifes,18000,6800,2647
1995,buenos aires,arrecifes,buenos aires arrecifes,28600,10200,2804
1996,buenos aires,arrecifes,buenos aires arrecifes,66000,22000,3000
1997,buenos aires,arrecifes,buenos aires arrecifes,40000,14800,2703
1998,buenos aires,arrecifes,buenos aires arrecifes,29000,9400,3085
1999,buenos aires,arrecifes,buenos aires arrecifes,36500,11500,3174
2000,buenos aires,arrecifes,buenos aires arrecifes,26000,9900,2626
2001,buenos aires,arrecifes,buenos aires arrecifes,22000,11500,1913
2002,buenos aires,arrecifes,buenos aires arrecifes,13490,7100,1900
2003,buenos aires,arrecifes,buenos aires arrecifes,21080,6800,3100
2004,buenos aires,arrecifes,buenos aires arrecifes,23100,7000,3300
2005,buenos aires,arrecifes,buenos aires arrecifes,23400,6500,3600
2006,buenos aires,arrecifes,buenos aires arrecifes,69730,18350,3800
2007,buenos aires,arrecifes,buenos aires arrecifes,79550,18500,4300
2008,buenos aires,arrecifes,buenos aires arrecifes,30590,13300,2300
2009,buenos aires,arrecifes,buenos aires arrecifes,33116,7350,4506
2010,buenos aires,arrecifes,buenos aires arrecifes,26252,6200,4234
2011,buenos aires,arrecifes,buenos aires arrecifes,29700,6600,4500
2012,buenos aires,arrecifes,buenos aires arrecifes,13412,4790,2800
2013,buenos aires,arrecifes,buenos aires arrecifes,20295,4950,4100
2014,buenos aires,arrecifes,buenos aires arrecifes,14280,4080,3500
2015,buenos aires,arrecifes,buenos aires arrecifes,49280,12320,4000
2016,buenos aires,arrecifes,buenos aires arrecifes,95700,21750,4400
2017,buenos aires,arrecifes,buenos aires arrecifes,90515,21050,4300
2018,buenos aires,arrecifes,buenos aires arrecifes,93355,21217,4400
2019,buenos aires,arrecifes,buenos aires arrecifes,103416,25854,4000
2020,buenos aires,arrecifes,buenos aires arrecifes,101600,25400,4000
2021,buenos aires,arrecifes,buenos aires arrecifes,122693,25561,4800
1969,buenos aires,ayacucho,buenos aires ayacucho,5700,3800,1500
1970,buenos aires,ayacucho,buenos aires ayacucho,6000,3350,1791
1971,buenos aires,ayacucho,buenos aires ayacucho,3600,3000,1200
1972,buenos aires,ayacucho,buenos aires ayacucho,5700,3600,1583
1973,buenos aires,ayacucho,buenos aires ayacucho,4040,2375,1701
1974,buenos aires,ayacucho,buenos aires ayacucho,3240,1990,1628
1975,buenos aires,ayacucho,buenos aires ayacucho,6080,3800,1600
1976,buenos aires,ayacucho,buenos aires ayacucho,4680,3600,1300
1977,buenos aires,ayacucho,buenos aires ayacucho,3170,2000,1585
1978,buenos aires,ayacucho,buenos aires ayacucho,3750,1500,2500
1979,buenos aires,ayacucho,buenos aires ayacucho,420,300,1400
1980,buenos aires,ayacucho,buenos aires ayacucho,800,350,2286
1981,buenos aires,ayacucho,buenos aires ayacucho,1020,600,1700
1982,buenos aires,ayacucho,buenos aires ayacucho,2400,1200,2000
1983,buenos aires,ayacucho,buenos aires ayacucho,5750,2500,2300
1984,buenos aires,ayacucho,buenos aires ayacucho,9000,3000,3000
1985,buenos aires,ayacucho,buenos aires ayacucho,5940,3300,1800
1986,buenos aires,ayacucho,buenos aires ayacucho,9300,3600,2583
1987,buenos aires,ayacucho,buenos aires ayacucho,6500,3500,1857
1988,buenos aires,ayacucho,buenos aires ayacucho,17150,4900,3500
1989,buenos aires,ayacucho,buenos aires ayacucho,6000,3000,2000
1990,buenos aires,ayacucho,buenos aires ayacucho,6400,4000,1600
1991,buenos aires,ayacucho,buenos aires ayacucho,6300,3500,1800
1992,buenos aires,ayacucho,buenos aires ayacucho,6500,3400,1912
1993,buenos aires,ayacucho,buenos aires ayacucho,6500,3600,1806
1994,buenos aires,ayacucho,buenos aires ayacucho,8700,3800,2289
1995,buenos aires,ayacucho,buenos aires ayacucho,9900,4500,2200
1996,buenos aires,ayacucho,buenos aires ayacucho,27400,9800,2796
1997,buenos aires,ayacucho,buenos aires ayacucho,24600,8200,3000
1998,buenos aires,ayacucho,buenos aires ayacucho,13000,5500,2364
1999,buenos aires,ayacucho,buenos aires ayacucho,27100,9600,2823
2000,buenos aires,ayacucho,buenos aires ayacucho,32200,10750,2995
2001,buenos aires,ayacucho,buenos aires ayacucho,17500,6600,2652
2002,buenos aires,ayacucho,buenos aires ayacucho,8360,4400,1900
2003,buenos aires,ayacucho,buenos aires ayacucho,22320,6200,3600
2004,buenos aires,ayacucho,buenos aires ayacucho,20580,5880,3500
2005,buenos aires,ayacucho,buenos aires ayacucho,20170,5450,3701
2006,buenos aires,ayacucho,buenos aires ayacucho,19980,5400,3700
2007,buenos aires,ayacucho,buenos aires ayacucho,12000,4800,2500
2008,buenos aires,ayacucho,buenos aires ayacucho,12300,4240,2901
2009,buenos aires,ayacucho,buenos aires ayacucho,13261,3440,3855
2010,buenos aires,ayacucho,buenos aires ayacucho,18202,3750,4854
2011,buenos aires,ayacucho,buenos aires ayacucho,13959,2970,4700
2012,buenos aires,ayacucho,buenos aires ayacucho,3600,1000,3600
2013,buenos aires,ayacucho,buenos aires ayacucho,17480,3800,4600
2014,buenos aires,ayacucho,buenos aires ayacucho,12284,3320,3700
2015,buenos aires,ayacucho,buenos aires ayacucho,10800,2700,4000
2016,buenos aires,ayacucho,buenos aires ayacucho,31744,10240,3100
2017,buenos aires,ayacucho,buenos aires ayacucho,5111,1345,3800
2018,buenos aires,ayacucho,buenos aires ayacucho,6400,1600,4000
2019,buenos aires,ayacucho,buenos aires ayacucho,18240,4800,3800
2020,buenos aires,ayacucho,buenos aires ayacucho,50740,11800,4300
2021,buenos aires,ayacucho,buenos aires ayacucho,54000,12000,4500
1969,buenos aires,azul,buenos aires azul,30400,16000,1900
1970,buenos aires,azul,buenos aires azul,36000,18100,1989
1971,buenos aires,azul,buenos aires azul,30100,21500,1400
1972,buenos aires,azul,buenos aires azul,50300,23000,2187
