year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeanrain_santa fe san justo_11,rainsquared_buenos aires villarino_11,tmeansquared_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,rainsquared_santa fe san justo_11
2006,BOM,9,2802.152801978974,0.0575983895925021,-0.24822732158371769,0.23434109938416095,-0.6905590354128445,-0.5120986185552516,0.28232514134853476,0.2808534334755458,-0.49888147363560387,-0.6406010268607601
2006,BOM,10,2802.152801978974,0.0575983895925021,-0.6677093973112899,-0.05033162217601388,-0.5101918715154256,-0.6093671325634784,0.4104567950507401,0.39184114405161524,-0.3604402373570725,-0.7309386914206562
2006,BOM,11,2802.152801978974,0.0575983895925021,1.3587110864711665,0.598677829580158,-0.29401416957480725,-0.708563414454211,-0.7101131627271802,-0.06197578789026666,-0.3604402373570725,3.1290981716161075
2007,BOM,9,2964.9821230781013,0.0901024788182954,-0.35726046116041277,0.3702280818971203,-0.32019392432006194,1.0191828657267035,-0.5734692157417995,-0.49662766995121105,0.03506129401312709,-0.3380328196188087
2007,BOM,10,2964.9821230781013,0.0901024788182954,-1.074258004830723,-0.06839803001791368,0.12304556277261335,-0.6264215970871815,0.46188909210294665,0.47073915157739554,0.7105837240429327,-0.5185452370969673
2007,BOM,11,2964.9821230781013,0.0901024788182954,0.126191709340691,0.07223699225884188,-0.07743565249684893,-0.8227800987235517,0.6688693825283715,0.4976856788554315,0.7105837240429327,-0.661859240472966
2008,BOM,9,2024.453890851962,-0.2906591931618024,-0.7449467671662846,0.2634019492122014,-0.6928207640287789,-0.6042993521156029,0.3886276607744033,0.39884735363166723,-0.6626581941259417,-0.6799466649441032
2008,BOM,10,2024.453890851962,-0.2906591931618024,1.6194081016127484,-0.789711113049782,0.11671782362738242,-0.4328332193381689,-0.018995085175559173,-0.020109091435991547,-0.8178796132359357,-0.6339068419917478
2008,BOM,11,2024.453890851962,-0.2906591931618024,0.020621513184706,-0.46979716646736847,0.04365947048970272,2.1386114213544674,-1.3394038142516602,-1.5073101903384551,-0.8178796132359357,-0.5838425882418998
2009,BOM,9,2970.2970292832338,0.0808897038617558,1.230039046582052,0.8538191190175118,-0.2870131533821511,-0.2134027751923233,0.2179081865118257,0.05401017611456324,-0.6564371679016259,-0.22450400557695016
2009,BOM,10,2970.2970292832338,0.0808897038617558,-0.7891987353341657,-0.8427851486168376,-0.2713093688937696,1.2042239222957967,1.0442759001029904,1.5130052815213841,1.7056802288492474,-0.7185531901823364
2009,BOM,11,2970.2970292832338,0.0808897038617558,-0.8197007464550157,0.5181418549122745,-0.6541695470599493,2.0931841818503165,-0.08960938600854983,-0.3490438057373235,1.7056802288492474,-0.6912215207248822
2010,BOM,9,3933.646838880765,0.395993458774148,-0.5735106900188094,-0.09819884283926116,0.2660699736066111,5.8130679231551206,-1.968078298615059,-2.839067631439677,-0.05974630835359744,-0.11065667597237046
2010,BOM,10,3933.646838880765,0.395993458774148,0.31214765266461136,1.2536096544404565,-0.6727215554118636,-0.6537852061746119,0.3608487324697801,0.3920370765654673,6.25880380270696,0.33330919629248856
2010,BOM,11,3933.646838880765,0.395993458774148,1.9765190236549584,1.5417208086728769,1.1837601544123182,-0.16285865249721926,-0.26232226579493295,-0.600651774801524,6.25880380270696,0.7238726961816843
2011,BOM,9,3647.926665981048,0.1954531458213887,-0.08934778331593801,0.4646647343642241,0.0020766730513509576,-0.6935038089283767,0.46002495172615715,0.47456291162032577,-0.7614365398959015,0.5979964858350534
2011,BOM,10,3647.926665981048,0.1954531458213887,0.3027698729169491,0.5716351975794237,-0.24873067586501058,-0.6749417454560566,0.37259950137141357,0.3969557905351089,0.2181487212223256,-0.5345139690641836
2011,BOM,11,3647.926665981048,0.1954531458213887,0.4215007055606539,0.9579324290151596,0.07359794785873805,-0.7141797775984026,0.6524443190175993,0.47051553750000663,0.2181487212223256,-0.36177644167993844
2012,BOM,9,2958.105831211545,-0.0776281120723763,-0.4599386865563563,-0.12498877371793009,-0.45665686357356516,-0.6866478163405608,0.40749971542037805,0.4311855250720165,-0.23007486957523907,-0.7076773295982599
2012,BOM,10,2958.105831211545,-0.0776281120723763,0.6868515991850841,-0.03111792754121825,-0.5075072755061212,-0.578577150289508,0.412905655899084,0.38573044955918956,-0.4965444009707422,-0.7196933736443181
2012,BOM,11,2958.105831211545,-0.0776281120723763,0.8328598529406941,1.3232484093556127,0.10731024532040268,-0.8319925461378027,0.5516200928622719,0.4953377476561229,-0.4965444009707422,1.0465541115172683
