model,year,init_month,yield [kg/ha],yield anomaly [%],rain_coronel dorrego_8,rain_coronel dorrego_9,rain_coronel dorrego_10,rain_coronel dorrego_11,rain_hipolito yrigoyen_8,rain_hipolito yrigoyen_9,rain_hipolito yrigoyen_10,rain_hipolito yrigoyen_11,tmean_coronel dorrego_8,tmean_coronel dorrego_9,tmean_coronel dorrego_10,tmean_coronel dorrego_11,tmean_hipolito yrigoyen_8,tmean_hipolito yrigoyen_9,tmean_hipolito yrigoyen_10,tmean_hipolito yrigoyen_11
ERA,1993,12,2037.439151033997,-0.046170862121690914,0.0002037468075286,0.000628761597909,0.0018863640725612,0.0029613657388836,0.0006215181201696,0.0026867291890084,0.0021569193340837,0.0050824871286749,10.111881510416689,11.635530598958356,14.788216145833356,16.469661458333356,10.2726262019231,11.611023888221176,16.041256009615406,17.662612680288483
ERA,1994,12,2185.741997507356,0.01813773994710706,0.0012941801687702,0.0008188242209143,0.0018797678640112,0.0017442521639168,0.0023313458077609,0.0015862610889598,0.0025635925121605,0.0018445625901222,9.101888020833355,11.997054036458357,13.50704752604169,19.33691406250002,9.854018930288484,12.882019981971176,14.715966796875025,19.764100060096176
ERA,1995,12,1946.759707253285,-0.10226469385673315,0.0010596452048048,0.0005364235257729,0.0020090625621378,0.0033043315634131,0.0005901144468225,0.0011481206165626,0.0023878549691289,0.004076225683093,8.55362955729169,11.863720703125022,14.151692708333355,18.02254231770836,9.41800255408656,13.288870943509638,15.503958834134638,19.738953575721176
ERA,1996,12,2260.47032027338,0.04096774368286191,0.003406329313293,0.0006316987564787,0.0036751788575202,0.0030385004356503,0.0018074541585519,0.0011892481707036,0.0031352252699434,0.0033304716926068,11.399055989583356,11.58082682291669,15.139143880208357,18.580712890625023,12.301397235576946,12.625015024038484,16.64287484975964,19.933777794471176
ERA,1997,12,2623.2529203255017,0.17591281186346389,0.001250876695849,0.0013247018214315,0.0032858562190085,0.0021128533408045,0.0016890791011974,0.001447649905458,0.0063817598856985,0.0042256759479641,9.445686848958356,10.045312500000025,13.814274088541689,16.640755208333356,10.8129094050481,11.807031250000025,14.85110802283656,17.689280348557716
ERA,1998,12,2304.962651203633,-0.006931550817168792,0.0007986744167283,0.0040862108580768,0.0006552159902639,0.0022639401722699,0.0010528143029659,0.0026172478683292,0.0010809826198965,0.0034286710433661,10.257145182291689,10.50680338541669,16.65226236979169,18.41985677083336,10.077783203125025,11.228943810096176,17.407222806490406,18.863484074519253
ERA,1999,12,2505.6008274599226,0.06037101339863026,0.0016386333154514,0.0012590371770784,0.0013152200262993,0.0028234904166311,0.001754111261107,0.0039270860143005,0.0017226369818672,0.0020905679557472,10.206591796875022,11.968359375000023,14.94288736979169,17.893538411458355,10.688059645432714,12.786222956730793,15.103248948317331,18.870301231971176
ERA,2000,12,2551.682570811968,0.045319268639523895,0.0009749613818712,0.0025673152413219,0.0026678252033889,0.0015934130642563,0.0012347461888566,0.0026329644024372,0.0044826515950262,0.0033870572224259,8.276057942708356,10.39493815104169,13.02882486979169,16.615266927083358,9.357155198317331,11.7860539362981,14.834356219951946,17.327388822115406
ERA,2001,12,2275.107945586972,-0.08321180018550224,0.0033264756202697,0.0028308876790106,0.003253795672208,0.0037002579774707,0.0025783614255487,0.0033977313432842,0.0065836040303111,0.0039327228441834,10.807747395833356,10.933251953125025,14.572216796875022,17.038802083333355,11.979695012019253,12.091793118990408,15.918453275240408,17.672077824519253
ERA,2002,12,2098.312168451822,-0.1599897413045245,0.005076500121504,0.0016042615752667,0.0035790465772151,0.0062674558721482,0.0040034716948866,0.0020752432756125,0.0061492817476391,0.0071104955859482,9.460237630208356,11.086669921875025,15.61866861979169,17.574609375000023,10.840666316105793,12.152678034855793,16.530757962740406,18.80357572115387
ERA,2003,12,2687.6983520115846,0.0867211661741361,0.001282883924432,0.0010545791592448,0.003805307438597,0.0018923616735264,0.0009725748677738,0.0008788288105279,0.003133840393275,0.0076186140067875,8.739013671875023,12.315218098958356,15.867626953125022,17.849414062500024,9.38626427283656,13.252700570913484,17.102798227163483,18.83970853365387
ERA,2004,12,2768.3673897008125,0.0933536252225563,0.0022886863444,0.0014357168693095,0.0028363445308059,0.0020305002108216,0.0018942449241876,0.0012266888516023,0.0026201917789876,0.0031469953246414,9.377669270833357,11.91114908854169,13.992919921875025,17.174983723958356,10.371897536057714,12.98839017427887,15.334619140625025,18.1200383112981
ERA,2005,12,2652.504506303661,0.02954926654373117,0.0016949422424659,0.0020055070053786,0.0008726484957151,0.0033580248709768,0.0016545046819373,0.0017550258198753,0.0016885541845113,0.0033572139218449,9.21642252604169,11.07873942057294,13.910791015625025,18.71578776041669,10.270391376201946,12.448205566406273,15.619287109375025,20.32160456730772
ERA,2006,12,2802.152801978974,0.05759838959250214,0.0003014498506672,0.0012234461028128,0.0044954251497983,0.0008992985240183,0.0001177927333628,0.0012215905589982,0.0071584810502827,0.001417611609213,9.362239583333356,12.220214843750025,15.220279947916689,18.113232421875026,10.085764723557714,13.370094651442331,16.858976862980793,18.858094200721176
ERA,2007,12,2964.9821230781013,0.09010247881829546,0.0004776765708811,0.0041884896345436,0.0016880498733371,0.0020546813029795,0.0002709048567339,0.0038300107698887,0.0057192514650523,0.0021274103783071,7.128672281901064,12.72428385416669,15.802376302083356,15.948421223958356,7.690799184945936,13.761846454326946,16.576412259615406,17.744211989182716
