model,year,init_month,yield [kg/ha],yield anomaly [%],tmean_rain_santa fe san justo_11,rain_squared_hipolito yrigoyen_9,tmean_rain_santa fe san justo_10,tmean_squared_bahia blanca_11,tmean_rain_bahia blanca_9,rain_squared_santa fe san justo_11,tmean_squared_santa fe san justo_11,tmean_rain_bahia blanca_11,tmean_rain_hipolito yrigoyen_11
ERA,1993,12,2037.439151033997,-0.046170862121690914,-1.7676272466167655,0.25665467465638286,-2.176832072544053,2.1538124581853006,-0.10127281936554534,1.226205157655918,2.548110374086949,-1.2979369002363745,-1.5953247133428585
ERA,1994,12,2185.741997507356,0.01813773994710706,0.3086432416989882,0.2357556178800341,-1.051837969335942,1.8426401264102545,-0.42261003453598006,0.23540062852485166,0.4046745807070062,-1.49058900932047,-0.6911741794137393
ERA,1995,12,1946.759707253285,-0.10226469385673315,-0.25715731327952535,0.7930677555408261,0.135662732304176,0.01739740892054523,-1.151953792618289,0.05548663757116283,1.1918163844102272,0.02047805460987055,0.23522951831142067
ERA,1996,12,2260.47032027338,0.04096774368286191,0.248492125638647,0.7257143109644093,-0.04085122630812257,0.513885541398778,-0.04986373505964019,0.22829713914167432,0.27047354485723085,0.6789507118172605,-0.0789749041592847
ERA,1997,12,2623.2529203255017,0.17591281186346389,-0.006840946537213606,0.3748343422263957,0.01475121801539472,1.0722708185372927,0.02762217358415746,0.02948642793695491,0.0015871216962961756,0.9217936759045303,-0.7118502612778015
ERA,1998,12,2304.962651203633,-0.006931550817168792,0.06730166067881882,0.19660807781064213,-0.205637478024552,0.012046909555512717,-2.5204503866826156,0.19021208490071423,0.023812964000111535,0.10818101188602444,0.008872719642585633
ERA,1999,12,2505.6008274599226,0.06037101339863026,-0.5446005985652879,2.932358798532287,0.47525575105845896,0.2127137521117861,0.03542013722712561,2.4570235271422183,0.12071101830377488,-0.6334460324093778,0.23111003010156897
ERA,2000,12,2551.682570811968,0.045319268639523895,-0.1451622153946635,0.20947265686318806,-0.10361317648364135,1.3737044902738929,-0.9873877763327571,0.006372491925302881,3.306723496128265,1.0699514951440698,0.11538204723332242
ERA,2001,12,2275.107945586972,-0.08321180018550224,-1.3274198909343458,1.3782919829403062,-0.4306421674662633,1.0478252482356418,-1.6767849291936383,1.4752536121776534,1.1944004422718615,-0.7064835143252979,-0.4355735353421913
ERA,2002,12,2098.312168451822,-0.1599897413045245,-0.09782129434163338,0.001986633480964126,0.7153965758605001,0.35223578972742,0.0722554220184706,2.615480702867783,0.0036586030308617436,-1.2428644835477956,-0.8701142033012172
ERA,2003,12,2687.6983520115846,0.0867211661741361,-0.0912353255180806,1.3179380373610592,-0.31234699825063095,0.0025282503220276967,-0.38599681214799036,0.14342137790053464,0.05803796298877352,0.027392303102052012,-0.9318282590966088
ERA,2004,12,2768.3673897008125,0.0933536252225563,0.22937784977574383,0.6672161494933195,0.0008414159978158347,0.8495716366211138,0.20282062822852492,0.2841508088987827,0.18516293573700646,0.4759722733948817,0.2188843517259465
ERA,2005,12,2652.504506303661,0.02954926654373117,-0.24266165575115928,0.11059855155162499,0.8499588454899231,0.9504086231286522,-0.4133791437462322,0.3494596501523053,0.16850208356309626,-4.789759459723869e-05,-0.09756418822591333
ERA,2006,12,2802.152801978974,0.05759838959250214,0.013419718251765154,0.6750253147411196,0.6764158907361606,0.03256349684581445,-0.4599988125888011,0.27686982378697056,0.000650445886422505,-0.32984524209751903,0.368431982245593
ERA,2007,12,2964.9821230781013,0.09010247881829546,1.0251399200547933,2.5917607257616697,-0.0901530856451962,3.4339154040881184,4.64807466134646,2.1687420011280922,0.48457209531761075,1.0281889099577814,1.2591514721847905
ERA,2008,12,2024.453890851962,-0.29065919316180244,-5.239857697437501,0.0006578272471897104,-0.08001758878504595,11.682452721949115,-0.05354241512452704,2.560293953913991,10.723811087169162,-2.596691137296991,-1.0413734098222347
ERA,2009,12,2970.2970292832338,0.08088970386176157,4.409554154953364,4.223522273349851,-0.7744584349197718,0.23397161340928238,0.4201542274762434,4.9148771333388925,3.9561859468615435,-0.21672481753832346,-0.023164278845923668
ERA,2010,12,3933.646838880765,0.39599345877414804,0.6166359359410712,8.896478125098282,1.5926101751820052,0.6044802179120186,0.037890091586929874,0.7621426165525237,0.49890908766379993,0.4838540683214785,0.12815293172797823
ERA,2011,12,3647.926665981048,0.19545314582138293,-0.6017999962249481,1.5922319018906756,0.39074826596167256,1.680037957130677,-1.3201684035874968,0.29570240507115325,1.2247557992272744,4.149473859488981,0.6062862939208432
ERA,2012,12,2958.105831211545,-0.07762811207237638,-1.1228399686889947,0.4657865194429091,0.4430693805546442,1.206137703280384,-1.3462815713145575,1.1162794575750354,1.129439036730419,0.08992226620431024,0.24288417912578747
ERA,2013,12,2707.197486937163,-0.16111924358488175,0.1779115821013614,0.20131371470475232,-2.2865980083807327,0.5112426230304556,-1.9637899287679645,4.711183946270627,0.006718593756218243,-0.6080723401600664,0.19821154467852894
ERA,2014,12,2892.8454356606403,-0.09350907621332018,-0.5909910501095964,0.2635105571525837,1.1943844590685688,0.08058873229988875,-0.9704858535067422,1.4940851704563172,0.23376874907537615,0.20697074440818702,-0.31847044640632677
ERA,2015,12,3101.367971827829,-0.03240935318922937,-0.177319870545794,0.532778108983789,0.0186849547337263,0.11557602190798114,0.8057654892773163,0.0172883255977555,1.818703396843661,-0.16242941081764253,0.16790172222985342
