model,year,init_month,yield [kg/ha],yield anomaly [%],rain_bahia blanca_9,rain_bahia blanca_10,rain_bahia blanca_11,rain_coronel dorrego_9,rain_coronel dorrego_10,rain_coronel dorrego_11,rain_coronel pringles_9,rain_coronel pringles_10,rain_coronel pringles_11,rain_coronel suarez_9,rain_coronel suarez_10,rain_coronel suarez_11,rain_hipolito yrigoyen_9,rain_hipolito yrigoyen_10,rain_hipolito yrigoyen_11,rain_saavedra_9,rain_saavedra_10,rain_saavedra_11,rain_santa fe san justo_9,rain_santa fe san justo_10,rain_santa fe san justo_11,tmean_bahia blanca_9,tmean_bahia blanca_10,tmean_bahia blanca_11,tmean_coronel dorrego_9,tmean_coronel dorrego_10,tmean_coronel dorrego_11,tmean_coronel pringles_9,tmean_coronel pringles_10,tmean_coronel pringles_11,tmean_coronel suarez_9,tmean_coronel suarez_10,tmean_coronel suarez_11,tmean_hipolito yrigoyen_9,tmean_hipolito yrigoyen_10,tmean_hipolito yrigoyen_11,tmean_saavedra_9,tmean_saavedra_10,tmean_saavedra_11,tmean_santa fe san justo_9,tmean_santa fe san justo_10,tmean_santa fe san justo_11
ERA,1993,12,2037.439151033997,-0.046170862121690914,0.000719484698493,0.0021060470025986,0.0030663830693811,0.000628761597909,0.0018863640725612,0.0029613657388836,0.0010248401667922,0.0019765165634453,0.003917031455785,0.0015684035606682,0.002202168572694,0.0046255942434072,0.0026867291890084,0.0021569193340837,0.0050824871286749,0.001262979581952,0.0021778636146336,0.0045134215615689,0.000991275650449,0.0133212879300117,0.0070534041151404,12.046370442708357,15.487858072916689,17.143457031250023,11.635530598958356,14.788216145833356,16.469661458333356,10.782110126201946,14.327877103365408,15.85923978365387,10.429900192002142,14.454045286016973,16.00989969544494,11.611023888221176,16.041256009615406,17.662612680288483,10.539789643158809,14.45346283783786,15.948329286317591,15.59787248883931,19.56554129464288,20.98717215401788
ERA,1994,12,2185.741997507356,0.01813773994710706,0.0007955141481943,0.0015010813949629,0.0012966752983629,0.0008188242209143,0.0018797678640112,0.0017442521639168,0.0006432709633372,0.0021837877575308,0.0015263546956703,0.0007497143815271,0.0025101595092564,0.0015690317377448,0.0015862610889598,0.0025635925121605,0.0018445625901222,0.000631587638054,0.0022756762336939,0.0014916381333023,0.0030664554797112,0.0078352354466915,0.0033545070327818,12.393457031250025,14.252343750000025,20.47833658854169,11.997054036458357,13.50704752604169,19.33691406250002,11.23733849158656,12.872517277644253,18.561801382211563,11.253465141684345,13.054651913400448,18.5588436837924,12.882019981971176,14.715966796875025,19.764100060096176,11.147356682854753,13.03960488809124,18.72490762246624,17.975139508928596,19.196191406250023,21.84497767857145
ERA,1995,12,1946.759707253285,-0.10226469385673315,0.0002920363331213,0.0020335994195193,0.0024146197829395,0.0005364235257729,0.0020090625621378,0.0033043315634131,0.0003761009429581,0.0019766471814364,0.0048884926363825,0.0003434592217672,0.0021443096920847,0.0047338679432868,0.0011481206165626,0.0023878549691289,0.004076225683093,0.0003035722475033,0.0018729482544586,0.0034878640435636,0.0021625610534101,0.0043044276535511,0.0039403401315212,12.646630859375025,14.855208333333357,19.032942708333355,11.863720703125022,14.151692708333355,18.02254231770836,11.512053034855793,13.714483173076946,17.369625150240406,11.954206667108071,13.9405141022246,17.831664625264857,13.288870943509638,15.503958834134638,19.738953575721176,11.834381598395291,13.959150654560831,18.11165936444259,17.465513392857165,18.616601562500023,23.485742187500023
ERA,1996,12,2260.47032027338,0.04096774368286191,0.0006615440361201,0.0026899988297373,0.003120670793578,0.0006316987564787,0.0036751788575202,0.0030385004356503,0.0005703488131985,0.0041125500574707,0.0032044984400272,0.0006354854558594,0.0033630661200731,0.0042267753742635,0.0011892481707036,0.0031352252699434,0.0033304716926068,0.0005926298326812,0.0029650174546986,0.0040264301933348,0.0032281610183417,0.0036245831288397,0.0056226453743875,11.994042968750025,16.01520182291669,19.74249674479169,11.58082682291669,15.139143880208357,18.580712890625023,10.844666466346176,14.767536808894253,17.85801908052887,10.752194782839004,15.034673761917396,18.058169193591127,12.625015024038484,16.64287484975964,19.933777794471176,10.670338893581103,15.087086940456103,18.174251741976374,16.21007254464288,20.117578125000023,22.95532924107145
ERA,1997,12,2623.2529203255017,0.17591281186346389,0.0015218281187117,0.0027985926717519,0.0014749885303899,0.0013247018214315,0.0032858562190085,0.0021128533408045,0.001163367414847,0.0037901478353887,0.0021691268775612,0.0014238368021324,0.0040330123156309,0.0019759102724492,0.001447649905458,0.0063817598856985,0.0042256759479641,0.0017725134966894,0.0033537854906171,0.0014989468036219,0.0005514522781595,0.0047597554512321,0.0040910341776907,10.751041666666689,14.429264322916689,17.62604166666669,10.045312500000025,13.814274088541689,16.640755208333356,9.6442082331731,13.27444786658656,16.056054687500023,9.919815942796632,13.28934139962926,16.206354277012736,11.807031250000025,14.85110802283656,17.689280348557716,9.895977618243268,13.221113545185831,16.266609480574346,18.5535086495536,20.192110770089307,22.49365931919645
ERA,1998,12,2304.962651203633,-0.006931550817168792,0.0030149274971336,0.0008842768147587,0.003153812373057,0.0040862108580768,0.0006552159902639,0.0022639401722699,0.0048831370659172,0.0004653966752812,0.0022929008118808,0.0039147045463323,0.0007504028035327,0.0034476004075258,0.0026172478683292,0.0010809826198965,0.0034286710433661,0.0032991641201078,0.0008906525908969,0.0043928255327045,0.0020467056892812,0.0023126362357288,0.0034690632019191,10.719547526041689,17.47443033854169,19.005761718750023,10.50680338541669,16.65226236979169,18.41985677083336,9.731573016826946,15.906546724759638,17.602291165865406,9.629619637182229,15.849507580773327,17.45037903866528,11.228943810096176,17.407222806490406,18.863484074519253,9.434208720439212,15.963116290118268,17.456775232263535,15.117229352678594,20.23975306919645,22.3059500558036
ERA,1999,12,2505.6008274599226,0.06037101339863026,0.0015888345660641,0.0014128930633887,0.0034784309100359,0.0012590371770784,0.0013152200262993,0.0028234904166311,0.001488420413807,0.0015281424857676,0.0027050557546317,0.0020538533572107,0.001639663008973,0.0035457843914628,0.0039270860143005,0.0017226369818672,0.0020905679557472,0.00199985364452,0.0016471716808155,0.0045851385220885,0.0024822659324854,0.0023107305169105,0.000963904953096,12.515852864583357,15.745182291666689,18.30670572916669,11.968359375000023,14.94288736979169,17.893538411458355,11.334562800480793,14.097051532451946,17.343408203125023,11.266561837923753,14.005335507150448,17.27183775820977,12.786222956730793,15.103248948317331,18.870301231971176,11.24492715371624,14.088261454814212,17.08205896326016,17.90294363839288,19.454561941964307,22.7903250558036
ERA,2000,12,2551.682570811968,0.045319268639523895,0.0021221518982201,0.0030555287376046,0.0014553085202351,0.0025673152413219,0.0026678252033889,0.0015934130642563,0.0027980739250779,0.0029923729598522,0.0016681880224496,0.0034481990151107,0.0037208234425634,0.0025666835717856,0.0026329644024372,0.0044826515950262,0.0033870572224259,0.0034961083438247,0.0038065873086452,0.0019910626579076,0.0029890928417444,0.0030886754393577,0.004686081316322,10.672672526041689,13.611637369791689,17.47027994791669,10.39493815104169,13.02882486979169,16.615266927083358,9.862376051682714,12.616657902644253,16.02243840144233,9.855184884798753,12.839477125264851,15.98537804555087,11.7860539362981,14.834356219951946,17.327388822115406,9.641721653293942,12.741146273226374,16.060066511824346,16.033489118303596,20.187193080357165,20.80626395089288
ERA,2001,12,2275.107945586972,-0.08321180018550224,0.0029723413754254,0.00369378994219,0.0028960413765162,0.0028308876790106,0.003253795672208,0.0037002579774707,0.0033977904822677,0.0042237262241542,0.0032689368817955,0.0045606973581016,0.0049682878889143,0.0035355370491743,0.0033977313432842,0.0065836040303111,0.0039327228441834,0.0050165532156825,0.0053584203124046,0.0033252628054469,0.0040927422232925,0.0065892520360648,0.0072872648015618,11.084944661458357,15.146630859375025,17.63971354166669,10.933251953125025,14.572216796875022,17.038802083333355,10.345474008413484,14.139870042067331,16.2862980769231,10.28348202462926,14.458030157574177,16.200610765360192,12.091793118990408,15.918453275240408,17.672077824519253,10.085556112753402,14.307644900760158,16.146861803209482,15.910791015625025,19.45299246651788,21.42345145089288
ERA,2002,12,2098.312168451822,-0.1599897413045245,0.0014306282391771,0.0032001959625631,0.0040281037800014,0.0016042615752667,0.0035790465772151,0.0062674558721482,0.0016706170281395,0.0034965681843459,0.0068164095282554,0.0015449691563844,0.0038793189451098,0.0058884536847472,0.0020752432756125,0.0061492817476391,0.0071104955859482,0.0017119573894888,0.003877654671669,0.0048112827353179,0.0027299777138978,0.0060096564702689,0.0081317406147718,11.424951171875025,16.04742838541669,18.146956380208355,11.086669921875025,15.61866861979169,17.574609375000023,10.36233849158656,14.850957782451946,16.872573617788483,10.403872318591125,14.762072133209768,16.909917902542396,12.152678034855793,16.530757962740406,18.80357572115387,10.249526235219616,14.631045449746644,16.7908783783784,16.624204799107165,21.257540457589307,22.396630859375023
