year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_buenos aires coronel suarez_9,tmeansquared_buenos aires coronel suarez_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9
1993,BOM,9,2037.439151033997,-0.0461708621216909,1.5790574177404586,-1.3113130621375144,0.04569173194759784,2.13895544769846
1993,BOM,10,2037.439151033997,-0.0461708621216909,0.5078820007956356,-0.31770962717121615,-0.07247190167738705,-0.5040017024172249
1993,BOM,11,2037.439151033997,-0.0461708621216909,0.5078820007956356,-1.7860101768600476,0.0032025428949590705,-0.5040017024172249
1994,BOM,9,2185.741997507356,0.018137739947107,0.8392879194567708,-1.2558082547531348,0.058180484044847144,1.0488131490112094
1994,BOM,10,2185.741997507356,0.018137739947107,-0.0318913201485533,-0.6014734470996487,2.1450980765434244,-0.5151841819496545
1994,BOM,11,2185.741997507356,0.018137739947107,-0.0318913201485533,-1.4594427944078079,0.08784074005945756,-0.5151841819496545
1995,BOM,9,1946.759707253285,-0.1022646938567331,-0.8636493378779936,0.0033582146698142917,0.1769924396446203,-0.7464599876848885
1995,BOM,10,1946.759707253285,-0.1022646938567331,-1.34663793103679,0.3306061385838,-1.871178992015307,-0.2192486650489319
1995,BOM,11,1946.759707253285,-0.1022646938567331,-1.34663793103679,0.4940973945116901,0.24915572968108723,-0.2192486650489319
1996,BOM,9,2260.47032027338,0.0409677436828619,-0.24802883838331963,1.545169875054624,-0.676956335868671,-0.5585201819520008
1996,BOM,10,2260.47032027338,0.0409677436828619,0.4924623043142366,0.6963567539891015,-1.285694759685723,-0.2548149533584984
1996,BOM,11,2260.47032027338,0.0409677436828619,0.4924623043142366,1.290693291226579,-0.7472162688461028,-0.2548149533584984
1997,BOM,9,2623.2529203255017,0.1759128118634677,2.1771805918970126,-1.7831546520405792,1.976494245347777,3.732309289709598
1997,BOM,10,2623.2529203255017,0.1759128118634677,0.7601389857480411,-1.698086799024085,2.0853891419855812,-0.4409148741206526
1997,BOM,11,2623.2529203255017,0.1759128118634677,0.7601389857480411,-1.6511395033334213,1.0975869898208135,-0.4409148741206526
1998,BOM,9,2304.962651203633,-0.0069315508171687,-0.7402451604551183,0.9510299183296366,-1.7052593471191675,-0.6815294664844387
1998,BOM,10,2304.962651203633,-0.0069315508171687,-2.6025283497878897,-0.05755016032345118,-0.7408334798329241,-0.5361534570880869
1998,BOM,11,2304.962651203633,-0.0069315508171687,-2.6025283497878897,0.13983126622822933,-0.05546754815491304,-0.5361534570880869
1999,BOM,9,2505.6008274599226,0.0603710133986302,-1.2460795724726166,-0.1847011848901226,-1.3663852024410907,-0.8540055126206949
1999,BOM,10,2505.6008274599226,0.0603710133986302,0.5317531079354265,-1.3731719671015883,-0.8367111205433337,0.9231740065533972
1999,BOM,11,2505.6008274599226,0.0603710133986302,0.5317531079354265,-0.5982256159315423,-0.8416094607942475,0.9231740065533972
2000,BOM,9,2551.682570811968,0.0453192686395238,-1.2057996337313563,-0.1287297512520919,-0.8421233206589219,-0.7695885184499207
2000,BOM,10,2551.682570811968,0.0453192686395238,-1.2463461165030476,-0.9063157203752537,-1.272684154939264,-0.5292592793592488
2000,BOM,11,2551.682570811968,0.0453192686395238,-1.2463461165030476,-0.8963111191094567,-1.2590782178289814,-0.5292592793592488
2001,BOM,9,2275.107945586972,-0.0832118001855024,-0.8372891084611346,-1.3385314154063483,-1.3752042893519254,-0.6557593446206096
2001,BOM,10,2275.107945586972,-0.0832118001855024,-1.2433379812878398,-0.20824623037296025,-1.0395874087174959,0.0888929796124224
2001,BOM,11,2275.107945586972,-0.0832118001855024,-1.2433379812878398,-0.17878836682491106,-0.07087471867166267,0.0888929796124224
2002,BOM,9,2098.312168451822,-0.1599897413045245,-0.6268522969173972,-0.5154024517001651,0.1745130398213008,-0.6156564830428907
2002,BOM,10,2098.312168451822,-0.1599897413045245,0.5232752646835752,-1.3321128111344869,0.32926521998770797,-0.6408790443192578
2002,BOM,11,2098.312168451822,-0.1599897413045245,0.5232752646835752,-0.9324999264030972,0.13590966782383293,-0.6408790443192578
2003,BOM,9,2687.6983520115846,0.0867211661741361,-0.7576553393501372,-0.11408781903229731,1.3296347616990316,-0.6846199789697311
2003,BOM,10,2687.6983520115846,0.0867211661741361,-0.1911015914509483,0.5348215433790424,-0.2440841289512582,0.0571284311943044
2003,BOM,11,2687.6983520115846,0.0867211661741361,-0.1911015914509483,1.206508689767379,1.3386167383156602,0.0571284311943044
2004,BOM,9,2768.3673897008125,0.0933536252225563,-0.1801229299227125,-0.2492294058634424,0.15243657076565906,-0.2609819238170395
2004,BOM,10,2768.3673897008125,0.0933536252225563,0.3102260833714876,-0.5693454510683349,1.2226547545332904,-0.2857390823426177
2004,BOM,11,2768.3673897008125,0.0933536252225563,0.3102260833714876,0.14830962355829935,-0.7852703241278998,-0.2857390823426177
2005,BOM,9,2652.504506303661,0.0295492665437282,-0.31139224337943094,-0.0866852867169825,1.0742575378124846,-0.5399679327071951
2005,BOM,10,2652.504506303661,0.0295492665437282,0.4255546475041008,0.8806406934607022,-0.8006733300715589,-0.5823330100573393
2005,BOM,11,2652.504506303661,0.0295492665437282,0.4255546475041008,0.2711455282097994,-1.4789141561059491,-0.5823330100573393
2006,BOM,9,2802.152801978974,0.0575983895925021,-0.6580395530599759,-0.9003180782341291,0.4358063911619734,-0.6155278989813009
2006,BOM,10,2802.152801978974,0.0575983895925021,-0.2288072677467741,-0.20482915019606707,0.20246865915570247,-0.2816089155925115
