lat,lon,year,month,rain,tmean,geometry
-40,-63,1993,9,0.6706268759444356,11.306103515625022,POINT (-63 -40)
-40,-63,1993,10,1.1302624846575782,15.560000000000024,POINT (-63 -40)
-40,-63,1993,11,1.8142813397571445,17.76808593750002,POINT (-63 -40)
-40,-63,1994,9,0.8473822858650237,12.451103515625023,POINT (-63 -40)
-40,-63,1994,10,1.0156870406353846,14.237861328125023,POINT (-63 -40)
-40,-63,1994,11,0.38621698127826676,20.401308593750024,POINT (-63 -40)
-40,-63,1995,9,0.15948320273309946,12.277216796875022,POINT (-63 -40)
-40,-63,1995,10,1.355043868534267,14.592734375000022,POINT (-63 -40)
-40,-63,1995,11,1.1834623746108264,18.772666015625024,POINT (-63 -40)
-40,-63,1996,9,0.43148969794856384,11.957480468750022,POINT (-63 -40)
-40,-63,1996,10,2.184106743661687,15.557861328125023,POINT (-63 -40)
-40,-63,1996,11,0.9278232423821464,20.852431640625024,POINT (-63 -40)
-40,-63,1997,9,1.579427276737988,10.470507812500022,POINT (-63 -40)
-40,-63,1997,10,2.228899849578738,14.303759765625022,POINT (-63 -40)
-40,-63,1997,11,1.9925671495730057,17.760722656250024,POINT (-63 -40)
-40,-63,1998,9,1.0054093226790428,10.759804687500022,POINT (-63 -40)
-40,-63,1998,10,0.13455102569423616,18.352431640625024,POINT (-63 -40)
-40,-63,1998,11,1.46418496966362,19.44025390625002,POINT (-63 -40)
-40,-63,1999,9,1.5567032201215625,12.298574218750023,POINT (-63 -40)
-40,-63,1999,10,0.4157241084612906,16.280810546875024,POINT (-63 -40)
-40,-63,1999,11,2.5669872853904963,18.675185546875024,POINT (-63 -40)
-40,-63,2000,9,1.3588896533474326,9.961064453125022,POINT (-63 -40)
-40,-63,2000,10,1.669988208450377,13.513212890625022,POINT (-63 -40)
-40,-63,2000,11,1.6392878955230117,17.40478515625002,POINT (-63 -40)
-40,-63,2001,9,1.906007018405944,10.561923828125023,POINT (-63 -40)
-40,-63,2001,10,2.744764976669103,14.631416015625023,POINT (-63 -40)
-40,-63,2001,11,1.8691030610352755,17.547148437500024,POINT (-63 -40)
-40,-63,2002,9,0.9299371275119483,11.208955078125022,POINT (-63 -40)
-40,-63,2002,10,1.7313609458506107,16.361474609375023,POINT (-63 -40)
-40,-63,2002,11,0.8024824078893289,18.793828125000022,POINT (-63 -40)
-40,-63,2003,9,0.7724093506112695,12.691611328125022,POINT (-63 -40)
-40,-63,2003,10,2.2787351720035076,16.594345703125022,POINT (-63 -40)
-40,-63,2003,11,1.053613240364939,18.98550781250002,POINT (-63 -40)
-40,-63,2004,9,1.3331074389861897,12.593779296875022,POINT (-63 -40)
-40,-63,2004,10,2.176817152649164,14.441865234375022,POINT (-63 -40)
-40,-63,2004,11,1.646964403335005,18.076650390625023,POINT (-63 -40)
-40,-63,2005,9,1.725843446329236,11.647736816406272,POINT (-63 -40)
-40,-63,2005,10,0.24718928063521162,14.902646484375023,POINT (-63 -40)
-40,-63,2005,11,1.642761304974556,20.014589843750024,POINT (-63 -40)
-40,-63,2006,9,0.1882273508090293,12.539941406250023,POINT (-63 -40)
-40,-63,2006,10,2.3984615597873926,15.650781250000023,POINT (-63 -40)
-40,-63,2006,11,0.8955749263986945,19.001357421875024,POINT (-63 -40)
-40,-63,2007,9,4.246352156624198,12.645781250000022,POINT (-63 -40)
-40,-63,2007,10,0.5656505352817476,16.693476562500024,POINT (-63 -40)
-40,-63,2007,11,1.201980677433312,16.722177734375023,POINT (-63 -40)
-40,-63,2008,9,0.22928026970475912,12.263427734375023,POINT (-63 -40)
-40,-63,2008,10,0.7530940999276936,16.482011718750023,POINT (-63 -40)
-40,-63,2008,11,0.34572828095406294,22.044492187500023,POINT (-63 -40)
-40,-63,2009,9,0.7406174595234916,11.275253906250022,POINT (-63 -40)
-40,-63,2009,10,0.1839560600637924,16.021054687500023,POINT (-63 -40)
-40,-63,2009,11,1.3506367709487677,17.689414062500024,POINT (-63 -40)
-40,-63,2010,9,0.507453007157892,11.873242187500022,POINT (-63 -40)
-40,-63,2010,10,2.486259685829282,15.662001953125023,POINT (-63 -40)
-40,-63,2010,11,1.3297164300456643,17.27319335937502,POINT (-63 -40)
-40,-63,2011,9,0.6253624451346695,13.428144531250023,POINT (-63 -40)
-40,-63,2011,10,1.6793517395853996,13.525849609375022,POINT (-63 -40)
-40,-63,2011,11,1.6350541822612286,21.285439453125022,POINT (-63 -40)
-40,-63,2012,9,0.1855480161611922,13.278544921875023,POINT (-63 -40)
-40,-63,2012,10,0.4883800580864772,16.12297851562502,POINT (-63 -40)
-40,-63,2012,11,1.7890140227973461,19.662636718750022,POINT (-63 -40)
-40,-63,2013,9,2.87664707750082,10.363017578125023,POINT (-63 -40)
-40,-63,2013,10,1.351880212314427,15.652753906250023,POINT (-63 -40)
-40,-63,2013,11,0.9949330106610432,19.65216796875002,POINT (-63 -40)
-40,-63,2014,9,2.09696133621037,12.571689453125023,POINT (-63 -40)
-40,-63,2014,10,2.486493708565831,15.327587890625022,POINT (-63 -40)
-40,-63,2014,11,1.3783128699287772,18.39688476562502,POINT (-63 -40)
-40,-63,2015,9,0.6031627347692847,10.243046875000022,POINT (-63 -40)
-40,-63,2015,10,2.094940133392811,12.168896484375022,POINT (-63 -40)
-40,-63,2015,11,1.3235122745390981,19.66219726562502,POINT (-63 -40)
-40,-63,2016,9,0.7761434389976785,11.238095703125023,POINT (-63 -40)
-40,-63,2016,10,2.028556705918163,14.395566406250023,POINT (-63 -40)
