year,model,init_month,yield anomaly [%],tmeansquared_-38_-62_11,tmeanrain_-38_-62_11,rainsquared_-31_-61_11,rainsquared_-36_-62_9,tmeanrain_-31_-61_10
2010,CCSM4,7,0.393264818221862,-0.13034625837664435,0.0010933667826672983,0.14457440237579092,0.20302832537915338,0.1380984571695931
2010,CCSM4,8,0.393264818221862,-0.012446805617534395,-0.16427387009200406,-0.0029271609136608135,0.19200386932249602,0.05802072321685358
2010,CCSM4,9,0.393264818221862,-0.12003021989952702,0.06624391947173659,0.010252803924156386,0.23329013184442435,0.15221196395213996
2010,CCSM4,10,0.393264818221862,-0.0983721804716687,0.07828650699649589,0.07517978632649382,4.295336508223127,0.12657524660439629
2010,CCSM4,11,0.393264818221862,-0.025810145951996835,0.03892182210904359,0.31316512049508943,4.295336508223127,1.6168687107229616
2011,CCSM4,6,0.195224281780053,-0.11742974017530892,0.16353425938592617,-0.014139398346532028,-0.019950524991598294,0.04565093877422982
2011,CCSM4,7,0.195224281780053,-0.11747239734862196,0.1604568161077236,-0.035178274424936866,-0.0193197254433661,0.07059745328190146
2011,CCSM4,8,0.195224281780053,0.04935072117453073,0.17669800091653615,0.005115030178289421,0.17642936750622396,0.17251304501762926
2011,CCSM4,9,0.195224281780053,-0.0006228423058555344,0.06544676332796703,0.011034589887206682,0.19364431192219558,0.15074257714558223
2011,CCSM4,10,0.195224281780053,-0.09665192191542975,0.3061364975932847,0.050422111265589535,0.6354329504199082,0.10899999919546492
2011,CCSM4,11,0.195224281780053,-0.11035555506614707,0.08896255538862347,0.14657010213071353,0.6354329504199082,0.3105477228578904
2012,CCSM4,6,-0.0792001269960332,0.06688150745687894,-0.2768414268953063,0.008074858019756624,-0.055012055219376785,0.09564167457474794
2012,CCSM4,7,-0.0792001269960332,-0.11058868988453036,0.05023116995115151,0.005236598476748325,-0.06568561451150698,0.06986160059949163
2012,CCSM4,8,-0.0792001269960332,-0.09574215396729517,-0.0622219356495098,-0.023753448623054552,0.14682804441823125,0.06553743684816787
2012,CCSM4,9,-0.0792001269960332,-0.06308953544939018,-0.1310068691141029,-0.041832001185143707,-0.030760820356208644,0.06611015780718844
2012,CCSM4,10,-0.0792001269960332,-0.1182579622017357,0.02693603784862845,-0.039272099554906514,-0.8574011504322928,0.1287248604084428
2012,CCSM4,11,-0.0792001269960332,-0.11757967173381427,0.02171793670980858,0.030909978666595953,-0.8574011504322928,0.7209937650988525
2013,CCSM4,6,-0.1595647344919787,-0.12268964469293796,0.013934882988679493,0.1467500383946411,0.015636715607875707,0.0038023727350560313
2013,CCSM4,7,-0.1595647344919787,-0.12622090296805652,-0.006830433295245341,0.1281926987861764,-0.06904190591363689,0.0065883003791205735
2013,CCSM4,8,-0.1595647344919787,-0.12782090349622816,-0.011416893790387045,0.10615808916274368,-0.03392661052419493,0.008911836858076155
2013,CCSM4,9,-0.1595647344919787,-0.11213579764840668,0.011138115935560695,0.09623748189525014,-0.043790912199512026,0.037977857136006356
2013,CCSM4,10,-0.1595647344919787,0.030561966272162355,-0.1942228137498825,0.10072414584636859,-0.786384925377355,0.01012260417357776
2013,CCSM4,11,-0.1595647344919787,-0.1262076289779324,-0.0029120129520055333,0.49898802086573557,-0.786384925377355,-1.482673114645856
2014,CCSM4,6,-0.0941845151806222,-0.02243763648522051,-0.06996120110883387,0.2512094127701886,-0.032065891880829714,0.053954676518870176
2014,CCSM4,7,-0.0941845151806222,-0.1098806607325443,-0.11803509755455342,0.03277845935842683,-0.06535959868046867,0.106169076589067
2014,CCSM4,8,-0.0941845151806222,-0.09302074271151058,-0.04036793890035539,-0.006756299061321469,0.020210626179885442,0.06005011863019392
2014,CCSM4,9,-0.0941845151806222,-0.06606589639631706,0.21048135173911284,0.011574418767362728,-0.05074295218830558,0.08484103375183748
2014,CCSM4,10,-0.0941845151806222,-0.13337765032549684,0.007289487959248323,0.006203689088756116,-0.739328170725342,0.054046990080187284
2014,CCSM4,11,-0.0941845151806222,-0.12512931313777853,0.03786797340088458,-0.01043634146614582,-0.739328170725342,0.6016024455714277
2015,CCSM4,6,-0.0334949233576057,-0.09188794093739051,0.09981417318409977,0.05724672354833013,0.1965347947346857,0.17329823377521125
2015,CCSM4,7,-0.0334949233576057,-0.11269253751562777,-0.17066117756630264,1.2311246450546107,0.47932689836341247,0.06674576990269097
2015,CCSM4,8,-0.0334949233576057,-0.12148822046780919,-0.2016058379219529,0.9393604431131309,1.0693866164023482,0.17638111459857309
2015,CCSM4,9,-0.0334949233576057,-0.11902015813867743,-0.21421483762813703,0.3552056615073874,0.15994364885964968,0.23554650475758057
2015,CCSM4,10,-0.0334949233576057,-0.13042101943403217,-0.050456696711517916,0.17588204063807494,-0.6216824249997946,0.09523156565190859
2015,CCSM4,11,-0.0334949233576057,-0.03523395311160374,-0.3811048385484205,0.11783737104674205,-0.6216824249997946,0.7708461397186386
2016,CCSM4,6,0.0653287949940389,-0.03530063030849645,-0.048596990096171515,-0.059825614202614015,0.2650807484751814,-0.02842433763038211
2016,CCSM4,7,0.0653287949940389,0.13885717010631551,-0.08068757311421344,-0.035635324131443234,-0.026532254195930693,-0.05603184675672302
2016,CCSM4,8,0.0653287949940389,-0.058640209935250105,0.02857926807417212,-0.03585567557176184,-0.055076849272682284,0.02995283475905673
2016,CCSM4,9,0.0653287949940389,0.30156986263832597,-0.3888082732809246,-0.051298559780700755,-0.033330995767348465,0.04909451447697491
2016,CCSM4,10,0.0653287949940389,-0.07774005559688027,-0.00874175981715884,-0.06004092728500892,-0.508651427276567,0.06299168442957193
2016,CCSM4,11,0.0653287949940389,0.01594066652331867,-0.27013381542932735,-0.023269672538252663,-0.508651427276567,0.2451849997027485
1993,CMCC,6,-0.0469962741269668,0.07234383226502812,-0.18124372537089828,-0.011972972558576883,-0.0437941469707765,-0.31690685171017896
1993,CMCC,7,-0.0469962741269668,0.02608309582020779,-0.17526499218488475,0.01939799611286678,-0.04592798089544694,-0.22408513207972347
1993,CMCC,8,-0.0469962741269668,-0.08583646059970772,0.030963813153121092,-0.011392772756171631,0.05525172859820634,-0.24476774100466875
1993,CMCC,9,-0.0469962741269668,-0.11903723952990164,-0.041824021710682606,-0.0057175314052366035,0.09508758444955419,-0.1553639868476626
1993,CMCC,10,-0.0469962741269668,-0.10883436289184685,-0.043787211598166696,-0.01198093764103271,-0.1085823023592767,0.30322656459235353
1993,CMCC,11,-0.0469962741269668,-0.01202651280939778,0.0848125038708808,-0.011655826500202344,-0.1085823023592767,-5.634821377377045
1994,CMCC,6,0.0201717246771901,-0.1089409872310341,-0.07703937080351132,0.027920067570617872,0.01693202193546801,-0.04322503166887621
1994,CMCC,7,0.0201717246771901,-0.11964493537325606,-0.04826505508306218,-0.04748592603426041,0.40170793183365355,-0.16762234733969517
1994,CMCC,8,0.0201717246771901,-0.07052565222034984,-0.08742858399801144,-0.02020349163171997,0.13551272128569553,-0.14015155730111986
1994,CMCC,9,0.0201717246771901,-0.11319231407382511,-0.0425597509442283,-0.03084873411020954,0.062390628010630673,-0.03799266650205521
1994,CMCC,10,0.0201717246771901,-0.11038303037882316,-0.06382029737747541,0.08264922754559424,-0.3268145534309995,0.044506319288391306
1994,CMCC,11,0.0201717246771901,-0.04727357137331895,-0.0397737160444603,0.22990870722906867,-0.3268145534309995,-0.7452309519453457
1995,CMCC,6,-0.1006705795991432,-0.12746199083585089,0.029018239253314766,-0.05480612802067964,-0.01751695486589912,0.07486389620945258
1995,CMCC,7,-0.1006705795991432,-0.13205300900845607,0.013061025819604409,-0.03647309067718063,0.1926887068981144,0.05817180997632879
1995,CMCC,8,-0.1006705795991432,-0.09639951433700773,-0.04714262793418421,-0.03454398721446964,0.11108327427236203,0.07727525498622348
1995,CMCC,9,-0.1006705795991432,-0.13259303660762906,0.024361021368040407,-0.05909680806174724,0.1479010923778877,0.057622716724132696
1995,CMCC,10,-0.1006705795991432,-0.13250541288526213,0.008274285118420667,-0.05448966595694672,0.1472334713719411,0.17214258792411632
1995,CMCC,11,-0.1006705795991432,0.22445382601869157,0.11295290825698885,0.003496342652150487,0.1472334713719411,0.6136215522492662
1996,CMCC,6,0.0438422295142514,-0.12959107850070947,-0.0038268359733147645,-0.023802607448704452,-0.04767223023000391,0.07130570642472357
1996,CMCC,7,0.0438422295142514,-0.05227170754924586,-0.15683251860765846,-0.024602044412678017,-0.042657227153861575,-0.01299629161118223
1996,CMCC,8,0.0438422295142514,0.008033835948653933,-0.2032104171119111,-0.0029897426272302617,-0.02792510434759745,0.043145446880093134
1996,CMCC,9,0.0438422295142514,-0.07554225261199592,-0.11299294168804387,-0.041171703648816935,0.02110823938562072,0.12114611755316484
1996,CMCC,10,0.0438422295142514,-0.006008667826586015,-0.027563612511554012,-0.05291262583694343,-0.1742784026845527,0.07001267963106074
1996,CMCC,11,0.0438422295142514,-0.10872186224077078,-0.012882567621562655,0.014964938265738432,-0.1742784026845527,0.1314056982300696
1997,CMCC,6,0.1749624413214131,0.4933026124621753,-0.24477771477779078,0.14268607822889479,-0.05422559582976111,0.001755074251822685
1997,CMCC,7,0.1749624413214131,0.30340801030335796,-0.23474168126787737,0.019746388475657815,0.26848304279836743,0.05647334334682872
1997,CMCC,8,0.1749624413214131,0.28743268890931717,-0.41943595827758484,-0.05549793091093216,0.6195557253442802,0.06200785467140329
1997,CMCC,9,0.1749624413214131,0.08245874669349379,-0.03894355515023693,-0.00698990305682745,1.4404999282003503,0.11625590265702956
1997,CMCC,10,0.1749624413214131,0.14325873047469137,-0.3353557138799055,0.06176309676908641,-0.7236560342126448,0.06916307519161706
1997,CMCC,11,0.1749624413214131,-0.005368518405976251,0.11521317686693117,-0.05794863042903072,-0.7236560342126448,0.1466379687320331
1998,CMCC,6,-0.0058567104049688,-0.13204763960599245,0.0005008068582926547,-0.041938767082859346,-0.060564652553050956,0.012773476965143318
1998,CMCC,7,-0.0058567104049688,-0.13260732860033297,0.015410459702116616,-0.04663296746182792,-0.05965445929013261,0.03579230015268064
1998,CMCC,8,-0.0058567104049688,-0.0995163978908473,-0.000104238949205517,-0.03267031066672329,-0.06471060689925436,0.04622317192996109
1998,CMCC,9,-0.0058567104049688,-0.11720563853217317,-0.044254752178323885,-0.0542063675868867,0.27073193113877014,0.044608979212987204
1998,CMCC,10,-0.0058567104049688,-0.13334681176674726,0.00041174616818862405,-0.05288964542293345,-0.8635694093781636,-0.033314645314175266
1998,CMCC,11,-0.0058567104049688,-0.1317320349134601,0.005267231197822318,-0.018701409702071868,-0.8635694093781636,-0.4795650980177167
1999,CMCC,6,0.0604868169775441,-0.124934654267763,0.011836544081352235,0.0757900619696496,0.141604286776174,0.09532150162859263
1999,CMCC,7,0.0604868169775441,-0.12387174868336742,0.06321120978941472,0.12335415515788266,0.11891946640290477,0.09760838322604218
1999,CMCC,8,0.0604868169775441,-0.1226323421089726,0.03234045793559031,0.21522694670808346,0.08577423984381105,0.09574763729431164
1999,CMCC,9,0.0604868169775441,-0.1320866026217435,-0.010520555703292252,0.1548029448698422,0.22111626238553295,0.10150176831362319
1999,CMCC,10,0.0604868169775441,-0.1206735099740654,0.05653022279393689,0.19770245292822936,1.4829592427440983,0.18106811712386348
1999,CMCC,11,0.0604868169775441,-0.09086837636513474,0.021271000725790537,0.015559230027013916,1.4829592427440983,0.6251926499535749
2000,CMCC,6,0.0431739046614468,-0.12022505612523689,0.03416503060181688,0.08295556638472193,-0.0662453415009315,0.06653677615959629
2000,CMCC,7,0.0431739046614468,-0.11913588391375096,0.034054458216138804,-0.03816533283357526,0.007878314104419816,0.17440168181506963
2000,CMCC,8,0.0431739046614468,-0.11012916666333787,0.037568797477738676,-0.03340249326307136,-0.06739333582043928,0.013524242381700536
2000,CMCC,9,0.0431739046614468,-0.11704154068067674,0.03667564765280409,-0.049147235062679435,-0.06749129486706075,0.11275449726714373
2000,CMCC,10,0.0431739046614468,-0.08035934132178936,-0.02453371065657646,-0.02086948633760494,-0.6881089409014947,0.056693387410100084
