model,lat,lon,init_year,init_month,forecasted_year,forecasted_month,tmean,rain,province
JMA,-40.75,-62.75,1994,8,1994,8,9.321282958984398,1.1476840086288576,Buenos Aires
JMA,-40.75,-62.75,1994,8,1994,9,11.208398437500023,0.5887814242555578,Buenos Aires
JMA,-40.75,-62.75,1994,8,1994,10,13.910546875000023,0.6477969495222169,Buenos Aires
JMA,-40.75,-62.75,1994,8,1994,11,16.293420410156273,1.1259150744535873,Buenos Aires
JMA,-40.75,-62.75,1994,9,1994,9,11.050531005859398,0.4563201106577708,Buenos Aires
JMA,-40.75,-62.75,1994,9,1994,10,13.917382812500023,1.0322192201783764,Buenos Aires
JMA,-40.75,-62.75,1994,9,1994,11,16.769769287109398,0.4778761987722646,Buenos Aires
JMA,-40.75,-62.75,1994,10,1994,10,13.373773193359398,0.6321014316768014,Buenos Aires
JMA,-40.75,-62.75,1994,10,1994,11,17.151513671875023,0.7551010082806897,Buenos Aires
JMA,-40.75,-62.75,1994,11,1994,11,17.347619628906273,0.9083535130471887,Buenos Aires
JMA,-40.75,-62.75,1995,4,1995,4,15.992761230468773,0.5884822702739712,Buenos Aires
JMA,-40.75,-62.75,1995,4,1995,5,11.584954833984398,1.380287070560371,Buenos Aires
JMA,-40.75,-62.75,1995,4,1995,6,8.876611328125023,1.4492629918549937,Buenos Aires
JMA,-40.75,-62.75,1995,4,1995,7,7.892907714843773,0.7627220161054993,Buenos Aires
JMA,-40.75,-62.75,1995,4,1995,8,8.951898193359398,1.27075467588611,Buenos Aires
JMA,-40.75,-62.75,1995,4,1995,9,10.633843994140648,0.5620347707235851,Buenos Aires
JMA,-40.75,-62.75,1995,5,1995,5,12.204064941406273,0.9339555458609539,Buenos Aires
JMA,-40.75,-62.75,1995,5,1995,6,9.510095214843773,1.0443508739399476,Buenos Aires
JMA,-40.75,-62.75,1995,5,1995,7,8.895166015625023,0.8004590014820678,Buenos Aires
JMA,-40.75,-62.75,1995,5,1995,8,9.016687011718773,0.6866032951791112,Buenos Aires
JMA,-40.75,-62.75,1995,5,1995,9,10.691247558593773,0.6827626579308799,Buenos Aires
JMA,-40.75,-62.75,1995,5,1995,10,13.091271972656273,1.2123041540235135,Buenos Aires
JMA,-40.75,-62.75,1995,6,1995,6,10.050988769531273,0.8637219170282151,Buenos Aires
JMA,-40.75,-62.75,1995,6,1995,7,9.050012207031273,0.8678708938703039,Buenos Aires
JMA,-40.75,-62.75,1995,6,1995,8,9.580316162109398,0.7148987066329937,Buenos Aires
JMA,-40.75,-62.75,1995,6,1995,9,11.345361328125023,0.7652272134350824,Buenos Aires
JMA,-40.75,-62.75,1995,6,1995,10,13.546289062500023,1.8220876251007212,Buenos Aires
JMA,-40.75,-62.75,1995,6,1995,11,16.626794433593773,0.8052195467200818,Buenos Aires
JMA,-40.75,-62.75,1995,7,1995,7,7.719537353515648,0.48156728780668345,Buenos Aires
JMA,-40.75,-62.75,1995,7,1995,8,8.612603759765648,0.4999615262590851,Buenos Aires
JMA,-40.75,-62.75,1995,7,1995,9,10.625238037109398,1.5007117596610442,Buenos Aires
JMA,-40.75,-62.75,1995,7,1995,10,13.660058593750023,1.1577385629379933,Buenos Aires
JMA,-40.75,-62.75,1995,7,1995,11,15.718347167968773,0.6905533214052184,Buenos Aires
JMA,-40.75,-62.75,1995,8,1995,8,8.418023681640648,0.7819160666144853,Buenos Aires
JMA,-40.75,-62.75,1995,8,1995,9,10.863336181640648,1.0651844219466966,Buenos Aires
JMA,-40.75,-62.75,1995,8,1995,10,13.915917968750023,1.0329215434978778,Buenos Aires
JMA,-40.75,-62.75,1995,8,1995,11,16.651513671875023,0.47326974659256393,Buenos Aires
JMA,-40.75,-62.75,1995,9,1995,9,11.328118896484398,0.8578274398018948,Buenos Aires
JMA,-40.75,-62.75,1995,9,1995,10,13.847222900390648,0.9101638239883414,Buenos Aires
JMA,-40.75,-62.75,1995,9,1995,11,16.438958740234398,0.9666835907751192,Buenos Aires
JMA,-40.75,-62.75,1995,10,1995,10,13.519525146484398,0.8706833142468895,Buenos Aires
JMA,-40.75,-62.75,1995,10,1995,11,16.361566162109398,0.6766051245676863,Buenos Aires
JMA,-40.75,-62.75,1995,11,1995,11,16.754541015625023,1.2859671382958737,Buenos Aires
JMA,-40.75,-62.75,1996,4,1996,4,16.020410156250023,0.45289810941540054,Buenos Aires
JMA,-40.75,-62.75,1996,4,1996,5,12.454583740234398,0.7586804579773343,Buenos Aires
JMA,-40.75,-62.75,1996,4,1996,6,9.408105468750023,1.1849300625499382,Buenos Aires
JMA,-40.75,-62.75,1996,4,1996,7,8.268304443359398,1.0021536752446991,Buenos Aires
JMA,-40.75,-62.75,1996,4,1996,8,9.574182128906273,0.6495443223286657,Buenos Aires
JMA,-40.75,-62.75,1996,4,1996,9,10.813684082031273,1.4849503463665314,Buenos Aires
JMA,-40.75,-62.75,1996,5,1996,5,12.343072509765648,1.3184428141244098,Buenos Aires
JMA,-40.75,-62.75,1996,5,1996,6,9.603845214843773,1.130043136186032,Buenos Aires
JMA,-40.75,-62.75,1996,5,1996,7,8.736413574218773,1.3301130501019998,Buenos Aires
JMA,-40.75,-62.75,1996,5,1996,8,9.658990478515648,0.3190049434209641,Buenos Aires
JMA,-40.75,-62.75,1996,5,1996,9,12.029840087890648,0.9304943120014286,Buenos Aires
JMA,-40.75,-62.75,1996,5,1996,10,14.337976074218773,0.6887639744945773,Buenos Aires
JMA,-40.75,-62.75,1996,6,1996,6,10.093652343750023,0.46867228050473386,Buenos Aires
JMA,-40.75,-62.75,1996,6,1996,7,9.254113769531273,0.9223233530519792,Buenos Aires
JMA,-40.75,-62.75,1996,6,1996,8,9.485070800781273,1.1297840435986473,Buenos Aires
JMA,-40.75,-62.75,1996,6,1996,9,10.979943847656273,0.7269781781360507,Buenos Aires
JMA,-40.75,-62.75,1996,6,1996,10,14.474267578125023,0.6045121421038857,Buenos Aires
JMA,-40.75,-62.75,1996,6,1996,11,16.426171875000023,0.9704129915633075,Buenos Aires
JMA,-40.75,-62.75,1996,7,1996,7,8.393395996093773,0.8833047752432321,Buenos Aires
JMA,-40.75,-62.75,1996,7,1996,8,9.353265380859398,0.6182682180622123,Buenos Aires
JMA,-40.75,-62.75,1996,7,1996,9,11.441003417968773,0.6786323132246252,Buenos Aires
JMA,-40.75,-62.75,1996,7,1996,10,13.850976562500023,0.5851537443390953,Buenos Aires
JMA,-40.75,-62.75,1996,7,1996,11,16.577539062500023,0.6787959046050673,Buenos Aires
JMA,-40.75,-62.75,1996,8,1996,8,10.021539306640648,0.9612238224576686,Buenos Aires
JMA,-40.75,-62.75,1996,8,1996,9,12.621057128906273,0.5127457671250113,Buenos Aires
JMA,-40.75,-62.75,1996,8,1996,10,13.724328613281273,0.7404846886061023,Buenos Aires
JMA,-40.75,-62.75,1996,8,1996,11,16.333306884765648,0.9664832492717323,Buenos Aires
JMA,-40.75,-62.75,1996,9,1996,9,12.039514160156273,0.7306038283161342,Buenos Aires
JMA,-40.75,-62.75,1996,9,1996,10,14.842095947265648,0.2987141043320207,Buenos Aires
JMA,-40.75,-62.75,1996,9,1996,11,16.483972167968773,0.8032847475192284,Buenos Aires
JMA,-40.75,-62.75,1996,10,1996,10,15.543603515625023,1.0636487249371385,Buenos Aires
JMA,-40.75,-62.75,1996,10,1996,11,17.348199462890648,1.0595174593674983,Buenos Aires
JMA,-40.75,-62.75,1996,11,1996,11,17.368066406250023,0.6302864329654767,Buenos Aires
JMA,-40.75,-62.75,1997,4,1997,4,15.761285400390648,0.4657276126351917,Buenos Aires
JMA,-40.75,-62.75,1997,4,1997,5,11.835656738281273,0.9218614249562052,Buenos Aires
JMA,-40.75,-62.75,1997,4,1997,6,8.573693847656273,1.1821886675988935,Buenos Aires
JMA,-40.75,-62.75,1997,4,1997,7,8.539270019531273,1.244977069916331,Buenos Aires
JMA,-40.75,-62.75,1997,4,1997,8,9.318322753906273,1.2667439705182915,Buenos Aires
JMA,-40.75,-62.75,1997,4,1997,9,10.968743896484398,1.3513949204480014,Buenos Aires
JMA,-40.75,-62.75,1997,5,1997,5,12.559899902343773,1.8251092234322641,Buenos Aires
JMA,-40.75,-62.75,1997,5,1997,6,9.539453125000023,1.6096071163929082,Buenos Aires
JMA,-40.75,-62.75,1997,5,1997,7,8.812493896484398,1.2491234645040095,Buenos Aires
JMA,-40.75,-62.75,1997,5,1997,8,9.647058105468773,1.2108340570193832,Buenos Aires
