model,init_year,init_month,forecasted_year,forecasted_month,lat,lon,prec,t2m
PNU,1995,11,1995,11,-40.0,-62.5,1.08,14.08
PNU,1996,4,1996,4,-40.0,-62.5,1.22,15.4
PNU,1996,4,1996,5,-40.0,-62.5,1.64,11.95
PNU,1996,4,1996,6,-40.0,-62.5,1.63,9.23
PNU,1996,4,1996,7,-40.0,-62.5,1.52,7.81
PNU,1996,4,1996,8,-40.0,-62.5,1.44,7.5
PNU,1996,4,1996,9,-40.0,-62.5,1.31,8.34
PNU,1996,5,1996,5,-40.0,-62.5,1.42,11.57
PNU,1996,5,1996,6,-40.0,-62.5,1.53,9.31
PNU,1996,5,1996,7,-40.0,-62.5,1.81,7.96
PNU,1996,5,1996,8,-40.0,-62.5,1.71,7.53
PNU,1996,5,1996,9,-40.0,-62.5,1.58,8.27
PNU,1996,5,1996,10,-40.0,-62.5,1.17,10.28
PNU,1996,6,1996,6,-40.0,-62.5,1.57,8.41
PNU,1996,6,1996,7,-40.0,-62.5,1.59,7.44
PNU,1996,6,1996,8,-40.0,-62.5,1.67,7.26
PNU,1996,6,1996,9,-40.0,-62.5,1.44,8.07
PNU,1996,6,1996,10,-40.0,-62.5,0.97,10.19
PNU,1996,6,1996,11,-40.0,-62.5,1.09,13.4
PNU,1996,7,1996,7,-40.0,-62.5,1.46,7.53
PNU,1996,7,1996,8,-40.0,-62.5,1.58,7.51
PNU,1996,7,1996,9,-40.0,-62.5,1.64,8.24
PNU,1996,7,1996,10,-40.0,-62.5,1.24,10.2
PNU,1996,7,1996,11,-40.0,-62.5,0.84,13.43
PNU,1996,8,1996,8,-40.0,-62.5,1.61,7.37
PNU,1996,8,1996,9,-40.0,-62.5,1.55,8.15
PNU,1996,8,1996,10,-40.0,-62.5,1.38,10.64
PNU,1996,8,1996,11,-40.0,-62.5,1.06,13.53
PNU,1996,9,1996,9,-40.0,-62.5,1.34,8.73
PNU,1996,9,1996,10,-40.0,-62.5,1.39,10.66
PNU,1996,9,1996,11,-40.0,-62.5,1.27,13.53
PNU,1996,10,1996,10,-40.0,-62.5,1.18,11.25
PNU,1996,10,1996,11,-40.0,-62.5,1.12,14.34
PNU,1996,11,1996,11,-40.0,-62.5,1.15,14.9
PNU,1997,4,1997,4,-40.0,-62.5,1.65,15.43
PNU,1997,4,1997,5,-40.0,-62.5,1.94,11.79
PNU,1997,4,1997,6,-40.0,-62.5,1.81,9.54
PNU,1997,4,1997,7,-40.0,-62.5,2.05,7.92
PNU,1997,4,1997,8,-40.0,-62.5,1.64,7.64
PNU,1997,4,1997,9,-40.0,-62.5,1.59,8.5
PNU,1997,5,1997,5,-40.0,-62.5,1.58,11.15
PNU,1997,5,1997,6,-40.0,-62.5,1.96,9.12
PNU,1997,5,1997,7,-40.0,-62.5,1.8,7.9
PNU,1997,5,1997,8,-40.0,-62.5,1.81,7.59
PNU,1997,5,1997,9,-40.0,-62.5,1.83,8.36
PNU,1997,5,1997,10,-40.0,-62.5,1.1,10.31
PNU,1997,6,1997,6,-40.0,-62.5,1.62,8.63
PNU,1997,6,1997,7,-40.0,-62.5,1.86,7.58
PNU,1997,6,1997,8,-40.0,-62.5,1.82,7.54
PNU,1997,6,1997,9,-40.0,-62.5,1.73,8.08
PNU,1997,6,1997,10,-40.0,-62.5,1.5,10.17
PNU,1997,6,1997,11,-40.0,-62.5,1.11,13.59
PNU,1997,7,1997,7,-40.0,-62.5,1.98,8.05
PNU,1997,7,1997,8,-40.0,-62.5,1.77,7.93
PNU,1997,7,1997,9,-40.0,-62.5,2.08,8.38
PNU,1997,7,1997,10,-40.0,-62.5,1.46,10.34
PNU,1997,7,1997,11,-40.0,-62.5,1.47,13.58
PNU,1997,8,1997,8,-40.0,-62.5,2.05,7.84
PNU,1997,8,1997,9,-40.0,-62.5,2.07,8.38
PNU,1997,8,1997,10,-40.0,-62.5,1.7,10.45
PNU,1997,8,1997,11,-40.0,-62.5,1.44,13.55
PNU,1997,9,1997,9,-40.0,-62.5,2.15,8.85
PNU,1997,9,1997,10,-40.0,-62.5,1.86,10.65
PNU,1997,9,1997,11,-40.0,-62.5,1.44,13.8
PNU,1997,10,1997,10,-40.0,-62.5,1.86,11.27
PNU,1997,10,1997,11,-40.0,-62.5,1.87,13.98
PNU,1997,11,1997,11,-40.0,-62.5,1.94,14.2
PNU,1998,4,1998,4,-40.0,-62.5,1.46,14.8
PNU,1998,4,1998,5,-40.0,-62.5,1.36,11.71
PNU,1998,4,1998,6,-40.0,-62.5,1.7,9.33
PNU,1998,4,1998,7,-40.0,-62.5,1.65,8.08
PNU,1998,4,1998,8,-40.0,-62.5,1.38,7.63
PNU,1998,4,1998,9,-40.0,-62.5,1.26,8.27
PNU,1998,5,1998,5,-40.0,-62.5,1.62,11.18
PNU,1998,5,1998,6,-40.0,-62.5,1.81,9.02
PNU,1998,5,1998,7,-40.0,-62.5,1.6,7.47
PNU,1998,5,1998,8,-40.0,-62.5,1.48,7.23
PNU,1998,5,1998,9,-40.0,-62.5,1.17,8.24
PNU,1998,5,1998,10,-40.0,-62.5,0.88,10.42
PNU,1998,6,1998,6,-40.0,-62.5,1.81,8.74
PNU,1998,6,1998,7,-40.0,-62.5,1.64,7.64
PNU,1998,6,1998,8,-40.0,-62.5,1.35,7.52
PNU,1998,6,1998,9,-40.0,-62.5,1.35,8.31
PNU,1998,6,1998,10,-40.0,-62.5,0.87,10.55
PNU,1998,6,1998,11,-40.0,-62.5,0.85,13.63
PNU,1998,7,1998,7,-40.0,-62.5,1.62,7.98
PNU,1998,7,1998,8,-40.0,-62.5,1.53,7.78
PNU,1998,7,1998,9,-40.0,-62.5,1.31,8.66
PNU,1998,7,1998,10,-40.0,-62.5,0.99,10.74
PNU,1998,7,1998,11,-40.0,-62.5,1.09,13.69
PNU,1998,8,1998,8,-40.0,-62.5,1.44,8.32
PNU,1998,8,1998,9,-40.0,-62.5,1.42,9.01
PNU,1998,8,1998,10,-40.0,-62.5,1.03,11.17
PNU,1998,8,1998,11,-40.0,-62.5,0.95,13.86
PNU,1998,9,1998,9,-40.0,-62.5,1.37,9.4
PNU,1998,9,1998,10,-40.0,-62.5,0.91,11.42
PNU,1998,9,1998,11,-40.0,-62.5,1.0,14.27
PNU,1998,10,1998,10,-40.0,-62.5,1.22,11.52
PNU,1998,10,1998,11,-40.0,-62.5,0.95,14.61
PNU,1998,11,1998,11,-40.0,-62.5,0.93,14.8
PNU,1999,4,1999,4,-40.0,-62.5,1.02,15.62
PNU,1999,4,1999,5,-40.0,-62.5,1.19,12.21
PNU,1999,4,1999,6,-40.0,-62.5,1.45,9.73
PNU,1999,4,1999,7,-40.0,-62.5,1.41,8.12
PNU,1999,4,1999,8,-40.0,-62.5,1.6,7.66
PNU,1999,4,1999,9,-40.0,-62.5,1.14,8.49
PNU,1999,5,1999,5,-40.0,-62.5,1.24,11.41
PNU,1999,5,1999,6,-40.0,-62.5,1.44,9.22
PNU,1999,5,1999,7,-40.0,-62.5,1.53,7.9
PNU,1999,5,1999,8,-40.0,-62.5,1.63,7.44
PNU,1999,5,1999,9,-40.0,-62.5,1.41,8.19
PNU,1999,5,1999,10,-40.0,-62.5,1.0,10.32
PNU,1999,6,1999,6,-40.0,-62.5,1.6,8.78
PNU,1999,6,1999,7,-40.0,-62.5,1.72,7.82
PNU,1999,6,1999,8,-40.0,-62.5,1.42,7.52
PNU,1999,6,1999,9,-40.0,-62.5,1.27,8.27
PNU,1999,6,1999,10,-40.0,-62.5,0.96,10.4
PNU,1999,6,1999,11,-40.0,-62.5,0.83,13.57
PNU,1999,7,1999,7,-40.0,-62.5,1.53,7.56
PNU,1999,7,1999,8,-40.0,-62.5,1.38,7.56
PNU,1999,7,1999,9,-40.0,-62.5,1.14,8.38
PNU,1999,7,1999,10,-40.0,-62.5,1.0,10.23
PNU,1999,7,1999,11,-40.0,-62.5,0.8,13.39
PNU,1999,8,1999,8,-40.0,-62.5,1.51,7.47
PNU,1999,8,1999,9,-40.0,-62.5,1.41,8.49
PNU,1999,8,1999,10,-40.0,-62.5,1.17,10.4
PNU,1999,8,1999,11,-40.0,-62.5,0.87,13.51
PNU,1999,9,1999,9,-40.0,-62.5,1.22,8.68
PNU,1999,9,1999,10,-40.0,-62.5,1.34,10.58
PNU,1999,9,1999,11,-40.0,-62.5,0.73,14.12
PNU,1999,10,1999,10,-40.0,-62.5,1.06,11.03
PNU,1999,10,1999,11,-40.0,-62.5,0.84,14.17
PNU,1999,11,1999,11,-40.0,-62.5,1.01,14.68
PNU,2000,4,2000,4,-40.0,-62.5,1.15,15.32
PNU,2000,4,2000,5,-40.0,-62.5,1.3,12.09
PNU,2000,4,2000,6,-40.0,-62.5,1.94,9.6
PNU,2000,4,2000,7,-40.0,-62.5,1.5,8.28
PNU,2000,4,2000,8,-40.0,-62.5,1.39,7.72
PNU,2000,4,2000,9,-40.0,-62.5,1.38,8.43
PNU,2000,5,2000,5,-40.0,-62.5,1.77,11.45
PNU,2000,5,2000,6,-40.0,-62.5,1.74,9.28
PNU,2000,5,2000,7,-40.0,-62.5,1.84,7.96
PNU,2000,5,2000,8,-40.0,-62.5,1.57,7.64
PNU,2000,5,2000,9,-40.0,-62.5,1.4,8.37
PNU,2000,5,2000,10,-40.0,-62.5,1.12,10.31
PNU,2000,6,2000,6,-40.0,-62.5,1.49,8.48
PNU,2000,6,2000,7,-40.0,-62.5,1.61,7.71
PNU,2000,6,2000,8,-40.0,-62.5,1.51,7.59
PNU,2000,6,2000,9,-40.0,-62.5,1.37,8.45
PNU,2000,6,2000,10,-40.0,-62.5,0.98,10.42
PNU,2000,6,2000,11,-40.0,-62.5,0.95,13.53
PNU,2000,7,2000,7,-40.0,-62.5,1.52,7.67
PNU,2000,7,2000,8,-40.0,-62.5,1.53,7.67
PNU,2000,7,2000,9,-40.0,-62.5,1.43,8.34
PNU,2000,7,2000,10,-40.0,-62.5,1.1,10.38
PNU,2000,7,2000,11,-40.0,-62.5,0.89,13.53
PNU,2000,8,2000,8,-40.0,-62.5,1.5,7.71
