model,init_year,init_month,forecasted_year,forecasted_month,lat,lon,prec,t2m
KMA,1995,7,1995,9,-40.0,-62.5,1.34,11.1
KMA,1995,7,1995,10,-40.0,-62.5,1.86,14.18
KMA,1995,7,1995,11,-40.0,-62.5,2.1,17.63
KMA,1995,8,1995,8,-40.0,-62.5,0.92,9.18
KMA,1995,8,1995,9,-40.0,-62.5,1.42,10.73
KMA,1995,8,1995,10,-40.0,-62.5,1.6,13.81
KMA,1995,8,1995,11,-40.0,-62.5,1.43,17.07
KMA,1995,9,1995,9,-40.0,-62.5,1.3,10.12
KMA,1995,9,1995,10,-40.0,-62.5,1.49,13.86
KMA,1995,9,1995,11,-40.0,-62.5,1.61,17.4
KMA,1995,10,1995,10,-40.0,-62.5,1.31,14.43
KMA,1995,10,1995,11,-40.0,-62.5,1.32,17.69
KMA,1995,11,1995,11,-40.0,-62.5,1.22,17.54
KMA,1996,4,1996,4,-40.0,-62.5,0.91,14.97
KMA,1996,4,1996,5,-40.0,-62.5,0.94,12.0
KMA,1996,4,1996,6,-40.0,-62.5,1.41,8.8
KMA,1996,4,1996,7,-40.0,-62.5,1.32,8.21
KMA,1996,4,1996,8,-40.0,-62.5,1.39,9.08
KMA,1996,4,1996,9,-40.0,-62.5,1.7,10.7
KMA,1996,5,1996,5,-40.0,-62.5,0.71,12.1
KMA,1996,5,1996,6,-40.0,-62.5,1.34,9.56
KMA,1996,5,1996,7,-40.0,-62.5,0.81,8.27
KMA,1996,5,1996,8,-40.0,-62.5,1.3,9.22
KMA,1996,5,1996,9,-40.0,-62.5,1.48,11.52
KMA,1996,5,1996,10,-40.0,-62.5,1.61,14.59
KMA,1996,6,1996,6,-40.0,-62.5,1.09,9.34
KMA,1996,6,1996,7,-40.0,-62.5,1.45,8.33
KMA,1996,6,1996,8,-40.0,-62.5,0.78,8.99
KMA,1996,6,1996,9,-40.0,-62.5,1.32,11.02
KMA,1996,6,1996,10,-40.0,-62.5,2.15,14.76
KMA,1996,6,1996,11,-40.0,-62.5,1.5,17.69
KMA,1996,7,1996,7,-40.0,-62.5,0.78,8.25
KMA,1996,7,1996,8,-40.0,-62.5,1.12,8.95
KMA,1996,7,1996,9,-40.0,-62.5,1.36,11.52
KMA,1996,7,1996,10,-40.0,-62.5,2.01,14.63
KMA,1996,7,1996,11,-40.0,-62.5,1.62,17.71
KMA,1996,8,1996,8,-40.0,-62.5,1.39,9.07
KMA,1996,8,1996,9,-40.0,-62.5,1.01,11.69
KMA,1996,8,1996,10,-40.0,-62.5,1.89,14.51
KMA,1996,8,1996,11,-40.0,-62.5,1.5,17.86
KMA,1996,9,1996,9,-40.0,-62.5,1.27,11.7
KMA,1996,9,1996,10,-40.0,-62.5,1.66,14.9
KMA,1996,9,1996,11,-40.0,-62.5,1.86,17.44
KMA,1996,10,1996,10,-40.0,-62.5,1.31,15.41
KMA,1996,10,1996,11,-40.0,-62.5,1.76,17.93
KMA,1996,11,1996,11,-40.0,-62.5,1.63,17.91
KMA,1997,4,1997,4,-40.0,-62.5,2.38,16.09
KMA,1997,4,1997,5,-40.0,-62.5,1.0,11.51
KMA,1997,4,1997,6,-40.0,-62.5,0.78,9.39
KMA,1997,4,1997,7,-40.0,-62.5,1.36,7.81
KMA,1997,4,1997,8,-40.0,-62.5,1.17,8.82
KMA,1997,4,1997,9,-40.0,-62.5,2.23,10.75
KMA,1997,5,1997,5,-40.0,-62.5,1.43,12.35
KMA,1997,5,1997,6,-40.0,-62.5,0.99,9.37
KMA,1997,5,1997,7,-40.0,-62.5,1.47,8.61
KMA,1997,5,1997,8,-40.0,-62.5,1.34,9.58
KMA,1997,5,1997,9,-40.0,-62.5,2.65,11.06
KMA,1997,5,1997,10,-40.0,-62.5,1.71,13.51
KMA,1997,6,1997,6,-40.0,-62.5,1.3,9.33
KMA,1997,6,1997,7,-40.0,-62.5,1.22,8.71
KMA,1997,6,1997,8,-40.0,-62.5,1.23,9.42
KMA,1997,6,1997,9,-40.0,-62.5,1.76,11.09
KMA,1997,6,1997,10,-40.0,-62.5,2.22,13.56
KMA,1997,6,1997,11,-40.0,-62.5,2.51,16.45
KMA,1997,7,1997,7,-40.0,-62.5,0.9,8.1
KMA,1997,7,1997,8,-40.0,-62.5,1.74,9.19
KMA,1997,7,1997,9,-40.0,-62.5,1.85,11.33
KMA,1997,7,1997,10,-40.0,-62.5,2.47,13.48
KMA,1997,7,1997,11,-40.0,-62.5,2.54,16.46
KMA,1997,8,1997,8,-40.0,-62.5,1.32,9.15
KMA,1997,8,1997,9,-40.0,-62.5,1.81,10.91
KMA,1997,8,1997,10,-40.0,-62.5,2.74,13.33
KMA,1997,8,1997,11,-40.0,-62.5,2.53,16.74
KMA,1997,9,1997,9,-40.0,-62.5,1.91,11.07
KMA,1997,9,1997,10,-40.0,-62.5,1.99,13.79
KMA,1997,9,1997,11,-40.0,-62.5,2.13,16.74
KMA,1997,10,1997,10,-40.0,-62.5,2.89,13.41
KMA,1997,10,1997,11,-40.0,-62.5,2.15,16.93
KMA,1997,11,1997,11,-40.0,-62.5,1.84,16.88
KMA,1998,4,1998,4,-40.0,-62.5,1.71,15.05
KMA,1998,4,1998,5,-40.0,-62.5,0.81,11.65
KMA,1998,4,1998,6,-40.0,-62.5,1.05,8.92
KMA,1998,4,1998,7,-40.0,-62.5,0.75,7.77
